RAZAO_SOCIAL;REGISTRO_ANCINE;CNPJ;MUNICIPIO;UF;CLASSIFICACAO_NIVEL_PRODUTORA
LUA NOVA FILMES LTDA;42542;14.247.249/0001-00;BOA VISTA;RR;1
LUA TRÍPLICE PRODUÇÕES ARTÍSTICAS LTDA.;57544;51.726.326/0001-31;JEQUIÉ;BA;1
LUA VIRGEM FILMES;51519;46.297.315/0001-43;SAQUAREMA;RJ;1
LUAFADA PRODUÇÕES EVENTOS LTDA - ME;33173;11.272.999/0001-44;SÃO PAULO;SP;1
LUAH GARCIA LTDA;52124;42.217.065/0001-33;RIO DE JANEIRO;RJ;1
LUAH PRODUCOES EIRELI;48944;28.326.280/0001-41;CURITIBANOS;SC;1
LUAN FILIPPO FORTE OLDENBROCK ESTUDIO CINEMATOGRAFICO;61524;32.322.486/0001-70;SÃO PAULO;SP;1
LUANA JORDAO NOBREGA AFFONSO PRODUCOES LTDA;55116;51.150.625/0001-70;RIO DE JANEIRO;RJ;1
LUANA MELO PRODUÇÕES ARTISTICAS LTDA;57458;36.102.455/0001-65;BLUMENAU;SC;1
LUANA REIS ROCHA;50520;40.878.706/0001-75;SÃO PAULO;SP;1
LUANA RIBAS GONÇALVES PRODUÇÕES CINEMATOGRÁFICAS;46784;31.590.642/0001-11;RIO DE JANEIRO;RJ;1
LUARAN P. LINS;30539;08.820.791/0001-08;IMPERATRIZ;MA;1
LUBA FILMES LTDA.;14760;00.962.888/0001-43;RIO DE JANEIRO;RJ;2
LUBI BRASILIA PUBLICIDADE EIRELI;49648;39.841.956/0001-51;BRASÍLIA;DF;1
LUCA AUDIOVISUART LTDA.;64660;33.107.618/0001-04;SAO PAULO;SP;1
LUCAS ACCO CADORIN FILMES;29696;20.630.951/0001-51;PATO BRANCO;PR;1
LUCAS BARBOSA DE LIMA;56383;41.902.795/0001-00;CURVELO;MG;1
LUCAS BARROS OLIVEIRA;63092;44.137.857/0001-23;SANTO ANDRÉ;SP;1
LUCAS BEIJAMIM SILVA ARAGAO;63129;42.289.236/0001-30;FORTALEZA;CE;1
LUCAS BONINI BARBOSA;50657;44.537.226/0001-00;FUNDÃO;ES;1
LUCAS BRETAS PRODUCOES LTDA;56625;44.405.834/0001-52;RIBEIRÃO PRETO;SP;1
LUCAS CANGUCU VIDEOMAKER LTDA;64265;37.970.899/0001-85;VITÓRIA DA CONQUISTA;BA;1
LUCAS CERQUEIRA SANTOS;62199;17.091.347/0001-90;SALVADOR;BA;1
LUCAS CHIMENTO PRODUCAO LTDA;27722;14.767.316/0001-18;BARUERI;SP;1
LUCAS COELHO DE CARVALHO;55019;24.509.511/0001-00;FORTALEZA;CE;1
LUCAS DIAS DE SOUSA COSTA;51396;36.079.552/0001-84;SÃO LUÍS;MA;1
LUCAS DOLABELLA BARBI;50803;19.005.571/0001-47;SÃO PAULO;SP;1
LUCAS DOS SANTOS SPEZZOTTO;54055;35.904.928/0001-85;BIGUAÇU;SC;1
LUCAS E PABLO ASSESSORIA E COMUNICAÇÃO LTDA;58881;46.833.192/0001-18;RIO DE JANEIRO;RJ;1
LUCAS FREITAS PEIXOTO PAZ;55444;15.652.074/0001-80;FORTALEZA;CE;1
LUCAS G DE BARROS SILVA PRODUCAO AUDIOVISUAL;64503;49.750.626/0001-04;SÃO PAULO;SP;1
LUCAS HEINLE PREIGSCHADT;21839;15.362.815/0001-98;SANTA MARIA;RS;1
LUCAS JULIANO PEREIRA CORREA PRODUCOES CULTURAIS E AUDIOVISUAIS LTDA;58831;33.474.109/0001-10;RIO DE JANEIRO;RJ;1
LUCAS LEMOS BASTO DE VASCONCELLOS;52408;26.144.757/0001-42;RIO DE JANEIRO;RJ;1
LUCAS LEONIDAS DE CARLI LTDA;58900;40.401.509/0001-60;SÃO PAULO;SP;1
LUCAS ONOFRIO ZANNON PRODUCOES;48934;29.220.790/0001-00;SÃO PAULO;SP;1
LUCAS P. BONALUMI - CRIACAO E PRODUCAO DE CONTEUDO;48558;20.792.427/0001-87;SÃO JOSÉ DO RIO PRETO;SP;3
LUCAS PUPPI RACHINSKI;39474;13.388.044/0001-82;CAMPO LARGO;PR;1
LUCAS SATOLO DO CANTO PRODUCAO CINEMATOGRAFICA;59017;34.669.559/0001-20;SÃO PAULO;SP;1
LUCAS SILVA LIMA-ME;48335;24.293.016/0001-06;SÃO PAULO;SP;1
LUCAS SILVEIRA GONCALVES AUDIOVISUAL;60237;32.744.227/0001-38;BLUMENAU;SC;1
LUCAS TADEU ZACARIAS COELHO LTDA;58004;47.920.134/0001-94;SÃO PAULO;SP;1
LUCAS TEIXEIRA SILVA - SPECTRA PRODUTORA VISUAL;61438;57.963.013/0001-83;TRÊS PONTAS;MG;1
LUCAS WEGLINSKI ANDRADE PRODUCOES;46777;11.896.383/0001-44;SÃO PAULO;SP;1
LUCCAS E QUINT PRODUCOES AUDIOVISUAIS LTDA;44841;15.248.246/0001-54;SÃO JOSÉ;SC;1
LUCCAS TOON STUDIOS LTDA;41737;28.485.087/0001-53;RIO DE JANEIRO;RJ;2
LUCENA & PEREIRA AUDIO VISUAL LTDA;53887;24.550.149/0001-02;GOIÂNIA;GO;1
LUCIA FERREIRA TUPIASSU;53765;33.086.002/0001-02;RIO DE JANEIRO;RJ;1
LUCIA STEPHANIE COIMBRA - ME;34275;24.524.664/0001-18;RIO DE JANEIRO;RJ;1
LUCIANA BOLLINA PRODUÇÕES LTDA;55863;50.852.578/0001-44;SÃO PAULO;SP;1
LUCIANA L. LIMA;56326;02.102.164/0001-55;PORTO ALEGRE;RS;1
LUCIANA PAOLOZZI SERVULO DA CUNHA - ME;36236;22.951.960/0001-70;SÃO PAULO;SP;1
LUCIANA REGINA RODRIGUES -ME;39829;28.027.101/0001-75;PORTO ALEGRE;RS;1
LUCIANE ESTEVES CORDEIRO;54710;27.826.930/0001-55;ARAPOTI;PR;1
LUCIANE PINHEIRO GROSSINI MARIANTE PRODUCOES - EPP;19518;09.000.667/0001-69;PORTO ALEGRE;RS;1
LUCIANO AZEVEDO DE SOUZA;34234;11.056.205/0001-05;NATAL;RN;1
LUCIANO DA LUZ MOUCKS;2985;02.743.258/0001-03;PORTO ALEGRE;RS;2
LUCIANO FERNANDEZ SCHERER;54522;51.460.101/0001-86;SANTA VITÓRIA DO PALMAR;RS;1
LUCIANO KLAUS ALVES DE SOUSA GUIMARAES SERVICOS;55474;39.500.480/0001-95;TERESINA;PI;1
LUCIANO RODRIGUES DE LIMA - ME;43529;29.043.472/0001-03;BAGÉ;RS;1
LUCIANO ROMANIELI PRODUCOES LTDA;58105;43.486.912/0001-28;RIO DE JANEIRO;RJ;1
LUCICLEITON MOTA MARTINS DA SILVA;64271;40.301.073/0001-38;CAMPO GRANDE;MS;1
LUCINDA PRODUÇÕES CINEMATOGRÁFICAS E ARTÍSTICAS LTDA;21066;14.595.634/0001-49;RECIFE;PE;1
LUCINEIA DIAS DLPRODUÇOES;56890;45.662.453/0001-11;SÃO PAULO;SP;1
LUCINESCOPIA PRODUCOES CINEMATOGRAFICAS E ARTISTICAS EIRELI;30646;22.780.263/0001-01;RECIFE;PE;1
LUCIO SOUZA ALMEIDA;51565;15.709.062/0001-44;SÃO PAULO;SP;1
LUCKPLAY PRODUÇÕES LTDA;40209;30.390.985/0001-70;RIO DE JANEIRO;RJ;1
LUDICA PRODUCOES AUDIOVISUAIS LTDA;54804;12.142.466/0001-00;RIO DE JANEIRO;RJ;1
LUDICAMENTE PRODUÇÕES LTDA;51321;45.983.359/0001-64;SÃO PAULO;SP;1
LUDILAND ANIMAÇÕES E PRODUÇÕES LTDA;56104;50.133.656/0001-50;CAMPINA GRANDE;PB;1
LUDO ANIMATION PRODUCOES AUDIOVISUAIS LTDA;62729;61.862.734/0001-74;RECIFE;PE;1
LUDOVIC PRODUCOES DE CINEMA E VIDEO LTDA;28042;12.443.414/0001-74;SÃO PAULO;SP;1
LUDUS ARKANA MIDIA STUDIO;63339;44.511.432/0001-32;CAMPO GRANDE;MS;1
LUDUS VIDEOS E CULTURA LTDA - ME;28320;09.261.882/0001-13;SÃO PAULO;SP;1
LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;22808;05.249.852/0001-30;RIO DE JANEIRO;RJ;1
LUGIBI PRODUCOES ARTISTICAS LTDA;59478;20.079.410/0001-87;SÃO PAULO;SP;1
LUI CASTANHO PRODUCOES ARTISTICAS LTDA;63415;30.383.105/0001-38;SÃO PAULO;SP;1
LUIDY PROPAGANDA, PRODUÇÕES LTDA;53634;48.816.636/0001-32;SÃO PAULO;SP;1
LUIS D'MOHR STUDIOS LTDA;55728;05.326.225/0001-56;SANTA CRUZ DO SUL;RS;1
LUIS FELIPE M.KOTZ - ME;21900;13.979.311/0001-96;URUGUAIANA;RS;1
LUIS GUSTAVO CAIXETA DOS SANTOS PRODUÇÃO DE FILMES LTDA;64155;36.170.291/0001-03;BELO HORIZONTE;MG;1
LUIS WILLIAM LEMOS DA SILVA;32344;15.184.267/0001-53;SÃO PAULO;SP;1
LUISA CAMPOS PRODUCAO E EDICAO DE AUDIOVISUAL E FOTOGRAFIA LTDA;62347;23.476.100/0001-94;SÃO PAULO;SP;1
LUISA CLASEN SILVA LTDA;58913;22.238.755/0001-61;CURITIBA;PR;1
LUISA DALE SILVA AUDIOVISUAL;52434;34.831.936/0001-86;SÃO PAULO;SP;1
LUISA GUIMARAES MALTA BORNHAUSEN - ME;50996;24.852.316/0001-70;SÃO PAULO;SP;1
LUISA MEIRELLES HOLANDA COPETTI LTDA;18322;11.996.753/0001-15;PORTO ALEGRE;RS;1
LUIZ ALBERTO BRIZOLA CASSOL;17182;11.363.960/0001-32;SANTA MARIA;RS;1
LUIZ ALBERTO PEROCINI ­ ME;27355;19.185.976/0001-04;DIADEMA;SP;1
LUIZ ALBERTO RODRIGUES PRODUCOES CINEMATOGRAFICAS.;55093;45.291.426/0001-80;PORTO ALEGRE;RS;1
LUIZ ANTONIO COSTA JUNIOR;25800;16.933.655/0001-52;PATROCÍNIO;MG;1
LUIZ ARMANDO LIPPEL BRAGA JUNIOR - ME;25944;19.434.019/0001-74;JOÃO PESSOA;PB;1
LUIZ CARLOS CAIRES CHAVES;51470;22.510.794/0001-76;LENÇÓIS;BA;1
LUIZ CARLOS DA SILVA PRODUÇÕES ARTÍSTICAS LTDA;56324;51.164.669/0001-50;FOZ DO IGUAÇU;PR;1
LUIZ CARLOS FERNANDES LUZ ME;4918;65.896.474/0001-09;BARRETOS;SP;1
LUIZ CARLOS JOAO FILHO LTDA;62209;39.929.266/0001-59;GUARULHOS;SP;1
LUIZ CARLOS MAIA JUNIOR PRODUÇÕES;45209;31.475.942/0001-50;PARÁ DE MINAS;MG;1
LUIZ CLÁUDIO SIMÕES MACHADO;38689;10.471.002/0001-12;BRASÍLIA;DF;1
LUIZ DO BROWNIE PALESTRAS E TREINAMENTOS LTDA;56887;34.843.650/0001-10;RIO DE JANEIRO;RJ;1
LUIZ E. R. PRADELLA;60629;34.331.954/0001-07;RIO DE JANEIRO;RJ;1
LUIZ EDUARDO BARROS MESTIERI;59814;47.846.468/0001-65;SÃO PAULO;SP;1
LUIZ FELIPE GOMES DA SILVA CIA LTDA;58285;51.504.111/0001-76;SÃO PAULO;SP;1
LUIZ FELIPE MARCONDES SERVICOS DE IMAGEM E CINEMATOGRAFIA LTDA;32044;16.948.047/0001-11;SÃO PAULO;SP;1
LUIZ FERNANDO AMOASEI DOS REIS;54196;18.469.632/0001-64;SÃO PAULO;SP;1
LUIZ FERNANDO DE CARVALHO PRODUÇÕES ARTÍSTICAS LTDA;1795;32.080.947/0001-46;RIO DE JANEIRO;RJ;1
LUIZ GERALDO MARCHETTI;32024;10.204.947/0001-78;CUIABÁ;MT;1
LUIZ GUILHERME COSTA MITTER LORENCI;41413;29.128.892/0001-92;BLUMENAU;SC;1
LUIZ MORAES DA ROCHA FILHO;49878;41.011.786/0001-20;MANAUS;AM;1
LUIZ NUNES MOREIRA JUNIOR FILMAGENS;49258;04.958.754/0001-00;CURITIBA;PR;1
LUIZ RENATO MARIANO;60713;57.711.520/0001-20;ARACAJU;SE;1
LUIZ ROBERTO DE QUEIROZ FERREIRA LEITE PINTO FILMES ME;50985;05.331.513/0001-07;SÃO PAULO;SP;1
LUIZ SILVIO VIEIRA SANTANA;52917;39.937.240/0001-52;ALVORADA;RS;1
LUIZA MATRAVOLGYI DAMIÃO;55667;27.763.131/0001-87;JAMBEIRO;SP;1
LUIZA PALHARES - LAVA LTDA;59172;49.488.891/0001-66;BELO HORIZONTE;MG;1
LUJJE SOLUCOES EM COMUNICACAO LTDA;2347;05.460.102/0001-03;CAMPO GRANDE;MS;1
LUKSO CONSULTORIA DE MARKETING LTDA;51570;08.636.625/0001-56;SÃO PAULO;SP;1
LUMA CALEGARI FERREIRA LTDA;64176;44.439.519/0001-46;BELO HORIZONTE;MG;1
LUMA FLORES PRODUCOES LTDA;60652;27.649.371/0001-55;SALVADOR;BA;1
LUMA PRODUCOES ARTISTICAS LTDA;36898;10.432.889/0001-30;RIO DE JANEIRO;RJ;1
LUMAX - PUBLICIDADE E CONSULTORIA LTDA;57663;28.248.229/0001-69;BOA VISTA;RR;1
LUME ARTE E MARKETING CULTURAL LTDA;2272;68.760.362/0001-14;RIO DE JANEIRO;RJ;1
LUME PRODUÇÕES CULTURAIS LTDA;6514;04.703.940/0001-06;FLORIANÓPOLIS;SC;1
LUMEN PRODUCOES LTDA;598;35.794.023/0001-08;RIO DE JANEIRO;RJ;2
LUMENING FILMS PRODUCOES DE VIDEOS E FOTOS LTDA;63775;36.516.146/0001-31;SÃO PAULO;SP;1
LUMIA FILMES E PRODUCOES LTDA;31305;19.911.644/0001-60;RIO DE JANEIRO;RJ;1
LUMIERE PRODUÇÕES LTDA;4901;91.490.995/0001-71;PORTO ALEGRE;RS;1
LUMILAUTA ENTRETENIMENTO LTDA;22827;17.060.439/0001-02;RIO DE JANEIRO;RJ;1
LUMINA CINE PRODUTORA LTDA;64357;59.028.567/0001-19;CAMPO GRANDE;MS;1
LUMINA STUDIO LTDA;52138;24.568.557/0001-91;ANÁPOLIS;GO;1
LUMINALETA PRODUÇÕES ARTÍSTICAS LTDA;48709;07.014.677/0001-28;MARICÁ;RJ;1
LUMINAR EVENTOS E COMUNICACAO LTDA;37040;11.200.051/0001-83;BRASÍLIA;DF;1
LUMINAR FILMES LTDA;50478;18.218.283/0001-08;BRASÍLIA;DF;1
LUMINARE AUDIOVISUAL LTDA ME;38115;15.351.619/0001-18;ILHÉUS;BA;1
LUMINAVOX PRODUTORA E ESTUDIO LTDA;61364;53.935.604/0001-96;SÃO PAULO;SP;1
LUMINE PRODUCOES CINEMATOGRÁFICAS LTDA;51639;29.995.326/0001-88;MANAUS;AM;1
LUMINI PRODUCOES LTDA;56373;50.693.682/0001-33;RIO DE JANEIRO;RJ;1
LUMIO FILMES LTDA;26176;14.676.949/0001-10;BRASÍLIA;DF;1
LUMIX PRODUÇÕES ARTÏSTICAS LTDA;17482;12.268.737/0001-79;SÃO PAULO;SP;2
LUMME CONTENT LTDA;50234;39.359.996/0001-61;RIBEIRÃO PRETO;SP;1
LUMME STUDIO LTDA - ME;34261;24.692.569/0001-23;RIBEIRÃO PRETO;SP;1
LUMOS PRODUTORA AUDIOVISUAL LTDA;63920;51.253.010/0001-70;SÃO PAULO;SP;1
LUMOS PRODUZ LTDA;64124;64.566.191/0001-36;SÃO PAULO;SP;1
LUMU FILMS LTDA;52703;49.272.728/0001-61;MARINGÁ;PR;1
LUNA INICIATIVAS CULTURAIS LTDA;33955;13.467.041/0001-34;SALVADOR;BA;1
LUNA PRODUÇÕES LTDA;728;04.941.939/0001-01;MANAUS;AM;1
LUNAR FILMES LTDA;56019;36.727.293/0001-50;SÃO PAULO;SP;1
LUNART S/S LTDA;2429;04.260.031/0001-32;FORTALEZA;CE;3
LUNAS FILMES E PRODUCOES ARTISTICAS LTDA;63019;12.546.448/0001-94;RIO DE JANEIRO;RJ;1
LUNI PRODUÇÕES LTDA;330;01.374.871/0001-38;RECIFE;PE;3
LUNI ÁUDIO E VÍDEO LTDA - ME;1870;02.857.394/0001-24;RECIFE;PE;2
LUNKES FILMES DO BRASIL LTDA;59585;14.598.607/0001-20;CURITIBA;PR;1
LUPA FILMES LTDA;26516;19.478.327/0001-00;RIO DE JANEIRO;RJ;2
LUPA-FOTOGRAFIA E PRODUCAO LTDA;2278;20.449.450/0001-73;JUIZ DE FORA;MG;1
LUPI ASSESSORIA E PRODUÇÕES ARTÍSTICAS LTDA;28279;40.382.681/0001-14;RIO DE JANEIRO;RJ;1
LUPI FILMES PRODUÇÕES E EVENTOS LTDA;35454;21.021.051/0001-70;SÃO PAULO;SP;1
LUPI PRODUCTIONS BRASIL LTDA;39664;04.152.802/0001-78;RIO DE JANEIRO;RJ;1
LUPITA PRODUCOES LTDA;64483;65.443.480/0001-00;BRASÍLIA;DF;1
LUPPIARTS/WOW! PRODUCOES ARTISTICAS LTDA;55782;10.254.623/0001-44;SÃO PAULO;SP;1
LUSCO FUSCO FILMES LTDA - EPP;19572;11.199.599/0001-50;SÃO PAULO;SP;1
LUSCO- FUSCO PRODUÇÕES CULTURAIS LTDA;22464;16.103.243/0001-95;RIO DE JANEIRO;RJ;1
LUSO PRODUTORA LTDA;61958;51.162.404/0001-12;RIO DE JANEIRO;RJ;1
LUTFI E RIOS PROJETOS LTDA;40945;06.132.042/0001-62;RIO DE JANEIRO;RJ;1
LUVA COMUNICAÇÃO LTDA;62080;34.405.192/0001-38;GUAÇUÍ;ES;1
LUVI COMERCIAL EIRELI;18229;12.369.270/0001-53;CURITIBA;PR;1
LUX FILMES + LTDA;60306;48.088.257/0001-73;RIO DE JANEIRO;RJ;1
LUXOM FILMES LTDA;23207;04.695.322/0001-53;LONDRINA;PR;1
LUZ CORRÊA SERVIÇOS AUDIOVISUAIS LTDA;64390;50.062.938/0001-04;SÃO PAULO;SP;1
LUZ DE CINEMA E VIDEO LTDA;57025;01.448.896/0001-39;SÃO PAULO;SP;1
LUZ DO FUTURO LTDA;62396;59.718.860/0001-08;SÃO PAULO;SP;1
LUZ E INSPIRAÇÃO LTDA;59271;54.019.115/0001-57;UBERLÂNDIA;MG;1
LUZ E MISTERIO PRODUCOES ARTISTICAS LTDA;34166;20.929.082/0001-60;JOÃO PESSOA;PB;1
LUZ E MOVIMENTO PRODUCOES DE FILMES LTDA;59697;44.914.333/0001-00;RIO DE JANEIRO;RJ;1
LUZ FILMES LTDA;61880;09.048.163/0001-19;RECREIO;MG;1
LUZ MÁGICA PRODUÇÕES AUDIOVISUAIS LTDA;743;73.586.513/0001-08;RIO DE JANEIRO;RJ;4
LUZ NEGRA PLUS LTDA;48771;26.617.089/0001-23;TERESINA;PI;1
LUZ PRODUÇÃO AUDIOVISUAL LTDA;46137;21.602.775/0001-07;SÃO PAULO;SP;1
LUZ PRODUÇÕES CINEMATOGRÁFICAS LTDA.;1591;00.975.333/0001-36;FORTALEZA;CE;4
LUZ PRODUÇÕES LTDA;62742;05.089.799/0001-58;RIO DE JANEIRO;RJ;1
LUZ VERMELHA FILMES - PRODUTORA DE CINEMA E VÍDEO LTDA;19171;09.152.063/0001-38;SÃO PAULO;SP;1
LUZ VÍDEO E PRODUÇÕES LTDA - ME;4624;05.823.093/0001-78;RIBEIRÃO PRETO;SP;1
LUZ, CAMERA, CINEMA TEATRO LTDA;29075;14.096.652/0001-86;RIBEIRÃO PIRES;SP;1
LUZEIRO FILMES LTDA-ME;34151;19.523.530/0001-42;SALVADOR;BA;1
LUZES DA CIDADE AUDIOVISUAL LTDA;42827;31.279.085/0001-12;JUIZ DE FORA;MG;1
LUZI LOCAÇÃO DE EQUIPAMENTOS AUDIOVISUAIS EIRELI;49707;31.958.109/0001-60;SÃO PAULO;SP;1
LUZIMAR BATISTA STRICHER;1509;05.636.026/0001-44;PORTO ALEGRE;RS;1
LV PRODUÇÕES E DISTRIBUIÇÃO DE FILME LTDA;27333;13.437.610/0001-07;BRASÍLIA;DF;1
LY AZUMA LTDA;59434;55.317.167/0001-72;SÃO PAULO;SP;1
LYNXFILM PRODUÇÕES AUDIO-VISUAIS LTDA;3298;61.383.022/0001-72;SÃO PAULO;SP;4
LYRA PRODUCOES ARTISTICAS LTDA;62938;54.082.970/0001-02;GUARULHOS;SP;1
LYS FILMES LTDA.;39641;29.795.260/0001-82;CURITIBA;PR;1
LZ FILMS FRANCHISING LTDA;37831;13.186.610/0001-73;PIRACICABA;SP;1
L´AVANT FILMES LTDA.;24635;75.908.855/0001-14;CURITIBA;PR;1
LÁBEGÀLINI FILMES LTDA.;59004;53.719.499/0001-58;SÃO PAULO;SP;1
LÍCIO MARCOS FERRREIRA DE OLIVEIRA;60695;17.347.853/0001-05;BELO HORIZONTE;MG;1
LÚDICA FILMES LTDA;59403;30.652.353/0001-37;SÃO PAULO;SP;1
LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME;12796;08.103.899/0001-80;VITÓRIA;ES;2
LÚMINA PRODUÇÕES CINEMATOGRÁFICAS LTDA;41915;32.175.276/0001-05;JOÃO PESSOA;PB;1
M & C EDUCRIATIVA LTDA.;51704;40.966.969/0001-36;LONDRINA;PR;1
M & L SERVICOS ADMINISTRATIVOS LTDA;56634;37.179.574/0001-89;MACEIÓ;AL;1
M A BENETTON VIDEO;24854;18.564.049/0001-32;PARANAVAÍ;PR;1
M A CORRE HAGGE PRODUCOES;55673;41.135.549/0001-70;MANAUS;AM;1
M B DE CARVALHO;37646;28.201.752/0001-30;CAMPINAS;SP;1
M BRAVA PRODUCOES AUDIOVISUAIS LTDA;54546;51.131.397/0001-91;GOIÂNIA;GO;1
M C DE FREITAS PRODUCOES;59684;36.936.820/0001-37;CAMETÁ;PA;1
M C M CORREIA LTDA;62658;27.718.772/0001-10;SALVADOR;BA;1
M C M SECCATTO PRODUÇÕES ARTÍSTICAS;61141;46.883.723/0001-87;CURITIBA;PR;1
M D PRODUÇÕES ARTÍSTICAS LTDA;21085;29.185.956/0001-97;RIO DE JANEIRO;RJ;1
M DE S SILVA STUDIOS;62122;50.832.766/0001-00;SANTANA DO MARANHÃO;MA;1
M DIGITAL FILMES LTDA;53368;35.834.223/0001-39;BARUERI;SP;1
M E D PUBLICIDADE DA SERRA LTDA;59317;18.342.530/0001-83;NOVA FRIBURGO;RJ;1
M F LIMA PRODUTORA DE FILMES;51578;40.192.470/0001-19;FORTALEZA;CE;1
M F PRODUÇÃO AUDIOVISUAL LTDA;44057;31.649.060/0001-63;ITABUNA;BA;1
M G C MELLO NETO PUBLICIDADE E PROPAGANDA;56815;17.348.432/0001-90;PORTO VELHO;RO;1
M H B MONTEIRO EVENTOS E ENTRETENIMENTO LTDA;56936;22.662.297/0001-93;ATALAIA;AL;1
M L DA SILVA PRODUCOES CULTURAIS;53934;50.468.484/0001-76;BEZERROS;PE;1
M L FOSSE GESTAO, COMUNICACAO E CULTURA;58441;39.471.195/0001-93;VITÓRIA;ES;1
M L TOLEDO DE MARTINO PRODUÇÕES ARTÍSTICAS;22699;15.595.876/0001-03;RIO DE JANEIRO;RJ;2
M M A GALVAO CRIACOES AUDIOVISUAIS;45655;36.533.898/0001-00;RIO DE JANEIRO;RJ;1
M M G CHEVRAND PRODUCOES AUDIOVISUAIS;40162;16.846.555/0001-99;RIO DE JANEIRO;RJ;1
M M SALLES PRODUÇÕES LTDA;1004;03.222.082/0001-07;RIO DE JANEIRO;RJ;1
M M SIQUEIRA PRODUCOES;54579;29.218.293/0001-60;RIO DE JANEIRO;RJ;1
M MARGARITA HERNANDEZ PASCUAL;977;00.993.636/0001-81;FORTALEZA;CE;2
M MARINS SOARES;51447;20.212.461/0001-35;NOVA FRIBURGO;RJ;1
M MEOLA PRODUÇÕES ARTÍSTICAS LTDA;42544;18.906.531/0001-03;SÃO PAULO;SP;1
M MORE COLETIVO PRO LTDA;34066;25.331.541/0001-23;RIO DE JANEIRO;RJ;1
M N SANTOS PRODUTORA DE VÍDEO LTDA;51262;46.084.470/0001-81;BELÉM;PA;1
M R L RIBEIRO FILMES;36295;18.356.932/0001-37;NATAL;RN;1
M R MIRANDA - PRODUCOES E EVENTOS;64581;27.689.778/0001-06;BRASÍLIA;DF;1
M S CRUZ AGENCIA DE PUBLICIDADE;63263;62.668.891/0001-06;TERESINA;PI;1
M STRUZ STUDIO;49598;22.232.456/0001-10;RIO DE JANEIRO;RJ;1
M T GARRUTH STUDIO;20570;12.476.637/0001-38;CACHOEIRO DE ITAPEMIRIM;ES;1
M V GIRALDELLI PRODUCOES AUDIOVISUAIS;57532;23.622.669/0001-10;CARIACICA;ES;1
M Z CARAMEZ DE CASTRO LEITE CARNEIRO;17151;22.962.526/0001-95;BELÉM;PA;1
M&E PUBLICIDADE LTDA;56595;39.806.033/0001-69;IPATINGA;MG;1
M&K FILMES E ROTEIROS LTDA;58695;32.643.622/0001-24;RIO DE JANEIRO;RJ;1
M&M PRODUTORA AUDIOVISUAL LTDA;58192;40.336.147/0001-71;RIO DE JANEIRO;RJ;1
M&M PRODUÇÕES AUDIOVISUAIS LTDA - ME;29952;21.879.345/0001-37;SÃO CAETANO DO SUL;SP;1
M&R BARBOSA SOLUCOES LTDA;55778;33.896.443/0001-61;CAMPOS DOS GOYTACAZES;RJ;1
M'BARAKA PROJETOS E PRODUCOES CULTURAIS LTDA;58699;07.959.913/0001-89;RIO DE JANEIRO;RJ;1
M+PRODUÇÕES AUDIOVISUAIS LTDA;58001;54.765.539/0001-60;RIO DE JANEIRO;RJ;1
M. A. F. DE SOUZA FILMAGEM E LOCACOES;62814;06.018.585/0001-53;SÃO PAULO;SP;1
M. ALTBERG CINEMA E VÍDEO LTDA;1;39.939.269/0001-73;RIO DE JANEIRO;RJ;1
M. B. CRIATIVA - COMUNICACAO LTDA;61508;22.880.305/0001-78;SÃO JOSÉ DO RIO PRETO;SP;1
M. B. DE MORAIS AUDIOVISUAIS;51989;11.939.324/0001-06;RECIFE;PE;1
M. BELLAO;62847;17.417.655/0001-62;LIMEIRA;SP;1
M. DE L. E. MIRANDA;1015;04.422.814/0001-75;MOGI MIRIM;SP;1
M. F. K. BACHOSKY LTDA;53828;50.321.265/0001-60;TANGARÁ DA SERRA;MT;1
M. HORN & CIA LTDA;53757;11.539.766/0001-65;ENCANTADO;RS;1
M. M. COSTA PUBLICIDADE LTDA;4336;12.944.815/0001-08;UNIÃO DOS PALMARES;AL;1
M. M. DE FREITAS NETO LTDA;57548;45.106.579/0001-00;MACAPÁ;AP;1
M. M. SCHETTERT PRODUCOES AUDIOVISUAIS LTDA;61622;12.257.692/0001-37;BELÉM;PA;1
M. PADULA DE SOUZA;63434;32.052.322/0001-70;BARRA DO RIBEIRO;RS;1
M. PRODUÇÕES DE VÍDEO E PUBLICIDADE LTDA;16364;10.674.095/0001-82;NATAL;RN;1
M. R. YOKODA PRODUÇÃO CINEMATOGRAFICA;58575;31.782.064/0001-15;SÃO PAULO;SP;1
M. RIBEIRO COMUNICAÇÃO LTDA;43132;20.109.752/0001-00;GOIÂNIA;GO;1
M.B. PRODUÇÕES ARTÍSTICAS LTDA.;856;04.457.215/0001-97;RIO DE JANEIRO;RJ;1
M.C.L. COMPANHIA LTDA;64409;57.806.901/0001-92;SÃO PAULO;SP;1
M.E.G LAPPONI PRODUÇÕES ME;39961;19.081.334/0001-65;SÃO PAULO;SP;1
M.L.GONÇALVES PRODUÇÕES ARTÍSTICAS E CULTURAIS ME;31514;14.206.644/0001-45;MACAÉ;RJ;1
M.ROCHA WYVERN FILMES E PRODUÇÕES LTDA.;16784;11.188.565/0001-60;SUZANO;SP;1
