Listagem de projetos contemplados e valores – Programa Ibermedia 2004 a 2019;;;;;;;;
;;;;;;;;
Ano do Edital;Modalidade;Projeto;Certificado de Produto Brasileiro (CPB);CNPJ;Empresa Brasileira Beneficiária no Ibermedia;UF;Participação Patrimonial;Valor (US$)
2012;Desenvolvimento;Los Silencios (ex Cinco Vidas e um Segredo);B1800445500000;11.101.993/0001-04;Descoloniza Filmes;SP; -;7.450,00
2012;Desenvolvimento;Turma da Bossa; -;07.718.282/0001-06;Doc Doma Filmes;BA; -;15.000,00
2012;Desenvolvimento;Dias Nublados; -;09.524.461/0001-38;Nero Filmes;RS; -;14.000,00
2012;Desenvolvimento;Antes o Tempo Não Acabava;B1600245600000;04.302.591/0001-02;Sergio J. De Andrade;AM; -;15.000,00
2012;Formação;Workshop e Tal; -;05.576.331/0001-98;TAL;SP; -;38.000,00
2011;Coprodução;Romance Policial;B1402131500000;05.617.531/0001-41;Deserto Filmes;RJ;Coprodução Brasil Majoritário;100.000,00
2011;Coprodução;Prova de Coragem;B1500399400000;86.777.331/0001-58;M. Schmiedt Produções Ltda.;RS;Coprodução Brasil Majoritário;100.000,00
2011;Coprodução;A memória que me contam;B1201661300000;73.947.392/0001-74;Taiga Filmes e Video Eireli;RJ;Coprodução Brasil Majoritário;100.000,00
2011;Delivery;Super Nada;B1101521000000;58.496.571/0001-49;Texto & Cia;SP; -;15.000,00
2011;Desenvolvimento;Perto do Céu; -;01.231.528/0001-34;Araçá Azul Produção Eventos e Turismo Ltda;BA; -;10.000,00
2011;Desenvolvimento;O Segredo da Serpente; -;37.981.206/0001-50;Asacine Produções EIRELI;DF; -;10.000,00
2011;Desenvolvimento;Deslembro (ex A Memória É um Músculo da Imaginaçao);B1800411600000;06.188.477/0001-29;Batoque Filmes;RJ; -;10.000,00
2011;Desenvolvimento;Tito e os Pássaros;B1900029000000;04.310.171/0001-78;Bits Produções Ltda;SP; -;10.000,00
2011;Desenvolvimento;Tropykaos;B1700025700000;08.410.008/0001-38;Cavalo do Cão Filmes;BA; -;10.000,00
