PAIS_ORIGEM;TITULO_ORIGINAL;CPB
BRASIL;""" DO JEITO QUE EU FALO"" - 2009";B0901092600000
BRASIL;""" IRAL """;B2500233900000
BRASIL;""" STEVENS - JAM SESSIONS""";B1101500000000
BRASIL;"""...AQUELAS MULHERES...""";B1101355500000
BRASIL;"""4 MIL HORAS""";B1101499400000
BRASIL;"""55S4"" - A VIRADA";B1301847300000
BRASIL;"""6ª FEIRA""";B1001262300000
BRASIL;"""A CORUJA E O CORAÇÃO""";B1101499600000
BRASIL;"""A DRAG A GOZAR""";B0800827000000
BRASIL;"""A SANTA DE CASA E O POVO DE SANTO""";B1301731700000
BRASIL;"""A TRADIÇÃO DO BARÁ DO MERCADO - OS CAMINHOS INVISÍVEIS DO NEGRO EM PORTO ALEGRE.""";B0800827800000
BRASIL;"""A VIDA NÃO BASTA""";B1402073000000
BRASIL;"""AGENDA - CONDOR"" - AUDIO VISUAL - PRETTOS NO PAGODE";B2300453700000
BRASIL;"""AION""";B2500083300000
BRASIL;"""AO FINAL DA CONVERSA, ELES SE DESPEDEM COM UM ABRAÇO""";B1700320600000
BRASIL;"""AO VIVO QUANDO A TERRA ERA REDONDA""";B2100543200000
BRASIL;"""AQUILO QUE ME SATISFAZ!""";B2000362500000
BRASIL;"""ASMQ UMA PARCERIA INOVADORA CONTRA A MALÁRIA""";B0800962200000
BRASIL;"""AT THE END""";B1500606300000
BRASIL;"""AZYLLO MUITO LOUCO""";B0500240500000
BRASIL;"""BOA SORTE/GOOD LUCK""";B0700706700000
BRASIL;"""BRASIL CLÁSSICO CAIPIRA""";B1101503500000
BRASIL;"""CHIC"" UM GUIA BÁSICO DE MODA E ESTILO";B0400153000000
BRASIL;"""CIGARRA""";B1900232300000
BRASIL;"""COMEÇO""";B1101499900000
BRASIL;"""CORONÉIS DE GERTRUDES""";B1500315100000
BRASIL;"""DE MAIS NINGUÉM""";B1101499500000
BRASIL;"""DESCOSTURANDO COM HERCHCOVITCH"" TEMPORADA 2";B2400134000000
BRASIL;"""DOS 80 AOS 40, 50...""";B1700242900000
BRASIL;"""EL HOMBRE QUE CUIDA""";B1800115900000
BRASIL;"""EL JUSTICEIRO""";B0500240400000
BRASIL;"""ELZA SOARES - O GINGADO DA NÊGA""";B1301943100000
BRASIL;"""EM CERTAS CAVERNAS GOTEJA A ÁGUA""";B1301866100000
BRASIL;"""EM COMUM"" - PGM 2";B0700781100000
BRASIL;"""EMERGÊNCIA""";B0800942600000
BRASIL;"""ESMERALDA"" - A JOIA DO FLAMENCO";B2200247400000
BRASIL;"""ESSA SOU EU"" VIDEOCLIPE";B1402080600000
BRASIL;"""EU QUASE QUE NADA SEI..."" - UMA HISTÓRIA DE APRENDIZAGEM";B2200247900000
BRASIL;"""EVOLUÇÃO, A FESTA DA VIDA""";B0901116200000
BRASIL;"""G.A.B.I.""";B0700678000000
BRASIL;"""GRAND CENTRAL STATION""";B0500242400000
BRASIL;"""HISTÓRIAS DO MAR""";B0700789400000
BRASIL;"""HIV, E DAÍ ?""";B1302035100000
BRASIL;"""HOJE NÃO É MAIS"" ORIENTE FT. L7NNON";B2400487800000
BRASIL;"""JANELA DA FAVELA""";B0800818000000
BRASIL;"""LOUCURA BEM RESOLVIDA""";B1101448200000
BRASIL;"""MALDITO ZÉ DO CAIXÃO""";B1402240600000
BRASIL;"""MANDACARU VERMELHO""";B0500239800000
BRASIL;"""MAS HOJE NÃO É QUINTA-FEIRA""";B1402363800000
BRASIL;"""MAS MESMO ASSIM...""";B1700626700000
BRASIL;"""MEETING SÃO PAULO""";B1600473300000
BRASIL;"""MEU CAMINHO"" - JOTA";B2000442300000
BRASIL;"""MINAS PORTUGUESA""";B0901065200000
BRASIL;"""MTV AO VIVO BAILÃO DO RUIVÃO - NANDO REIS E OS INFERNAIS""";B1001313300000
BRASIL;"""MUITO EM MIM""";B1101448300000
BRASIL;"""MULTISHOW AO VIVO - DOIS AMIGOS, UM SÉCULO DE MÚSICA - CAETANO VELOSO E GILBERTO GIL""";B1500928500000
BRASIL;"""N"". DE VANESSA";B1700262600000
BRASIL;"""NANOVÍDEO ANTROPOZOIDE""";B2500083100000
BRASIL;"""NEW YORK""";B1302058700000
BRASIL;"""NINFA""";B1201681000000
BRASIL;"""NO COMPASSO DO SAMBA"" - GRUPO DOSE CERTA";B1301930000000
BRASIL;"""NÃO CUSTA TENTAR""";B1101499300000
BRASIL;"""O AMOR NÃO MORRE""";B1402564600000
BRASIL;"""O AMOR""";B1301777900000
BRASIL;"""O LADO B DA PANDEMIA – OS HERÓIS INVISÍVEIS""";B2400406000000
BRASIL;"""OFERTÓRIO"" CAETANO, MORENO, ZECA, TOM VELOSO";B1800127400000
BRASIL;"""OLHOS CLAROS""";B1101499200000
BRASIL;"""OPINIÃO"" (1964): POÉTICAS DA VOZ, POÉTICAS QUE DÃO VOZ";B2500094300000
BRASIL;"""ORAÇÃO"" ORIENTE FT. ALEXANDRE CARLO";B2400487700000
BRASIL;"""OS CALO""";B2500060700000
BRASIL;"""PITÁGORAS DE SAMOS""";B2400376300000
BRASIL;"""POVO LINDO, POVO INTELIGENTE!"" - O SARAU DA COOPERIFA";B0800957900000
BRASIL;"""QUADERNA""";B1301992900000
BRASIL;"""RAIO DE SOL"" - VIDEOCLIPE OFICIAL - BANDA JAMIRULUS (MOTIOM PV)";B1500843100000
BRASIL;"""REGGAE A PAIXÃO""";B1101500500000
BRASIL;"""REGISTRO.DOC | INDEPENDÊNCIAS""";B2300492000000
BRASIL;"""RETRATOS BRASILEIROS - SYLVIO BACK""";B0700773800000
BRASIL;"""SALVE A LAGOA""";B0700789300000
BRASIL;"""SE TU SOUBESSE""";B1900286700000
BRASIL;"""SEM DENTES"" BANGUELA RECORDS E A TURMA DE 94";B1600348200000
BRASIL;"""SEM SE ENTREGAR""";B1201683400000
BRASIL;"""SEU CUCA AO VIVO""";B0800909300000
BRASIL;"""SHOW POCKET GARAGE DEZOITO""";B1101499800000
BRASIL;"""SIMPLES ASSIM""";B1101521500000
BRASIL;"""SOLO""";B0901120600000
BRASIL;"""SONHOS CONTRÁRIOS""";B0800831800000
BRASIL;"""SÃO JOÃO VIVO""";B0600625300000
BRASIL;"""SÃO PAULO NEGRA""";B1600473400000
BRASIL;"""TANGO""";B0901074000000
BRASIL;"""TCHAU MEU BEM""";B1500099300000
BRASIL;"""TCHIBUM"" É O PRIMEIRO LIVRO INFANTIL DE GUSTAVO BORGES";B1001284400000
BRASIL;"""THREE LITTLE BIRDS"" - NIKO DIAS";B2000453800000
BRASIL;"""TOCA AÍ UM JOÃO MINEIRO E MARCIANO""";B1500455500000
BRASIL;"""TOCA UMA REGUEIRA AÍ!""";B0500314100000
BRASIL;"""TRATA-ME AMOR""";B2300552300000
BRASIL;"""TUDO QUE EU SINTO""";B1201599500000
BRASIL;"""UM CARA COMUM""";B1301778000000
BRASIL;"""UM PROFESSOR BRASILEIRO NO IRAQUE""";B0800942800000
BRASIL;"""UMA ELEIÇÃO PARA INGLÊS VER""";B0800942300000
