PAIS_ORIGEM;TITULO_ORIGINAL;ROE
ALEMANHA;BERLINER PHILARMONIKER - THE SINGAPORE CONCERT;E1300000100000
ALEMANHA;BETHLEHEM;E1500706800000
ALEMANHA;BETROFFENHEIT;E2000438200000
ALEMANHA;BEYONCÉ & SOLANGE - THE QUEEN OF POP AND HER SOUL SISTER;E2400179500000
ALEMANHA;BIBI BLOCKSBERG;E1300000100000
ALEMANHA;BIBI BLOCKSBERG I;E1300000100000
ALEMANHA;BIBI BLOCKSBERG UND DAS GEHEIMNIS DER BLAUEN EULEN;E1300000100000
ALEMANHA;BIBI BLOCKSERG I;E1300000100000
ALEMANHA;BICENTENNIAL MAN;E1700265200000
ALEMANHA;BIG CITIES;E1600660600000
ALEMANHA;BIG GAME;E1600069000000
ALEMANHA;BIG GIRLS DON'T CRY;E1300000100000
ALEMANHA;BIG MOMMA'S HOUSE;E1700168700000
ALEMANHA;BIG WHITE, THE;E1300000100000
ALEMANHA;BIRTH DAY;E1402632300000
ALEMANHA;BIS ANS ENDE DER NACHT;E2400002800000
ALEMANHA;BITTER SUITE;E1300000100000
ALEMANHA;BLACK BUTTERFLIES;E1500458400000
ALEMANHA;BLACK DHALIA, THE;E1300000100000
ALEMANHA;BLACK LABEL SOCIETY - LIVE IN COLOGNE;E1300000100000
ALEMANHA;BLAST;E1300000100000
ALEMANHA;BLAST THE PAST;E2600124000000
ALEMANHA;BLAUE ENGEL, DER AKA BLUE ANGEL, THE;E1300000100000
ALEMANHA;BLIZNA;E2000414900000
ALEMANHA;BLOOD TRAILS;E1300000100000
ALEMANHA;BLUE ANGEL, THE;E2500138900000
ALEMANHA;BLUE CRUSH;E1300000100000
ALEMANHA;BLUE CRUSH;E1700121900000
ALEMANHA;BLUE EYED;E1300000100000
ALEMANHA;BLUE STREAK;E1700229700000
ALEMANHA;BODY OF EVIDENCE;E1300000100000
ALEMANHA;BOHEMIA - A YEAR IN THE WETLANDS;E1300000100000
ALEMANHA;BOOK THIEF, THE;E1300000100000
ALEMANHA;BOOKIES;E1300000100000
ALEMANHA;BORN TO BE WILD: THE STORY OF STEPPENWOLF;E2500299600000
ALEMANHA;BOTCHED (AKA 13);E1300000100000
ALEMANHA;BOTTICELLI INFERNO;E1700548900000
ALEMANHA;BOURNE SUPREMACY, THE;E1300000100000
ALEMANHA;BOURNE ULTIMATUM, THE;E1300000100000
ALEMANHA;BOURNE ULTIMATUM, THE;E1402601600000
ALEMANHA;BOYZ ´N BABES (AKA-VOLL KORREKTE JUNGS);E1300000100000
ALEMANHA;BRAHMS, PIANO CONCERT N 1, D MINOR, OP 15;E1300000100000
ALEMANHA;BREAK;E1300000100000
ALEMANHA;BREED, THE;E1300000100000
ALEMANHA;BRIMSTONE;E1700222100000
ALEMANHA;BUENA VISTA SOCIAL CLUB;E1300000100000
ALEMANHA;BUENA VISTA SOCIAL CLUB;E1900106600000
