ano,cnae_classe,cnae_subclasse,classe,subclasse,empregos_formais_ativos_31_12
2010,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",5300
2011,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",5046
2012,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",4674
2013,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",4373
2014,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",4172
2015,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",3784
2016,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",3315
2017,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",2862
2018,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",2687
2019,47.62-8,47.62-8/00,"Comercio varejista de discos, CDs, DVDs e fitas","Comercio varejista de discos, CDs, DVDs e fitas",1964
