REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ;REGISTRO_ANCINE_ASSOCIADO;AGENTE_ECONOMICO_ASSOCIADO;CNPJ_ASSOCIADO;RELACAO;DATA_ASSOCIACAO
49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;COLIGAÇÃO;29/06/2022
51;ZEPPELIN PRODUÇÕES DE CINEMA E TELEVISÃO LTDA.;94.100.302/0001-85;44584;ZEPP FILMES LTDA;35.339.160/0001-44;COLIGAÇÃO;13/02/2025
53;GIROS PROJETOS AUDIOVISUAIS LTDA;04.661.796/0001-84;53115;GIROS HOLDING LTDA.;39.701.760/0001-61;COLIGAÇÃO;12/11/2024
55;MADE TO CREATE CRIAÇÕES E PRODUÇÕES LTDA.;00.495.190/0001-65;13680;BE BOSSA NOVA CRIACOES E PRODUCOES S/A;07.533.507/0001-50;COLIGAÇÃO;21/10/2024
55;MADE TO CREATE CRIAÇÕES E PRODUÇÕES LTDA.;00.495.190/0001-65;1513;EDTM CONSULTORIA E PRODUÇÕES LTDA;05.372.947/0001-47;COLIGAÇÃO;26/02/2018
55;MADE TO CREATE CRIAÇÕES E PRODUÇÕES LTDA.;00.495.190/0001-65;4566;BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A;07.477.471/0001-34;COLIGAÇÃO;16/12/2024
60;ZERO FILMES LTDA;96.288.634/0001-60;16973;ZEROBRAS PRODUÇÕES LTDA.;11.668.777/0001-45;COLIGAÇÃO;11/05/2020
61;AQUARELA FILMES PRODUCOES CINEMATOGRAFICAS LTDA;03.425.182/0001-30;57998;AKHENATON ARTS PRODUÇÕES LTDA;53.668.402/0001-25;COLIGAÇÃO;18/04/2024
63;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;7087;O2 CINEMA LTDA;02.525.725/0001-29;COLIGAÇÃO;08/10/2025
63;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;107;O2 FILMES CURTOS LTDA;68.474.774/0001-98;COLIGAÇÃO;21/03/2022
63;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;13636;O2 FILMES PUBLICITÁRIOS LTDA.;08.746.762/0001-43;COLIGAÇÃO;28/06/2022
63;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;14193;O2 POS PRODUÇÕES LTDA;00.165.794/0001-43;COLIGAÇÃO;25/02/2022
65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;COLIGAÇÃO;23/03/2022
65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;COLIGAÇÃO;29/06/2022
65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;COLIGAÇÃO;17/03/2022
65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;2687;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;COLIGAÇÃO;16/11/2023
66;ANTARES COMÉRCIO E SERVIÇOS LTDA. ME;51.624.906/0001-18;78;ESTÚDIO SÃO PAULO LTDA.;01.512.529/0001-57;COLIGAÇÃO;29/11/2021
68;TURNING POINT PRODUCOES EIRELI;00.325.903/0001-42;32985;TURNING PROCESSAMENTO DE DADOS E IMAGENS LTDA;08.691.210/0001-85;COLIGAÇÃO;17/06/2021
68;TURNING POINT PRODUCOES EIRELI;00.325.903/0001-42;16155;CASA SUNSET - INSTITUTO NAUM TURQUENITCH DE CINEMA E CULTURA;08.549.765/0001-97;COLIGAÇÃO;04/12/2018
68;TURNING POINT PRODUCOES EIRELI;00.325.903/0001-42;51904;KESEF PRODUTORA DE FILMES E CONTEÚDO LTDA;46.727.862/0001-11;COLIGAÇÃO;22/08/2022
78;ESTÚDIO SÃO PAULO LTDA.;01.512.529/0001-57;66;ANTARES COMÉRCIO E SERVIÇOS LTDA. ME;51.624.906/0001-18;COLIGAÇÃO;20/06/2022
79;ASACINE PRODUCOES LTDA;37.981.206/0001-50;35092;CASANIMADA FILMES EIRELI;22.300.720/0001-05;COLIGAÇÃO;05/01/2022
85;TBR PRODUÇÕES ESPECIAIS DE IMAGENS E TEXTOS LTDA;60.700.739/0001-38;22242;TIME FILME PRODUTORA AUDIOVISUAL LTDA;15.183.073/0001-33;COLIGAÇÃO;03/04/2023
87;PRODIGO FILMS LTDA;00.020.648/0001-20;45511;ICONOCLAST PRODUÇÕES AUDIOVISUAIS LTDA;36.411.343/0001-96;COLIGAÇÃO;16/08/2022
87;PRODIGO FILMS LTDA;00.020.648/0001-20;7061;INCRÍVEL FILMES PRODUÇÃO DE FILMES LTDA;08.187.584/0001-68;COLIGAÇÃO;21/08/2024
87;PRODIGO FILMS LTDA;00.020.648/0001-20;57931;ZITRO SUPERFILMES LTDA;09.274.816/0001-88;COLIGAÇÃO;10/04/2024
87;PRODIGO FILMS LTDA;00.020.648/0001-20;22058;MAD MEN PRODUÇÕES EIRELI - ME;13.500.059/0001-90;COLIGAÇÃO;24/08/2022
87;PRODIGO FILMS LTDA;00.020.648/0001-20;12068;MAX E NICCO FILMES LTDA;03.013.985/0001-88;COLIGAÇÃO;28/03/2024
89;CINEMA FILMES LTDA;60.043.411/0001-96;1872;CIRCUS FILMS LTDA;05.645.012/0001-97;COLIGAÇÃO;18/02/2020
89;CINEMA FILMES LTDA;60.043.411/0001-96;18510;VHM COMUNICAÇÃO EIRELI;13.271.724/0001-11;COLIGAÇÃO;28/10/2021
91;CINNERGIA PRODUÇÕES LTDA;00.287.834/0001-20;103;MAREA PRODUCOES LTDA;04.069.379/0001-47;COLIGAÇÃO;26/11/2025
100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;COLIGAÇÃO;17/03/2022
100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;COLIGAÇÃO;13/11/2025
100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;COLIGAÇÃO;23/03/2022
100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;2687;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;COLIGAÇÃO;16/11/2023
101;TVSBT CANAL 4 DE SAO PAULO S/A;45.039.237/0001-14;28276;AURIN PRODUÇÕES;09.533.276/0001-00;COLIGAÇÃO;24/01/2025
103;MAREA PRODUCOES LTDA;04.069.379/0001-47;91;CINNERGIA PRODUÇÕES LTDA;00.287.834/0001-20;COLIGAÇÃO;26/04/2023
105;DISTRIBUIDORA DE FILMES S/A RIOFILME;68.610.302/0001-15;978;MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA;74.114.471/0001-67;COLIGAÇÃO;18/04/2023
107;O2 FILMES CURTOS LTDA;68.474.774/0001-98;14193;O2 POS PRODUÇÕES LTDA;00.165.794/0001-43;COLIGAÇÃO;25/02/2022
107;O2 FILMES CURTOS LTDA;68.474.774/0001-98;13636;O2 FILMES PUBLICITÁRIOS LTDA.;08.746.762/0001-43;COLIGAÇÃO;28/06/2022
107;O2 FILMES CURTOS LTDA;68.474.774/0001-98;7087;O2 CINEMA LTDA;02.525.725/0001-29;COLIGAÇÃO;08/10/2025
107;O2 FILMES CURTOS LTDA;68.474.774/0001-98;63;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;COLIGAÇÃO;10/01/2025
108;LILIAN DOMINGUES MENDES DA SILVA - EPP;00.211.776/0001-50;21157;NA CHACARA FILMES LTDA - EPP;15.110.606/0001-57;COLIGAÇÃO;06/11/2020
112;OFF-HOLLYWOOD PRODUÇÕES LTDA. EPP;04.336.686/0001-47;51878;JUAN ALBERTO GOMEZ PRODUCOES;36.125.472/0001-18;COLIGAÇÃO;17/08/2022
115;TAMBOR PRODUÇÕES CINEMATOGRÁFICAS LTDA;03.273.012/0001-88;44203;CAFE ROYAL FILMES LTDA;34.258.649/0001-29;COLIGAÇÃO;15/08/2023
115;TAMBOR PRODUÇÕES CINEMATOGRÁFICAS LTDA;03.273.012/0001-88;248;CR ENTRETENIMENTO LTDA;66.657.727/0001-54;COLIGAÇÃO;26/10/2020
118;PARAMOUNT HOME ENTERTAINMENT (BRAZIL) LTDA.;29.027.687/0001-30;33787;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;COLIGAÇÃO;30/06/2022
121;MISTER GRAFIX PRODUÇÕES LTDA;72.618.820/0001-52;122;CENA 1 PRODUÇÕES LTDA;02.899.751/0001-17;COLIGAÇÃO;27/11/2024
121;MISTER GRAFIX PRODUÇÕES LTDA;72.618.820/0001-52;43305;5600K PRODUÇÕES LTDA;33.643.237/0001-40;COLIGAÇÃO;24/01/2025
122;CENA 1 PRODUÇÕES LTDA;02.899.751/0001-17;43305;5600K PRODUÇÕES LTDA;33.643.237/0001-40;COLIGAÇÃO;24/01/2025
122;CENA 1 PRODUÇÕES LTDA;02.899.751/0001-17;121;MISTER GRAFIX PRODUÇÕES LTDA;72.618.820/0001-52;COLIGAÇÃO;04/03/2013
123;S FILMES PRODUÇÃO LTDA;60.901.121/0001-36;43157;ROOFTOPAUGUSTA PRODUCAO E COMUNICACAO CULTURAL LTDA;26.757.325/0001-07;COLIGAÇÃO;02/12/2019
127;SP TELEFILM PRODUÇÕES EM CINE VT LTDA;96.434.063/0001-25;4066;SERRES PRODUCOES EM CINE -VT EIRELI;67.414.508/0001-07;COLIGAÇÃO;12/06/2024
131;SKY SERVICOS DE BANDA LARGA LTDA.;00.497.373/0001-10;48118;STREAMCO DISTRIBUIÇÃO DE VIDEO BRASIL LTDA;35.473.202/0001-35;COLIGAÇÃO;14/05/2021
132;PRODUTORA DE CINEMA E FILMES ASSOCIADOS LTDA.;01.648.742/0001-90;29;DREAM FILMES ASSOCIADOS LTDA;01.629.547/0001-13;COLIGAÇÃO;20/09/2022
133;CASA DE CINEMA DE PORTO ALEGRE LTDA.;94.625.829/0001-23;18589;ANJO PRODUCOES CINEMATOGRAFICAS LTDA;02.471.113/0001-09;COLIGAÇÃO;14/10/2025
138;RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.;44.154.342/0001-31;11792;RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.;08.331.280/0001-22;COLIGAÇÃO;22/09/2025
152;EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.;20.462.917/0001-15;50685;ESPINHA DE BACALHAU CONTEÚDO AUDIOVISUAL LTDA;45.202.167/0001-73;COLIGAÇÃO;08/03/2022
152;EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.;20.462.917/0001-15;51854;NO.HAY.BANDA CRIAÇÃO E PRODUÇÃO DE CONTEÚDO AUDIOVISUAL LTDA.;47.385.313/0001-79;COLIGAÇÃO;19/05/2023
152;EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.;20.462.917/0001-15;13017;EMVIDEO EVENTOS AUDIOVISUAIS LTDA;07.071.805/0001-75;COLIGAÇÃO;18/04/2024
154;CÁPSULA CINEMATOGRÁFICA LTDA;04.705.264/0001-00;22682;ICE FILMES LTDA - ME;15.683.184/0001-09;COLIGAÇÃO;05/01/2018
156;VPI - VÍDEO PRODUÇÕES INDEPENDENTES LTDA;49.084.916/0001-66;38506;SOLANO RIBEIRO VÍDEO PRODUÇÕES INDEPENDENTES - ME;15.030.800/0001-22;COLIGAÇÃO;21/03/2023
163;RIO VERMELHO FILMES LTDA;01.233.122/0001-90;14649;MAIOMIDIA COMUNICACAO LTDA;06.296.389/0001-40;COLIGAÇÃO;11/07/2019
167;QUANTA CENTRO DE PROD. CINEMATOGRÁFICA DE SÃO PAULO LTDA.;52.113.594/0001-40;25973;DGT SERVIÇOS DE MONITORAMENTO LTDA;15.691.691/0001-94;COLIGAÇÃO;26/06/2023
167;QUANTA CENTRO DE PROD. CINEMATOGRÁFICA DE SÃO PAULO LTDA.;52.113.594/0001-40;52513;ESTUDIOS RIOS PRODUÇÕES SPE S.A.;46.334.899/0001-80;COLIGAÇÃO;16/02/2024
167;QUANTA CENTRO DE PROD. CINEMATOGRÁFICA DE SÃO PAULO LTDA.;52.113.594/0001-40;24589;QUANTA POST FINALIZAÇÃO DE PRODUÇÕES CINEMATOGRÁFICAS LTDA;14.690.827/0001-89;COLIGAÇÃO;12/12/2022
173;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;03.599.148/0001-82;2336;RESERVA CULTURAL DE CINEMA LTDA.;05.924.151/0001-50;COLIGAÇÃO;07/06/2023
173;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;03.599.148/0001-82;11868;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;08.346.733/0001-94;COLIGAÇÃO;25/09/2025
175;CINEBRAS CINERAMA BRASILIS CINEMATOGRAFICA LTDA;03.081.598/0001-89;22622;BUTTERFLIES IN THE STOMACH ARTES AUDIOVISUAIS LTDA;16.923.570/0001-93;COLIGAÇÃO;28/05/2024
184;CASABLANCA EFFECTS LTDA.;04.731.133/0001-99;4267;CBSP - CASABLANCA SERVICE PROVIDER LTDA;04.995.093/0001-92;COLIGAÇÃO;17/03/2025
184;CASABLANCA EFFECTS LTDA.;04.731.133/0001-99;6062;D F F DIANA FOTO FILME E TELECOMUNICACOES LTDA;52.559.671/0001-90;COLIGAÇÃO;20/04/2018
184;CASABLANCA EFFECTS LTDA.;04.731.133/0001-99;1635;FIJI PRODUÇÕES AUDIOVISUAIS LTDA;05.638.479/0001-00;COLIGAÇÃO;08/04/2019
184;CASABLANCA EFFECTS LTDA.;04.731.133/0001-99;3226;CASABLANCA EFEITOS CINEMATOGRÁFICOS LTDA;05.097.785/0001-86;COLIGAÇÃO;02/04/2024
186;MORENA FILMES EIRELI - ME;42.473.256/0001-66;56762;MARIZA LEÃO FILMES PRODUÇÃO AUDIOVISUAL;36.518.916/0001-85;COLIGAÇÃO;06/12/2023
193;SONY PICTURES RELEASING OF BRASIL INC.;33.040.767/0001-01;84;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;COLIGAÇÃO;16/11/2021
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;12660;LGK MUSIC PRODUÇOES ARTISTICAS LTDA;07.675.338/0001-92;COLIGAÇÃO;09/03/2023
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;585;MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.;04.063.325/0001-74;COLIGAÇÃO;18/12/2012
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;13613;RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA;07.949.581/0001-51;COLIGAÇÃO;04/03/2013
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;407;INDIE RECORDS LTDA;02.660.571/0001-88;COLIGAÇÃO;05/05/2021
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;17748;ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM;31.887.052/0001-55;COLIGAÇÃO;19/09/2024
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;387;BRASIL FILMES LTDA;02.660.841/0001-50;COLIGAÇÃO;28/12/2012
201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;264;TIBET FILME LTDA;02.660.748/0001-46;COLIGAÇÃO;14/09/2020
204;IMAGINA PRODUÇÕES LTDA;03.942.987/0001-51;26025;IMAPUBLI ILUSTRACOES LTDA - ME;08.675.455/0001-19;COLIGAÇÃO;08/03/2021
207;MEDIA MUNDI BRASIL LTDA;02.172.409/0001-10;19916;ALICE E BART- EVENTOS CULTURAIS LTDA.;40.433.112/0001-50;COLIGAÇÃO;04/03/2013
209;PRODUTORA DE FILMES VTCINE LTDA;04.859.232/0001-50;40163;5PONTO3 DIGITAL LTDA;63.943.476/0001-86;COLIGAÇÃO;10/05/2024
209;PRODUTORA DE FILMES VTCINE LTDA;04.859.232/0001-50;23109;VTCINE DIGITAL PRODUÇÃO E FINALIZAÇÃO CINEMATOGRAFICA LTDA-EPP;16.100.499/0001-49;COLIGAÇÃO;21/03/2023
214;SCREEN VIDEO PRODUÇÕES LTDA;57.279.499/0001-35;22509;WORKIDEA POS PRODUÇÃO LTDA ME;14.690.781/0001-06;COLIGAÇÃO;24/11/2017
214;SCREEN VIDEO PRODUÇÕES LTDA;57.279.499/0001-35;14283;SCREEN SP FILME E VÍDEO LTDA ME;08.215.198/0001-32;COLIGAÇÃO;25/04/2025
218;MAMMUT PRODUCOES CINEMATOGRAFICAS LTDA;69.055.812/0001-30;1882;COMBINADO FILMES LTDA;06.131.852/0001-02;COLIGAÇÃO;24/01/2025
221;FILMES MAIS LTDA;03.435.290/0001-94;2017;JOIN PARTICIPAÇÕES E INVESTIMENTOS LTDA.;56.336.027/0001-04;COLIGAÇÃO;23/11/2023
221;FILMES MAIS LTDA;03.435.290/0001-94;13432;VELUDO CREATIVE FILM COMPANY LTDA;09.252.906/0001-78;COLIGAÇÃO;19/08/2022
221;FILMES MAIS LTDA;03.435.290/0001-94;13424;STONE MILK POS PRODUCAO AUDIOVISUAL LTDA;09.222.300/0001-90;COLIGAÇÃO;22/05/2023
221;FILMES MAIS LTDA;03.435.290/0001-94;18;INK PARTICIPACOES E INVESTIMENTOS LTDA;68.153.956/0001-67;COLIGAÇÃO;06/07/2023
221;FILMES MAIS LTDA;03.435.290/0001-94;13313;COLMEIA CAPACITACAO, CRIACAO E PRODUCAO DE CONTEUDOS LTDA;09.207.407/0001-69;COLIGAÇÃO;12/06/2023
221;FILMES MAIS LTDA;03.435.290/0001-94;17936;HI-FI FILMES LTDA-ME;09.429.014/0001-08;COLIGAÇÃO;11/07/2022
221;FILMES MAIS LTDA;03.435.290/0001-94;13458;MAIS FILMES LTDA;09.255.824/0001-87;COLIGAÇÃO;29/04/2022
221;FILMES MAIS LTDA;03.435.290/0001-94;4465;30 PÉS FILMES LTDA.;07.447.850/0001-81;COLIGAÇÃO;22/08/2022
