TITULO_PROJETO;CHAMADA_PUBLICA;ANO_EDITAL;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_PROGRAMADORA;RAZAO_SOCIAL_PROGRAMADORA;DATA_EXTRATO_CONTRATO_DOU;VALOR_CONTRATO_DOU;DATA_PRIMEIRO_DESEMBOLSO;VALOR_TOTAL_LIBERADO
AS INDÍGENAS DA TERRA;PRODAV 02 - PROJETO DERIVADO;2016;14.625.536/0001-07;PORTO 8 VIDEOS E PRODUCOES CINEMATOGRAFICAS EIRELI;14.625.536/0001-07;PORTO 8 VIDEOS E PRODUCOES CINEMATOGRAFICAS EIRELI;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;19/06/2019;R$ 208.000,00;15/07/2019;R$ 208.000,00
ATOIS;PRODAV 02 - PROJETO DERIVADO;2016;06.242.683/0001-70;DG CONSULTORIA E COMUNICAÇÃO AMBIENTAL LTDA.;06.242.683/0001-70;DG CONSULTORIA E COMUNICAÇÃO AMBIENTAL LTDA.;00.811.990/0001-48;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);23/08/2019;R$ 721.197,47;19/11/2019;R$ 721.197,47
BALACLAVA;PRODAV 02 - PROJETO DERIVADO;2016;03.958.889/0001-02;MOVIOCA SALVADOR PRODUCOES ARTISTICAS LTDA ME;03.958.889/0001-02;MOVIOCA SALVADOR PRODUCOES ARTISTICAS LTDA ME;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;18/07/2018;R$ 1.100.000,00;16/08/2018;R$ 1.100.000,00
BANQUETE COUTINHO;PRODAV 02 - PROJETO DERIVADO;2016;00.205.194/0001-61;HECO PRODUÇÕES LTDA;00.205.194/0001-61;HECO PRODUÇÕES LTDA;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;04/04/2018;R$ 594.000,00;30/04/2018;R$ 594.000,00
BELAS RAÍZES;PRODAV 02 - PROJETO DERIVADO;2016;13.384.449/0001-42;AMORIM FILMES PRODUÇÕES CINEMATOGRÁFICAS EIRELI;13.384.449/0001-42;AMORIM FILMES PRODUÇÕES CINEMATOGRÁFICAS EIRELI;29.527.413/0001-00;FUNDACAO ROBERTO MARINHO;27/06/2018;R$ 839.800,00;23/07/2018;R$ 839.800,00
OFÍCIOS EM EXTINÇÃO;PRODAV 02 - PROJETO DERIVADO;2016;12.935.850/0001-60;MONTANHAS FILMES LTDA - ME;12.935.850/0001-60;MONTANHAS FILMES LTDA - ME;73.560.195/0001-06;CONCEITO A EM AUDIOVISUAL S.A;29/11/2017;R$ 339.000,00;04/12/2017;R$ 339.000,00
RECONSTRUÇÕES;PRODAV 02 - PROJETO DERIVADO;2016;27.338.929/0001-81;RAIZ DE OITO PRODUÇÕES LTDA - ME;27.338.929/0001-81;RAIZ DE OITO PRODUÇÕES LTDA - ME;29.527.413/0001-00;FUNDACAO ROBERTO MARINHO;22/08/2018;R$ 249.588,00;30/08/2018;R$ 249.588,00
ONDE ESTÁ O CINEMA BRASILEIRO;PRODAV 02 - PROJETO DERIVADO;2016;02.066.541/0001-48;PRISMA PRODUÇÕES LTDA;02.066.541/0001-48;PRISMA PRODUÇÕES LTDA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;22/08/2018;R$ 300.000,00;28/08/2018;R$ 300.000,00
OPERAÇÃO CAMANDUCAIA;PRODAV 02 - PROJETO DERIVADO;2016;10.638.697/0001-84;CAMBUI PRODUÇOES LTDA ME;10.638.697/0001-84;CAMBUI PRODUÇOES LTDA ME;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;14/11/2018;R$ 220.000,00;20/11/2018;R$ 220.000,00
CRÍTICA;PRODAV 02 - PROJETO DERIVADO;2016;05.270.790/0001-49;ACCORDE FILMES LTDA.;05.270.790/0001-49;ACCORDE FILMES LTDA.;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;30/05/2018;R$ 600.000,00;11/06/2018;R$ 600.000,00
OS QUADROS DA RAINHA;PRODAV 02 - PROJETO DERIVADO;2016;10.780.165/0001-87;BRITO E SANTOS PRODUCOES LTDA - ME;10.780.165/0001-87;BRITO E SANTOS PRODUCOES LTDA - ME;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;23/10/2019;R$ 400.000,00;28/10/2019;R$ 400.000,00
OS SONS DO CHORO;PRODAV 02 - PROJETO DERIVADO;2016;07.345.730/0001-73;ALICATE CONTEÚDO AUDIOVISUAL LTDA;07.345.730/0001-73;ALICATE CONTEÚDO AUDIOVISUAL LTDA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;20/03/2019;R$ 149.950,00;11/04/2019;R$ 149.950,00
BLINK;PRODAV 02 - PROJETO DERIVADO;2016;30.120.265/0001-94;INDUSTRIA IMAGINARIA EIRELI;30.120.265/0001-94;INDUSTRIA IMAGINARIA EIRELI;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;29/08/2018;R$ 552.000,00;06/09/2018;R$ 552.000,00
BRASIL DE TODOS OS RITMOS;PRODAV 02 - PROJETO DERIVADO;2016;02.521.216/0001-28;LUIZ BRASIL PRODUÇÕES ARTÍSTICAS LTDA;02.521.216/0001-28;LUIZ BRASIL PRODUÇÕES ARTÍSTICAS LTDA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;22/08/2018;R$ 362.329,00;11/09/2018;R$ 362.329,00
BRASIL JOIADO;PRODAV 02 - PROJETO DERIVADO;2016;11.581.901/0001-30;GAVULINO PRODUCOES AUDIOVISUAIS E CULTURAIS EIRELI;11.581.901/0001-30;GAVULINO PRODUCOES AUDIOVISUAIS E CULTURAIS EIRELI;73.560.195/0001-06;CONCEITO A EM AUDIOVISUAL S.A;20/12/2017;R$ 972.400,00;26/12/2017;R$ 972.400,00
BRASIL TUPINAMBÁ;PRODAV 02 - PROJETO DERIVADO;2016;10.638.697/0001-84;CAMBUI PRODUÇOES LTDA ME;10.638.697/0001-84;CAMBUI PRODUÇOES LTDA ME;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;13/02/2019;R$ 190.000,00;25/02/2019;R$ 190.000,00
CAÇADORES DE MARÉS;PRODAV 02 - PROJETO DERIVADO;2016;08.449.203/0001-71;LAUS COMERCIO DE ARTIGOS PARA SURF E SERVICOS DE FILMAGEM LTDA - ME;08.449.203/0001-71;LAUS COMERCIO DE ARTIGOS PARA SURF E SERVICOS DE FILMAGEM LTDA - ME;00.811.990/0001-48;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);12/07/2019;R$ 283.396,94;18/07/2019;R$ 283.396,94
CAMPO DA PRONAICA - CORAÇÃO DE CAJAZEIRAS;PRODAV 02 - PROJETO DERIVADO;2016;16.423.018/0001-36;GRIOT PRODUCOES CINEMATOGRAFICAS EIRELI - ME;16.423.018/0001-36;GRIOT PRODUCOES CINEMATOGRAFICAS EIRELI - ME;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;27/02/2019;R$ 208.000,00;08/03/2019;R$ 208.000,00
CANTOS DE TRABALHO: BOIS, BATAS E CANTIGAS;PRODAV 02 - PROJETO DERIVADO;2016;22.751.296/0001-15;RAMPA PRODUÇÕES LTDA;22.751.296/0001-15;RAMPA PRODUÇÕES LTDA;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;04/09/2019;R$ 207.611,10;01/11/2019;R$ 207.611,10
PLURAL;PRODAV 02 - PROJETO DERIVADO;2016;05.270.790/0001-49;ACCORDE FILMES LTDA.;05.270.790/0001-49;ACCORDE FILMES LTDA.;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;26/07/2018;R$ 583.000,00;31/07/2018;R$ 583.000,00
PARTIU?!;PRODAV 02 - PROJETO DERIVADO;2016;09.059.127/0001-50;COLATERAL FILMES LTDA.;09.059.127/0001-50;COLATERAL FILMES LTDA.;73.560.195/0001-06;CONCEITO A EM AUDIOVISUAL S.A;10/01/2018;R$ 520.000,00;08/02/2018;R$ 520.000,00
PASSARINHAS - MULHERES INSPIRADORAS;PRODAV 02 - PROJETO DERIVADO;2016;14.989.694/0001-46;NIGERIA COMUNICAÇÃO E AUDIOVISUAL LTDA ME;14.989.694/0001-46;NIGERIA COMUNICAÇÃO E AUDIOVISUAL LTDA ME;29.527.413/0001-00;FUNDACAO ROBERTO MARINHO;26/07/2018;R$ 342.972,80;31/07/2018;R$ 342.972,80
PAULO BRUSCKY - AUTORRETRATO;PRODAV 02 - PROJETO DERIVADO;2016;05.163.327/0001-06;ARUAC PRODUÇÕES LTDA;05.163.327/0001-06;ARUAC PRODUÇÕES LTDA;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;27/06/2018;R$ 400.000,00;02/07/2018;R$ 400.000,00
PAULO CÉSAR PINHEIRO, LETRA E ALMA;PRODAV 02 - PROJETO DERIVADO;2016;09.260.004/0001-83;TERRA FIRME PRODUÇÕES CINEMATOGRÁFICAS LTDA;09.260.004/0001-83;TERRA FIRME PRODUÇÕES CINEMATOGRÁFICAS LTDA;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;18/04/2018;R$ 500.000,00;10/05/2018;R$ 500.000,00
PELOS CAMINHOS DO ORIXÁS;PRODAV 02 - PROJETO DERIVADO;2016;28.099.914/0001-70;FLORESTA FILMES LTDA - ME;28.099.914/0001-70;FLORESTA FILMES LTDA - ME;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;16/08/2019;R$ 700.000,00;22/08/2019;R$ 700.000,00
PERTENCES;PRODAV 02 - PROJETO DERIVADO;2016;08.798.008/0001-57;SEGUNDA-FEIRA FILMES PRODUÇÕES ARTÍSTICAS LTDA. - ME;08.798.008/0001-57;SEGUNDA-FEIRA FILMES PRODUÇÕES ARTÍSTICAS LTDA. - ME;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;18/07/2018;R$ 412.280,00;23/07/2018;R$ 412.280,00
CENTRO DA TERRA;ARRANJOS REGIONAIS;2016;12.658.679/0001-90;DESVIA PRODUÇÕES ARTISTICAS E AUDIOVISUAIS LTDA;12.658.679/0001-90;DESVIA PRODUÇÕES ARTISTICAS E AUDIOVISUAIS LTDA;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;04/05/2022;R$ 900.000,00;11/05/2022;R$ 900.000,00
CIENTISTAS BRASILEIROS;PRODAV 02 - PROJETO DERIVADO;2016;06.236.625/0001-33;KINOPUS AUDIOVISUAL LTDA - ME;06.236.625/0001-33;KINOPUS AUDIOVISUAL LTDA - ME;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;07/03/2019;R$ 715.000,00;25/03/2019;R$ 715.000,00
COMIDA AQUI É MATO!;PRODAV 02 - PROJETO DERIVADO;2016;14.800.264/0001-34;MANGABA PRODUÇÕES LTDA;14.800.264/0001-34;MANGABA PRODUÇÕES LTDA;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;28/03/2019;R$ 408.683,00;11/04/2019;R$ 408.683,00
CONEXÕES E HASHTAGS;PRODAV 02 - PROJETO DERIVADO;2016;18.303.581/0001-04;FABIANA BRAZ MORON;18.303.581/0001-04;FABIANA BRAZ MORON;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;10/04/2019;R$ 390.000,00;29/04/2019;R$ 390.000,00
CONSCIÊNCIA3;PRODAV 02 - PROJETO DERIVADO;2016;55.084.750/0001-80;GAYA PRODUCOES CINEMATOGRAFICAS LTDA - ME;55.084.750/0001-80;GAYA PRODUCOES CINEMATOGRAFICAS LTDA - ME;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;28/03/2018;R$ 620.000,00;16/04/2018;R$ 620.000,00
CORAÇÃO CURUMIM;PRODAV 02 - PROJETO DERIVADO;2016;13.650.111/0001-95;INSPIRAR COMUNICAÇÃO E CULTURA EIRELI;13.650.111/0001-95;INSPIRAR COMUNICAÇÃO E CULTURA EIRELI;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;07/03/2019;R$ 208.000,00;25/03/2019;R$ 208.000,00
CORPO PRESENTE;PRODAV 02 - PROJETO DERIVADO;2016;20.615.318/0001-94;TANDERA FILMES E PRODUCOES EIRELI - ME;20.615.318/0001-94;TANDERA FILMES E PRODUCOES EIRELI - ME;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;16/05/2018;R$ 485.000,00;21/05/2018;R$ 485.000,00
PUNGA;PRODAV 02 - PROJETO DERIVADO;2016;03.553.092/0001-25;FREDERICO DA CRUZ MACHADO - ME;03.553.092/0001-25;FREDERICO DA CRUZ MACHADO - ME;73.560.195/0001-06;CONCEITO A EM AUDIOVISUAL S.A;11/04/2018;R$ 1.499.774,00;16/04/2018;R$ 1.499.774,00
QUANTOS CABEM?;PRODAV 02 - PROJETO DERIVADO;2016;00.360.459/0001-04;DOCUMENTA PRODUCOES EIRELI - ME;00.360.459/0001-04;DOCUMENTA PRODUCOES EIRELI - ME;73.560.195/0001-06;CONCEITO A EM AUDIOVISUAL S.A;28/03/2018;R$ 413.490,00;05/04/2018;R$ 413.490,00
QUEM FOI SEU MESTRE? 2º TEMPORADA;PRODAV 02 - PROJETO DERIVADO;2016;96.713.128/0001-71;DPE PRODUCOES EIRELI;96.713.128/0001-71;DPE PRODUCOES EIRELI;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;13/02/2019;R$ 390.000,00;18/02/2019;R$ 390.000,00
QUINTAL DE CASA;PRODAV 02 - PROJETO DERIVADO;2016;09.084.382/0001-53;DEZESSEIS POR NOVE PRODUÇÕES CINEMATOGRÁFICAS LTDA;09.084.382/0001-53;DEZESSEIS POR NOVE PRODUÇÕES CINEMATOGRÁFICAS LTDA;00.811.990/0001-48;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);17/07/2019;R$ 1.240.458,02;15/08/2019;R$ 1.240.458,02
RAW BAHIA;PRODAV 02 - PROJETO DERIVADO;2016;21.160.910/0001-01;AMERICO PORCIUNCULA FILMES LTDA - ME;21.160.910/0001-01;AMERICO PORCIUNCULA FILMES LTDA - ME;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;27/06/2019;R$ 374.500,00;15/07/2019;R$ 374.500,00
REVELA SONS;PRODAV 02 - PROJETO DERIVADO;2016;31.604.598/0001-51;LG EMPREENDIMENTOS CULTURAIS E ARTISTICOS LTDA;31.604.598/0001-51;LG EMPREENDIMENTOS CULTURAIS E ARTISTICOS LTDA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;10/01/2019;R$ 349.965,00;08/04/2019;R$ 349.965,00
ROBERTINHO DO RECIFE? ROBERTINHO DO MUNDO!!!;PRODAV 02 - PROJETO DERIVADO;2016;24.979.771/0001-30;MAIS MÚSICA PRODUÇÕES ARTÍSTICAS LTDA;24.979.771/0001-30;MAIS MÚSICA PRODUÇÕES ARTÍSTICAS LTDA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;06/06/2018;R$ 564.688,80;11/06/2018;R$ 564.688,80
ROD LIVRE;PRODAV 02 - PROJETO DERIVADO;2016;10.780.165/0001-87;BRITO E SANTOS PRODUCOES LTDA - ME;10.780.165/0001-87;BRITO E SANTOS PRODUCOES LTDA - ME;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;21/11/2018;R$ 383.000,00;26/11/2018;R$ 383.000,00
ENCRUZILHADAS DA LIBERDADE;PRODAV 02 - PROJETO DERIVADO;2016;13.456.325/0001-25;JAMILE DOS SANTOS COELHO - ME;13.456.325/0001-25;JAMILE DOS SANTOS COELHO - ME;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;04/08/2021;R$ 208.000,00;11/08/2021;R$ 208.000,00
MELÔ;PRODAV 02 - PROJETO DERIVADO;2016;26.066.060/0001-09;SOTAQUE FILMES LTDA - ME;26.066.060/0001-09;SOTAQUE FILMES LTDA - ME;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;31/03/2021;R$ 600.000,00;24/05/2021;R$ 600.000,00
HERANÇAS DO MARANHÃO;PRODAV 02 - PROJETO DERIVADO;2016;12.286.408/0001-50;PROCONTENT PRODUCAO LTDA;12.286.408/0001-50;PROCONTENT PRODUCAO LTDA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;03/03/2021;R$ 599.089,51;11/03/2021;R$ 599.089,51
SIBILA NO TIJUCO;PRODAV 02 - PROJETO DERIVADO;2016;12.999.768/0001-08;FERNANDO DE ASSIS LIBÂNIO - ME;12.999.768/0001-08;FERNANDO DE ASSIS LIBÂNIO - ME;21.229.281/0001-29;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;13/01/2021;R$ 108.600,00;05/02/2021;R$ 108.600,00
MUITO ALÉM DO PLAY;PRODAV 02 - PROJETO DERIVADO;2016;08.291.497/0001-56;ABUZZA FILMES EIRELI;08.291.497/0001-56;ABUZZA FILMES EIRELI;21.229.281/0001-29;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;30/06/2021;R$ 1.621.219,95;20/07/2021;R$ 1.621.219,95
GERAIS DA PEDRA;PRODAV 02 - PROJETO DERIVADO;2016;20.238.227/0001-87;ANA CAROLINA SOARES DA COSTA COELHO;20.238.227/0001-87;ANA CAROLINA SOARES DA COSTA COELHO;21.229.281/0001-29;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;06/01/2021;R$ 109.982,37;21/01/2021;R$ 109.982,37
NA SOMBRA DA MANGUEIRA;PRODAV 02 - PROJETO DERIVADO;2016;10.407.637/0001-50;VACA AMARELA FILMES EIRELI;10.407.637/0001-50;VACA AMARELA FILMES EIRELI;21.229.281/0001-29;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;20/01/2021;R$ 1.343.473,00;05/02/2021;R$ 1.343.473,00
CUSTOMIZE!;PRODAV 02 - PROJETO DERIVADO;2016;03.081.598/0001-89;CINEBRAS CINERAMA BRASILIS CINEMATOGRAFICA EIRELI;03.081.598/0001-89;CINEBRAS CINERAMA BRASILIS CINEMATOGRAFICA EIRELI;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;26/09/2018;R$ 600.000,00;01/10/2018;R$ 600.000,00
DA NASCENTE À FOZ;PRODAV 02 - PROJETO DERIVADO;2016;12.106.692/0001-36;LABORATÓRIO CISCO EDUCAÇÃO E IMAGEM LTDA ME;12.106.692/0001-36;LABORATÓRIO CISCO EDUCAÇÃO E IMAGEM LTDA ME;29.527.413/0001-00;FUNDACAO ROBERTO MARINHO;06/06/2018;R$ 571.410,00;11/06/2018;R$ 571.410,00
DANIEL SENISE - NEM TUDO TEM QUE SER SOBRE ALGUMA COISA;PRODAV 02 - PROJETO DERIVADO;2016;27.527.464/0001-07;COEVOS FILMES LTDA;27.527.464/0001-07;COEVOS FILMES LTDA;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;02/05/2018;R$ 172.500,00;07/05/2018;R$ 172.500,00
DENSIDADE DAS COISAS;PRODAV 02 - PROJETO DERIVADO;2016;17.686.492/0001-13;GAMA PINHEIRO PRODUÇÕES LTDA -ME;17.686.492/0001-13;GAMA PINHEIRO PRODUÇÕES LTDA -ME;06.275.598/0001-08;RÁDIO E TV DIFUSORA DO MARANHÃO LTDA;07/08/2019;R$ 800.000,00;12/08/2019;R$ 800.000,00
DIÁRIO DA PRIMAVERA;PRODAV 02 - PROJETO DERIVADO;2016;13.393.029/0001-22;OBA CACAUE PRODUCOES EIRELI;13.393.029/0001-22;OBA CACAUE PRODUCOES EIRELI;73.560.195/0001-06;CONCEITO A EM AUDIOVISUAL S.A;11/04/2018;R$ 351.952,82;16/04/2018;R$ 351.952,82
DIGA MEU NOME;PRODAV 02 - PROJETO DERIVADO;2016;21.042.570/0001-14;GOIABEIRA FILMES E PRODUCOES LTDA - ME;21.042.570/0001-14;GOIABEIRA FILMES E PRODUCOES LTDA - ME;73.560.195/0001-06;CONCEITO A EM AUDIOVISUAL S.A;24/01/2018;R$ 399.982,00;01/02/2018;R$ 399.982,00
DOIS SERTÕES;PRODAV 02 - PROJETO DERIVADO;2016;22.327.940/0001-22;ATO3 PRODUCOES ARTISTICAS E EDITORIAIS LTDA - ME;22.327.940/0001-22;ATO3 PRODUCOES ARTISTICAS E EDITORIAIS LTDA - ME;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;16/08/2019;R$ 600.000,00;22/08/2019;R$ 600.000,00
RODA DE CHORO;PRODAV 02 - PROJETO DERIVADO;2016;03.493.590/0001-20;POLO MS CINEMA E VÍDEO LTDA;03.493.590/0001-20;POLO MS CINEMA E VÍDEO LTDA;17.164.803/0001-84;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;14/03/2018;R$ 668.500,00;19/03/2018;R$ 668.500,00
ROTAS NORDESTINAS;PRODAV 02 - PROJETO DERIVADO;2016;02.669.022/0001-74;REC PRODUTORES ASSOCIADOS LTDA;02.669.022/0001-74;REC PRODUTORES ASSOCIADOS LTDA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;10/01/2019;R$ 380.000,00;24/01/2019;R$ 380.000,00
ROTAS SUSTENTÁVEIS - NORDESTE;PRODAV 02 - PROJETO DERIVADO;2016;02.175.084/0001-20;R-TV PRODUÇÕES LTDA;02.175.084/0001-20;R-TV PRODUÇÕES LTDA;29.527.413/0001-00;FUNDACAO ROBERTO MARINHO;06/06/2018;R$ 750.120,00;11/06/2018;R$ 750.120,00
SABORES;PRODAV 02 - PROJETO DERIVADO;2016;26.066.060/0001-09;SOTAQUE FILMES LTDA - ME;26.066.060/0001-09;SOTAQUE FILMES LTDA - ME;06.275.598/0001-08;RÁDIO E TV DIFUSORA DO MARANHÃO LTDA;07/08/2019;R$ 745.249,17;15/08/2019;R$ 745.249,17
SAGRADOS E PROFANOS;PRODAV 02 - PROJETO DERIVADO;2016;08.267.476/0001-03;OKNA PRODUÇÕES CULTURAIS LTDA;08.267.476/0001-03;OKNA PRODUÇÕES CULTURAIS LTDA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;06/06/2018;R$ 525.000,00;11/06/2018;R$ 525.000,00
SECULARES, O MUNDO HÁ MAIS DE CEM;PRODAV 02 - PROJETO DERIVADO;2016;10.281.460/0001-99;HAMACA PRODUÇÕES ARTÍSTICAS LTDA - ME;10.281.460/0001-99;HAMACA PRODUÇÕES ARTÍSTICAS LTDA - ME;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;20/03/2019;R$ 1.013.875,00;28/03/2019;R$ 1.013.875,00
SEMENTES DO AMANHÃ;PRODAV 02 - PROJETO DERIVADO;2016;08.267.476/0001-03;OKNA PRODUÇÕES CULTURAIS LTDA;08.267.476/0001-03;OKNA PRODUÇÕES CULTURAIS LTDA;29.527.413/0001-00;FUNDACAO ROBERTO MARINHO;12/09/2018;R$ 650.140,00;21/09/2018;R$ 650.140,00
SKATE A MAIS DE 100 POR HORA;PRODAV 02 - PROJETO DERIVADO;2016;08.863.826/0001-96;TOCANTINS FILMES PRODUCOES AUDIOVISUAIS LTDA;08.863.826/0001-96;TOCANTINS FILMES PRODUCOES AUDIOVISUAIS LTDA;00.811.990/0001-48;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);13/03/2019;R$ 238.549,62;28/03/2019;R$ 238.549,62
SALVE-ME QUEM PUDER!;PRODAV 02 - PROJETO DERIVADO;2016;09.325.623/0001-09;IMMAGINI ANIMATION STUDIOS BRASIL LTDA;09.325.623/0001-09;IMMAGINI ANIMATION STUDIOS BRASIL LTDA;21.229.281/0001-29;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;23/12/2020;R$ 159.995,00;08/01/2021;R$ 159.995,00
FLORES DO CERRADO;PRODAV 02 - PROJETO DERIVADO;2016;18.799.359/0001-36;TREMDOBALAIO PRODUCOES & AUDIOVISUAL - EIRELI;18.799.359/0001-36;TREMDOBALAIO PRODUCOES & AUDIOVISUAL - EIRELI;21.229.281/0001-29;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;24/03/2021;R$ 110.000,00;04/06/2021;R$ 110.000,00
MULHER PERIFERIA;PRODAV 02 - PROJETO DERIVADO;2016;15.340.915/0001-13;VENTURA PRODUÇÕES AUDIOVISUAIS LTDA;15.340.915/0001-13;VENTURA PRODUÇÕES AUDIOVISUAIS LTDA;21.229.281/0001-29;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;30/12/2020;R$ 900.000,00;04/06/2021;R$ 900.000,00
PARALELO 60 – A CIENCIA BRASILEIRA NOS EXTREMOS DO PLANETA;PRODAV 02 - PROJETO DERIVADO;2016;18.562.109/0001-88;QUARTO STUDIO PRODUÇÃO AUDIOVISUAL LTDA ME;18.562.109/0001-88;QUARTO STUDIO PRODUÇÃO AUDIOVISUAL LTDA ME;21.229.281/0001-29;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;22/09/2021;R$ 843.788,22;23/02/2022;R$ 843.788,22
AZULEJARIA EM MINAS GERAIS;PRODAV 02 - PROJETO DERIVADO;2016;08.714.400/0001-70;BEZOURO COMUNICAÇÃO CINE-VIDEO LTDA.;08.714.400/0001-70;BEZOURO COMUNICAÇÃO CINE-VIDEO LTDA.;21.229.281/0001-29;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;26/03/2021;R$ 109.990,00;25/05/2021;R$ 109.990,00
EM COMA;PRODAV 02 - PROJETO DERIVADO;2016;10.849.845/0001-00;TWIST COMPUTAÇÃO GRÁFICA LTDA;10.849.845/0001-00;TWIST COMPUTAÇÃO GRÁFICA LTDA;21.229.281/0001-29;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;24/02/2021;R$ 160.000,00;04/06/2021;R$ 160.000,00
MINHA ÁFRICA IMAGINÁRIA;PRODAV 02 - PROJETO DERIVADO;2016;13.117.161/0001-01;SABOTAGE FILMES LTDA;13.117.161/0001-01;SABOTAGE FILMES LTDA;21.229.281/0001-29;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;20/01/2021;R$ 109.840,00;18/06/2021;R$ 109.840,00
DEDO DE MUNHECA É MÃO;PRODAV 02 - PROJETO DERIVADO;2016;14.637.918/0001-50;OLADA PRODUÇÕES AUDIOVISUAIS LTDA;14.637.918/0001-50;OLADA PRODUÇÕES AUDIOVISUAIS LTDA;21.229.281/0001-29;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;04/05/2021;R$ 109.990,00;14/05/2021;R$ 109.990,00
