TITULO_PROJETO;CHAMADA_PUBLICA;ANO_EDITAL;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_PROGRAMADORA;RAZAO_SOCIAL_PROGRAMADORA;DATA_EXTRATO_CONTRATO_DOU;VALOR_CONTRATO_DOU;DATA_PRIMEIRO_DESEMBOLSO;VALOR_TOTAL_LIBERADO
PARAIBANAS;PRODAV 01;2013;08.035.861/0001-17;COMPLO PRODUCOES E OFICINAS LTDA - ME;08.035.861/0001-17;COMPLO PRODUCOES E OFICINAS LTDA - ME;00.000.000/0000-0-;-;05/12/2018;R$ 473.154,00;10/12/2018;R$ 473.154,00
PARAÍSO TROPICAL;PRODAV 01;2013;18.023.882/0001-76;PALADINA PRODUCOES ARTISTICAS LTDA. - ME;18.023.882/0001-76;PALADINA PRODUCOES ARTISTICAS LTDA. - ME;00.000.000/0000-0-;-;04/05/2021;R$ 479.600,00;17/05/2021;R$ 479.600,00
RUBENS GERCHMAN - ATEMPORAL;PRODAV 01;2013;27.527.464/0001-07;COEVOS FILMES LTDA;27.527.464/0001-07;COEVOS FILMES LTDA;00.000.000/0000-0-;-;20/12/2017;R$ 416.030,00;04/01/2018;R$ 416.030,00
RURALIDADES;PRODAV 01;2013;15.128.758/0001-87;TEM DENDE PRODUCOES LTDA - ME;15.128.758/0001-87;TEM DENDE PRODUCOES LTDA - ME;00.000.000/0000-0-;-;20/03/2019;R$ 1.300.000,00;28/03/2019;R$ 1.300.000,00
S.O.S. MULHERES AO MAR 2;PRODECINE 04;2013;01.473.536/0001-97;ANANÃ PRODUÇÕES, EVENTOS E ASSESSORIA DE MARKETING LTDA;01.473.536/0001-97;ANANÃ PRODUÇÕES, EVENTOS E ASSESSORIA DE MARKETING LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;30/05/2016;R$ 1.400.000,00;06/06/2016;R$ 1.400.000,00
SABORES DA FLORESTA;PRODAV 01;2013;22.446.460/0001-80;MARAHU PRODUCOES DE CINEMA E TELEVISAO LTDA - ME;22.446.460/0001-80;MARAHU PRODUCOES DE CINEMA E TELEVISAO LTDA - ME;00.000.000/0000-0-;-;12/12/2018;R$ 910.000,00;24/01/2019;R$ 910.000,00
SPA;PRODECINE 02;2013;07.700.630/0001-18;ELO AUDIOVISUAL SERVIÇOS LTDA;57.643.793/0001-84;MAMO FILMES LTDA;07.700.630/0001-18;ELO AUDIOVISUAL SERVIÇOS LTDA;24/07/2015;R$ 1.000.000,00;;R$ 0,00
STELLA MODELS;PRODAV 01;2013;02.298.682/0001-96;KINOTV LTDA.;02.298.682/0001-96;KINOTV LTDA.;00.000.000/0000-0-;-;11/01/2016;R$ 900.000,00;18/01/2016;R$ 900.000,00
STREET ROCK;PRODAV 01;2013;03.351.961/0001-39;PROJECTOOLS COMUNICACAO MULTIMIDIA LTDA-ME;03.351.961/0001-39;PROJECTOOLS COMUNICACAO MULTIMIDIA LTDA-ME;00.000.000/0000-0-;-;18/03/2021;R$ 2.289.144,00;13/04/2021;R$ 2.289.144,00
ESSE NEGÓCIO DE LIVRO;PRODAV 01;2013;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;00.000.000/0000-0-;-;20/07/2015;R$ 406.000,00;30/07/2015;R$ 406.000,00
SUEÑO FLORIANÓPOLIS;PRODECINE 02;2013;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;00.020.648/0001-20;PRODIGO FILMS LTDA;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;29/12/2016;R$ 500.000,00;20/02/2017;R$ 500.000,00
SUÍTE MAGNÓLIA;PRODAV 01;2013;09.558.964/0001-24;CASÉ FILMES LTDA;09.558.964/0001-24;CASÉ FILMES LTDA;00.000.000/0000-0-;-;10/04/2019;R$ 2.400.000,00;16/04/2019;R$ 2.167.376,76
MULHERES NO PODER;PRODECINE 04;2013;04.486.752/0001-65;LAVORO PRODUÇÕES ARTÍSTICAS LTDA.;04.486.752/0001-65;LAVORO PRODUÇÕES ARTÍSTICAS LTDA.;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;24/04/2015;R$ 689.881,00;04/05/2015;R$ 689.881,00
MULHERES NO PODER;PRODECINE 03;2013;04.486.752/0001-65;LAVORO PRODUÇÕES ARTÍSTICAS LTDA.;04.486.752/0001-65;LAVORO PRODUÇÕES ARTÍSTICAS LTDA.;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;05/02/2016;R$ 200.000,00;15/03/2016;R$ 200.000,00
SAIDEIRA;PRODAV 01;2013;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;00.000.000/0000-0-;-;14/10/2015;R$ 695.194,50;22/10/2015;R$ 695.194,50
SAIDEIRA - 2ª TEMPORADA;PRODAV 01;2013;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;00.000.000/0000-0-;-;20/06/2018;R$ 995.847,60;25/06/2018;R$ 995.847,60
SALA DOS PROFESSORES;PRODAV 01;2013;10.476.872/0001-84;REALEJO FILMES E PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICA LTDA;10.476.872/0001-84;REALEJO FILMES E PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICA LTDA;00.000.000/0000-0-;-;31/10/2018;R$ 1.357.485,00;06/11/2018;R$ 1.357.485,00
LOS SILENCIOS (CINCO VIDAS E UM SEGREDO);PRODECINE 02;2013;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;11.101.993/0001-04;MIRÍADE FILMES E PRODUÇÕES ARTÍSTICAS LTDA;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;25/01/2017;R$ 517.835,32;12/04/2017;R$ 517.835,32
LOST+FOUND;PRODAV 01;2013;13.571.915/0001-07;DILÚVIO FILMES PRODUÇÕES ARTÍSTICAS LTDA. -ME;13.571.915/0001-07;DILÚVIO FILMES PRODUÇÕES ARTÍSTICAS LTDA. -ME;00.000.000/0000-0-;-;19/09/2018;R$ 786.500,00;24/09/2018;R$ 786.500,00
LOVE FILM FESTIVAL;PRODECINE 04;2013;01.369.211/0001-69;REPÚBLICA PUREZA FILMES LTDA.;01.369.211/0001-69;REPÚBLICA PUREZA FILMES LTDA.;05.249.852/0001-30;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;09/11/2015;R$ 342.592,00;16/11/2015;R$ 342.592,00
LUA EM SAGITÁRIO;PRODECINE 04;2013;01.282.220/0001-18;REALIZART PRODUÇÃO AUDIOVISUAL LTDA;01.282.220/0001-18;REALIZART PRODUÇÃO AUDIOVISUAL LTDA;07.700.630/0001-18;ELO AUDIOVISUAL SERVIÇOS LTDA;11/08/2015;R$ 570.307,00;03/09/2015;R$ 570.307,00
LÚCIA MCCARTNEY;PRODAV 01;2013;10.874.608/0001-07;ZOLA FILMES LTDA;10.874.608/0001-07;ZOLA FILMES LTDA;00.000.000/0000-0-;-;11/10/2017;R$ 2.900.000,00;19/10/2017;R$ 2.900.000,00
MEU PEDAÇO DE BRASIL;PRODAV 01;2013;07.560.127/0001-04;TAC - FILMES LTDA - EPP;07.560.127/0001-04;TAC - FILMES LTDA - EPP;00.000.000/0000-0-;-;09/05/2018;R$ 650.000,00;14/05/2018;R$ 650.000,00
POR ONDE ANDA MAKUNAÍMA?;PRODAV 01;2013;21.265.743/0001-63;PLATO FILMES EIRELI;21.265.743/0001-63;PLATO FILMES EIRELI;00.000.000/0000-0-;-;07/02/2018;R$ 350.000,00;14/02/2018;R$ 350.000,00
SUBMERSOS;PRODAV 01;2013;01.282.220/0001-18;REALIZART PRODUÇÃO AUDIOVISUAL LTDA;01.282.220/0001-18;REALIZART PRODUÇÃO AUDIOVISUAL LTDA;00.000.000/0000-0-;-;13/09/2017;R$ 1.200.000,00;29/09/2017;R$ 1.200.000,00
RELEMBRANDO MÁRIO CARNEIRO;PRODAV 01;2013;02.229.175/0001-09;BPP PRODUÇÕES AUDIOVISUAIS LTDA-ME;02.229.175/0001-09;BPP PRODUÇÕES AUDIOVISUAIS LTDA-ME;00.000.000/0000-0-;-;28/03/2019;R$ 500.000,00;02/04/2019;R$ 500.000,00
REPÚBLICA DO PERU - 2ª TEMPORADA;PRODAV 01;2013;02.759.786/0001-50;FLORA FILMES & VÍDEOS PRODUÇÕES ARTÍSTICAS LTDA ME;02.759.786/0001-50;FLORA FILMES & VÍDEOS PRODUÇÕES ARTÍSTICAS LTDA ME;00.000.000/0000-0-;-;18/04/2018;R$ 1.100.000,00;14/05/2018;R$ 1.100.000,00
SHOPTUDO;PRODAV 01;2013;08.296.780/0001-70;NEOPLASTIQUE ENTRETENIMENTO LTDA;08.296.780/0001-70;NEOPLASTIQUE ENTRETENIMENTO LTDA;00.000.000/0000-0-;-;04/01/2019;R$ 1.810.000,00;10/01/2019;R$ 1.810.000,00
SIMONAL;PRODECINE 04;2013;07.832.283/0001-87;PONTOS DE FUGA PRODUÇÕES ARTISTICAS LTDA;07.832.283/0001-87;PONTOS DE FUGA PRODUÇÕES ARTISTICAS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;12/09/2018;R$ 650.000,00;17/09/2018;R$ 650.000,00
SIMPLES PRAZERES;PRODAV 01;2013;07.614.651/0001-10;ANITRA PRODUÇÃO DE FILMES CINEMATOGRÁFICOS LTDA;07.614.651/0001-10;ANITRA PRODUÇÃO DE FILMES CINEMATOGRÁFICOS LTDA;00.000.000/0000-0-;-;27/10/2016;R$ 479.066,00;01/12/2016;R$ 479.066,00
OS SÚDITOS DO EIXO;PRODAV 01;2013;37.155.280/0001-17;THOR FILMES EIRELI - ME;37.155.280/0001-17;THOR FILMES EIRELI - ME;00.000.000/0000-0-;-;30/09/2016;R$ 400.000,00;03/11/2016;R$ 400.000,00
