TITULO_ORIGINAL;CPB;NUMERO_CONTRATO_FSA
ANTES O TEMPO NÃO ACABAVA;B1600245600000;00452
ANTES QUE EU ME ESQUEÇA;B1700306100000;00575
ANTES QUE ME ESQUEÇAM MEU NOME É EDY STAR;B1900422100000;01349
ANTES QUE ME ESQUEÇAM MEU NOME É EDY STAR - O FILME;B2300077800000;03906
ANTI-HÉROIS DO UDIGRUDI BAIANO;B2500507300000;03865
ANTIGAS BRINCADEIRAS;B2400052200000;04046
ANTONIO BANDEIRA - O POETA DAS CORES;B2400053100000;02626
ANTÁRTICA POR UM ANO;B1700602000000;00427
AO SABOR DAS CINZAS;B2500176400000;04731
AO VIVO NA VÁRZEA - TEMPORADA 2;B2500157100000;04109
AO VIVO NO SOMA;B1900180200000;1184
AOS NOSSOS FILHOS;B2100115300000;01744
AOS OLHOS DE ERNESTO;B1900448200000;1311
AOS PEDAÇOS;B2000338900000;1137
AOS VENTOS QUE VIRÃO;B1301732600000;021014600
APARECIDA, O MILAGRE;B1001319100000;0212046300
APERTE START, WOLFGANG;B2000007500000;00862
APOIO CULTURAL;B2200280400000;2464
APOPCALIPSE SEGUNDO BABY;B2500298300000;04461
APRENDER A SONHAR;B1700119300000;00574
APRENDER A SONHAR;B2400368600000;03520
APRENDER A SONHAR - 2ª TEMPORADA;B2300208400000;02762
APRENDER A SONHAR - NOVA TEMPORADA;B2500179700000;03867
AQUARELA BRASILEIRA;B2300097200000;01946
AQUARELA MUSICAL;B1900584400000;01980
AQUECIMENTO GLOBAL;B2400172500000;04375
ARCA DE NOÉ;B2400283000000;03909
ARCA DE NOÉ;B2400283000000;04323
ARCA DE NOÉ;B2400283000000;04827
AREMBEPE;B2300005100000;02657
ARIANO APRESENTA: O AUTO DA BOA MENTIRA;B2000112600000;02443
ARISTIDES MALTEZ, O MÉDICO DOS POBRES;B2200251700000;02885
ARQUEOLOGIAS - EM BUSCA DOS PRIMEIROS BRASILEIROS;B1700220500000;00284
ARQUIBANCADAS;B1800379900000;00691
ARQUITETOS;B1800396800000;00345
ARQUITETOS BRASILEIROS - 2ª TEMPORADA;B2400368500000;02716
ARQUITETOS DO SOM;B2400119800000;04366
ARQUITETURA HOJE!;B2400086000000;04017
ARQUIVO ABERTO;B2500291000000;04641
ARTACHO JURADO SINFONIA DE UM ARQUITETO;B2500410700000;04944
ARTE ATIVA - O ESTADO DA ARTE NAS RUAS - 1A TEMPORADA;B1500596800000;00065
ARTE BRASILEIRA QUADRO A QUADRO;B1700628500000;00739
ARTE BRASILEIRA QUADRO A QUADRO - SEGUNDA TEMPORADA;B2500070700000;04704
ARTE CONTEMPORÂNEA: DIÁLOGOS;B1900420300000;1635
ARTE DA DIPLOMACIA;B2300517800000;03348
ARTE NA RUA;B2400284500000;4574
ARTE URBANA;B2300136700000;02315
ARTISTAS;B1600412400000;00235
ARTISTAS PLÁSTICOS BRASILEIROS;B1700376400000;00623
ARTÉRIA: POESIA EM REVISTA;B2400523000000;04374
