TITULO_ORIGINAL;CPB;NUMERO_CONTRATO_FSA
ELE NÃO SABIA HISTÓRIAS;B2300316900000;03199
ELEGIA DE UM CRIME;B1800421800000;1175
ELIS;B1600680100000;00375
ELIS & TOM, SÓ TINHA DE SER COM VOCÊ;B2300205100000;02160
ELIS & TOM, SÓ TINHA DE SER COM VOCÊ;B2300205100000;03956
EM BUSCA DA ESSÊNCIA NA COZINHA;B2000205300000;02398
EM BUSCA DE CARLOS ZÉFIRO;B2000375500000;01317
EM BUSCA DE KARDEC;B2000201800000;1194
EM COMA;B2400190200000;03920
EM NOME DA LEI;B1600107600000;00356
EM NOME DO JOGO;B2500013100000;04614
EM PEDAÇOS;B2500231700000;04443
EM REFORMA;B1900247000000;01956
EM TRÊS ATOS;B1500818400000;00307
EM UM MUNDO INTERIOR;B1700189700000;00289
EMPATE;B1900189800000;00959
EMPELEITADA;B2500302600000;04820
EMPIRION: UMA AVENTURA COM EINSTEIN;B2300396300000;00643
EMPIRION: UMA AVENTURA COM EINSTEIN;B2300396300000;02239
EMPIRION: UMA AVENTURA COM EINSTEIN;B2300396300000;03041
EMPIRION: UMA AVENTURA COM EINSTEIN;B2300396300000;03196
EMPIRION: UMA AVENTURA COM EINSTEIN;B2300396300000;187380
EMPURRANDO COM A BARRIGA;B2200441900000;02709
EMTOURNO;B2500121100000;04659
ENCANTARIAS;B2100256400000;01924
ENCARCERADOS;B2000008400000;1639
ENCONTROS COM O CINEMA AFRICANO;B2400265800000;03910
ENCRUZILHADAS DA LIBERDADE;B2500329700000;04153
ENEIDA;B2200402400000;01538
ENQUADRO 5X5;B1700278600000;00516
ENQUANTO ESTAMOS AQUI;B1900175200000;1674
ENQUANTO O CÉU NÃO ME ESPERA;B2400086600000;01942
ENSAIOS CONTEMPORÂNEOS;B1800556000000;00826
ENTRADA FRANCA - FAUSE HATEN;B1800608400000;1235
ENTRANHAS;B2500227200000;04595
ENTRE IRMÃS;B1700466900000;02042
ENTRE LONGES;B2300536900000;03891
ENTRE NÓS;B1402086200000;00088
ENTRE NÓS, UM SEGREDO;B2000436900000;1480
ENTRE RIOS;B2400328600000;04531
ENTRE VALES;B1301935400000;0212040400
ENTRE VOOS E CAMINHADAS;B2000205400000;02763
ENTRELINHAS;B2300330000000;03055
ENTRENÓS;B1800505100000;1223
ENTREQUADRAS;B2500222800000;04214
ERA O HOTEL CAMBRIDGE;B1600690600000;00326
ERA UMA VEZ, UM SONHO;B2400084200000;02794
ERIC ACORDE;B1800182100000;00208
ERLON CHAVES: O MAESTRO DO VENENO;B1800493200000;00863
ERNESTO, O EXTERMINADOR DE SERES MONSTRUOSOS E OUTRAS PORCARIAS;B1600477000000;162
EROS;B2300484100000;03953
ESC: O BOM CINEMA;B2100160500000;02032
ESCONDERIJO DOS GIGANTES;B2500460500000;04125
ESCRITA ÍNTIMA;B2100241700000;1627
ESCRITORAS E CIDADES;B2500366400000;04487
ESCUMALHA;B2400024800000;02596
ESPAÇO ALÉM - MARINA ABRAMOVIC E O BRASIL;B1600064700000;00159
ESPELHO CIGANO;B2400380100000;04181
ESPERA;B2000297200000;1187
ESPERANDO A TEMPESTADE;B1700537700000;00847
ESPERO QUE ESTA TE ENCONTRE E QUE ESTEJAS BEM;B2000499300000;03281
ESPERO TUA (RE)VOLTA;B1900350700000;02118
ESPERO TUA (RE)VOLTA;B1900350700000;02986
ESPIRAL;B2400322100000;04434
ESPUMAS AO VENTO;B2200449200000;3454
ESQUADRÃO JAMBOCK;B2200413500000;02637
ESQUERDA EM TRANSE;B1900035000000;00690
ESSE NEGÓCIO DE LIVRO;B1800009200000;00294
ESTA NOITE ENCARNAREI NO TEU CORPINHO - PILOTO;B1600326200000;00233
ESTADOS DA ARTE;B1700065900000;00351
ESTADOS DA ARTE - 2ª TEMPORADA - NORTE E NORDESTE;B2200313200000;03548
ESTADOS UNIDOS DO BRASIL;B2200409600000;02171
ESTAMOS JUNTOS;B1101415000000;0211014700
ESTANTE DE LIVROS;B1800485700000;00817
ESTAÇÃO LIBERDADE;B1301763500000;0210042600
ESTOPIM;B2600029800000;05098
ESTOU ME GUARDANDO PARA QUANDO O CARNAVAL CHEGAR;B1900093600000;1117
ESTRADA REAL;B2400078000000;04203
ESTRADEIRAS;B2200012700000;03290
ETA POVO CRIATIVO;B2500298100000;04598
EU E MEU AVÔ NIHONJIN;B2500237700000;03525
EU E MEU AVÔ NIHONJIN;B2500237700000;04791
EU E MEU GUARDA-CHUVA;B1001147500000;0210023800
EU MORO AQUI;B1700401900000;00639
EU NÃO ANDO SÓ;B2100115100000;02757
EU NÃO DESISTO DE VOCÊ;B2400120800000;03851
EU QUE PLANTEI - MATA ATLÂNTICA;B2500071000000;04110
EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS;B1101528200000;0210033000
EU SOU MAIS EU;B1900019000000;02729
EU SOU O SAMBA MAS PODE ME CHAMAR DE ZÉ KETTI;B2300531000000;03912
EU TE DEDICO;B1700616700000;00715
EU VOU TER SAUDADES DE VOCÊ;B2500332000000;04230
EU VOU TER SAUDADES DE VOCÊ;B2500332000000;04243
EU, EMPRESA;B2200462000000;02789
EU, NIRVANA;B1900533600000;00957
EU, PRESO;B1900344400000;01972
EU, UM OUTRO;B1800449500000;00864
EUCLYDES;B2300288500000;04131
EULLER MILLER ENTRE DOIS MUNDOS;B1800006500000;01115
EX-PAJÉ;B1800001000000;00877
EXCELENTÍSSIMOS;B1800462300000;00844
EXCELENTÍSSIMOS;B1800462300000;02064
EXODUS - DE ONDE VIM NÃO EXISTE MAIS;B1700123200000;00086
EXPEDICAO AGUAS DO ACRE;B2500037100000;1546
EXPEDIÇÃO NORDESTE;B1800294900000;1445
EXPEDIÇÃO PICO DE JACA;B2300549900000;03966
EXPEDIÇÃO PRAIEIRA;B2400005100000;03814
EXPEDIÇÃO ROOSEVELT - RONDON;B2100449200000;03232
EXPEDIÇÕES BURLE MARX;B1302028100000;0211033300
EXPLODE SÃO PAULO, GIL;B2400354500000;01116
EXPRESSO;B1700278800000;00368
FABIANA;B1900589000000;02513
FABRICAS DE SONHO;B2500141200000;217080
FABULOSOS JOÃO E MARIA;B2200136500000;01979
FAIXA DE GAZA;B1900336600000;1070
FAKE NEWS - MADE IN BRAZIL;B2400446400000;02581
FAKE NEWS - MADE IN BRAZIL;B2400446400000;03381
FALA COMIGO;B1600708000000;00343
FALA SÉRIO, MÃE!;B1700552000000;1118
FAMILIA ANIMAL;B2300214800000;03816
FAMÍLIA DE AXÉ;B1900487000000;02878
FAMÍLIA DE SORTE;B2500022800000;03169
FAMÍLIA DE SORTE;B2500022800000;03303
FAMÍLIA DE SORTE;B2500022800000;04401
FAMÍLIA NA TRIBO;B1800553300000;00381
FAMÍLIA PEREIRA;B2000144800000;01602
FAMÍLIAS;B1800351200000;01100
FANTASMA;B2300174400000;02066
FANTASMAS DA CASA PRÓPRIA;B1700297600000;011489
FANÁTIC@S;B1700037000000;00553
FANÁTICOS;B1402091700000;0213006800
FAROESTE CABOCLO;B1301803100000;0211016200
FASHION CLICK;B1700333000000;00903
FASHION CLICK 2;B2000204400000;02009
FAUSTO FAWCETT NA CABEÇA;B2200412200000;03551
FAVELA GAY - PERIFERIAS LGBTQI+;B2000046400000;1862
FAVELA É MODA;B2000556100000;02636
FAZENDAS HISTÓRICAS;B1900251500000;01505
FEBRE DO RATO;B1201573200000;0210011000
FEITO TORTO PARA FICAR DIREITO - A SÉRIE;B1900468200000;1140
FEITO TORTO PRA FICAR DIREITO;B1500407800000;00095
FELINOS EM PRETO E BRANCO;B2400005000000;04188
FERAS;B1900024800000;1168
FERNANDO CONI CAMPOS: CADA UM VIVE COMO SONHA;B2500473200000;04982
FERVO;B2200412400000;02256
FIEBRE;B2300552400000;04613
FILHOS DA LIBERDADE;B2400071100000;03877
FILHOS DO MANGUE;B2400337800000;04271
FILHOS DO PAI ETERNO;B1900612000000;3125
FILME B;B1700466400000;00281
FILOSOFIA COM ARTE;B2300182200000;03842
FIM DE FESTA;B2000066500000;02049
FIM DE FESTA;B2000066500000;02050
FIM DE FESTA;B2000066500000;02051
FIM DE FESTA;B2000066500000;03126
FIM DE SEMANA NO PARAÍSO SELVAGEM;B2200203400000;03462
FIM DO MUNDO;B1600656800000;00337
FIO DA MEADA;B1900368000000;00925
FLOR NO QUINTAL;B2100278600000;1280
FLORADAS - NA TRILHA DA AGROECOLOGIA;B2300399000000;03118
FLORES DO CERRADO;B2400129900000;03908
FLORES RARAS;B1201696900000;0211026200
FLORESTA, ONDE A TERRA RESPIRA;B2300065000000;02472
FLUXO - MELHOR PAUSA;B2300557200000;03887
FLUXOS;B1900463100000;1703
FOGARÉU;B2300051700000;02012
FOGARÉU;B2300051700000;730
FOI ASSIM E FOI ASSADO;B1900596400000;1340
FOLIAR BRASIL DOC- 2A TEMPORADA;B1800595400000;1531
FORA DE QUADRO;B1500660200000;00076
FORAM OS SUSSURROS QUE ME MATARAM;B2300288600000;03043
FORAM OS SUSSURROS QUE ME MATARAM;B2300288600000;03550
FORMIGAS;B1800477500000;00950
FORROBODÓ DA PAIXÃO;B2400235300000;4060
FORTALEZA HOTEL;B2100105600000;1650
FORTALEZA PARAÍSO;B2400395000000;03255
FORTALEZA PARAÍSO - PILOTO;B2400374100000;02573
FOTOGRAFAÇÃO;B1900205100000;02056
FRANCISCO SÓ QUER JOGAR BOLA;B2000184000000;00671
FRANS KRAJCBERG: MANIFESTO;B1800335300000;1156
FREQUÊNCIA POSITIVA;B1900606600000;02107
FRONTEIRA;B1900089400000;01103
FRONTEIRAS;B1800452000000;23782015
FRONTEIRAS;B2400262400000;03864
FRONTEIRAS DA MEMÓRIA;B2600006400000;05033
FRONTEIRAS FLUIDAS;B1900290500000;00481
FUINHA E CAÇAPAVA-PILOTO;B1600310200000;00130
FUNK FAVELA;B2300501200000;04032
FUTEBÓIS;B2400165200000;04504
FUTURO FUTURO;B2500138400000;04428
FUTURO NAS COSTAS;B2400219400000;04545
FÁBULAS DE BULCCAN EPISÓDIO PILOTO;B1500576000000;004540
FÁBULAS TORTAS;B1800036900000;01142
FÉ E FÚRIA;B1900494500000;02799
FÉ NA BATIDA;B1700275200000;00875
FÉ NA BATIDA - 2ª TEMPORADA;B2400200900000;04442
G.I.B.I.S.;B2100206300000;02449
GABRIEL E A MONTANHA;B1700305400000;00327
GABY ESTRELLA;B1600754000000;00821
GAFAS AMARILLAS;B2000297100000;02257
GALALAU E CORUJINA;B1800362400000;1644
GALAXIAS;B1402255700000;00007
GALERA DA PRAIA;B2300200900000;02967
GALERIA FUTURO;B2100363400000;03311
GAME BROS;B1700455700000;00323
GAME DEV BRASIL;B2400303000000;3875
GAME GIRLS;B2400221300000;03473
GAMEBROS;B2000075100000;00323
GAMES, MITOS E LENDAS;B2600041500000;05142
GAROTA DA MOTO;B2000367000000;3077
GAROTA DA MOTO;B2000367000000;3494
GAROTO, O GÊNIO DAS CORDAS;B2200057500000;02091
GEEK - OS AMADOS NERDS;B1700627500000;00370
GEEK TOUR ADVENTURES;B1900056400000;1657
GENTE VERDADEIRA;B2400382100000;04280
GEOGRAFIA DA ARTE;B1700379700000;1166
GEOGRAFIA DA ARTE - SEGUNDA TEMPORADA;B2400454400000;04657
GERAIS DA PEDRA;B2300071400000;03804
GERSON KING COMBO - O FILME;B2300069200000;03846
GETÚLIO;B1402159100000;0211034400
GIGA - 2ª TEMPORADA;B2100451900000;2723
GIGANTE POR NATUREZA;B1900376200000;02818
GILBERTO GIL ANTOLOGIA VOL 1;B1900619400000;02114
GILBERTO GIL ANTOLOGIA VOL 1;B1900619400000;1759
GILDO;B2400077600000;03899
GIRAMUNDO;B1700411500000;479
GIRASSOL VERMELHO;B2300267400000;00889
GLAUBER, CLARO;B2100062600000;02463
GLEBA - CHÃO DE MARIAS;B1700052500000;00460
GLÓRIA & LIBERDADE;B2500263100000;03400
GNAKS!;B2500244500000;04441
GNAKS! - EPISÓDIO PILOTO;B1800308100000;008787
GODLESS - ALÉM DA CRENÇA;B2300537800000;03558
GODOFREDO;B1600288400000;0211021700
GOLPE DE OURO;B2200169500000;01728
GONZAGUINHA - DA MAIOR LIBERDADE;B2500338900000;04118
GORDURINHA - O BOM BAIANO;B2200290900000;02747
GOSTO SE DISCUTE;B1700454300000;01054
GOSTOSAS, LINDAS E SEXIES;B1700109600000;1251
GRANDE NEGÓCIO - CARNAVAL - SÉRIE;B2400262500000;04465
GRANDE SERTÃO KEBRADAS;B2400370600000;02942
GRANDES CENAS;B1600702800000;00384
GRANDES CENAS - 2ª TEMPORADA;B2200253400000;03157
GRANDES CENAS - 3ª TEMPORADA;B2600027100000;04978
GRANDES FOTÓGRAFOS, PEQUENOS FORMATOS;B2400266200000;04454
GRAVADOR DE HISTÓRIAS;B1800496100000;00886
GRAVIDADE;B2500271800000;04823
GRAÚNA - DE ESCRAVO A CORONEL;B2400223200000;04328
GREICE;B2400164900000;03094
GREICE;B2400164900000;04762
GRETA;B1900172900000;01130
GRETA;B1900172900000;02077
GRUPO CORPO PELA MÚSICA;B2200457500000;02448
GRUPO DE BAGÉ;B1800143100000;0687
GRUTA DO LAGO AZUL;B2300063500000;03941
GRÁVIDO DE TERRA NEGRA;B2400526300000;04293
GUARD DOG E BILL PLYMPTON NO BRASIL;B2400478100000;04393
GUARDIÃS DA FLORESTA;B1700493600000;00422
GUARDIÃS DA FLORESTA - SEGUNDA TEMPORADA;B2200287800000;2706
GUARDIÕES DO MAR;B2300139100000;02918
GUARNIERI;B1800152000000;1608
GUATEKA;B1700122600000;491
GUAÍBA, ONDE AS ÁGUAS SE ENCONTRAM;B1900542100000;1179
GUERRA DE ALGODÃO;B1800466200000;00438
GUERRA DE ALGODÃO;B1800466200000;01870
GUERRA DO ARAGUAIA;B1700565000000;00541
GUERRAS DO BRASIL.DOC;B1800587600000;1318
GUERREIRAS;B2600029500000;05099
GUERREIROS DA FLORESTA;B1900049200000;02183
GUERREIROS DA SELVA;B1700581800000;1194
GUIA;B2300557100000;04470
GUIGNARD - MUNDO SEM CHÃO;B2200423300000;03808
GYURI;B2000352100000;02764
GYURI;B2000352100000;02765
GÊNERO PLURAL;B1900201200000;01141
HABITAT;B2500131400000;04367
HABITAÇÃO SOCIAL - PROJETOS DE UM BRASIL;B1800489700000;01106
HACKERS - 2ª TEMPORADA;B1900043300000;1730
HACKERS X CRACKERS;B2100269300000;03056
HACKERS X CRACKERS;B2100269300000;1636
HAPPY HOUR;B1700571300000;00555
HAPPY HOUR;B1700571300000;01360
HAROLDO, O POETA DAS IMAGENS;B2500187000000;04507
HAYDEE E O PEIXE VOADOR;B1900216400000;01865
HELEN;B1900206200000;02187
HELENO;B1201553500000;0211007400
HERANÇA;B2300212600000;03547
HERANÇA DE NARCISA;B2500458300000;04933
HERANÇAS DO MARANHÃO;B2400251400000;03919
HERMANOTEU NA TERRA DE GODAH;B2100497800000;02661
HEROÍNAS NEGRAS BRASILEIRAS;B2500140800000;04076
HIEROFANIA;B2400290500000;04460
HIGHWAY - MANUAL PRÁTICO DE SOBREVIVÊNCIANA ESTRADA;B2400516300000;02534
HIPER PRAIA;B2200209900000;02824
HISTORIETAS ASSOMBRADAS (PARA CRIANÇAS MALCRIADAS);B1301740700000;0212006900
HISTORIETAS ASSOMBRADAS - 2ª TEMPORADA;B1500275500000;00060
HISTORIETAS ASSOMBRADAS - O FILME;B1700339700000;00078
HISTÓRIA DA ALIMENTAÇÃO NO BRASIL;B1700621600000;00418
HISTÓRIAS ATRÁS DA PORTA;B2500137000000;03895
HISTÓRIAS DA ARTE;B1900137100000;1160
HISTÓRIAS DA CIDADANIA;B2100497300000;03022
HISTÓRIAS DA GENTE BRASILEIRA;B2300464300000;02759
HISTÓRIAS DE ALICE;B1301956300000;0213000100
HISTÓRIAS DE AMOR DURAM APENAS 90 MINUTOS (SPLEEN);B0901099200000;0209060100
HISTÓRIAS DE CARNAVAL - SÉRIE ESPECIAL;B2000050400000;03033
HISTÓRIAS DE FANTASMAS VERDADEIROS PARA CRIANÇAS;B2400036300000;03963
HISTÓRIAS DO BODYBOARD;B2500299500000;04660
HISTÓRIAS QUE SÓ EXISTEM QUANDO LEMBRADAS;B1101414400000;0212025100
HISTÓRIAS SUBMERSAS - NAUFRÁGIOS NO LITORAL BAIANO;B2300346300000;02680
HISTÓRIAS SUBMERSAS - NAUFRÁGIOS NO LITORAL BAIANO;B2300346300000;02783
HIT PARADE;B2000459700000;1769
HOMEM COM H;B2400522800000;05160
HOMEM COM H;B2400522800000;05228
HOMEM DE TEATRO - UMA VISÃO SOBRE JOÃO AUGUSTO;B2500076100000;02819
HOMEM ONÇA;B2000173600000;01342
HOMEM ONÇA;B2000173600000;03250
HOMENS DE BARRO;B2300209300000;01843
HOMENS DE BARRO;B2300209300000;03312
HOMO BRASILIS;B1700036100000;00439
HOMO BRASILIS - 2ª TEMPORADA;B2300212700000;4008
HORA DO RECREIO;B2500469500000;04848
HOSANA NAS ALTURAS;B2000100400000;00985
HOSPITAL DE BRINQUEDOS;B2200047500000;03443
HQUEM A ARTE DE DESENHAR HISTÓRIAS;B2000324500000;02299
HUNT;B1900248400000;02349
HÁ MUITAS NOITES NA NOITE;B1500351900000;0211021900
IBIUNA;B1900461700000;00955
ICAMIABAS NA CIDADE AMAZÔNIA;B1700565800000;00640
ICEBERG;B2500217400000;04492
IDADE DA ÁGUA;B1800556700000;1523
IDENTIDADE;B2400365900000;03913
IDENTIDADE #TRANSVIVE;B1900243600000;01087
ILHA;B1800255500000;01362
ILHA DE TODOS OS MESTRES;B2200311200000;03005
IMAGEM VINIL - ZONA NORTE;B2000120400000;01776
IMAGENS DO ESTADO NOVO 1937-45;B1500572300000;0211020400
IMAGENS DO ESTADO NOVO 1937-45;B1600193300000;0211020400
IMORTAIS DA ACADEMIA;B1700375800000;00350
IMPRESSÕES DO BRASIL: ESCRITORES LIVROS E IDEIAS - 2ª TEMPORADA;B2600018100000;4983
IMPRESSÕES DO MUNDO;B1600420100000;374
INCERTEZAS CRÍTICAS;B1600131200000;00156
INCERTEZAS CRÍTICAS - 2ª TEMPORADA;B1700149000000;00290
INCERTEZAS CRÍTICAS - TERCEIRA TEMPORADA;B2100326400000;03049
INCOMPATÍVEL;B1900571100000;01232
INCOMPATÍVEL COM A VIDA;B2300062000000;03798
INCONDICIONAL - O MITO DA MATERNIDADE;B2400267500000;04330
INCONVENIÊNCIAS HISTÓRICAS;B2200041000000;01892
INFERNINHO;B1800168300000;1149
INFERNINHO - EPISÓDIO PILOTO;B1800167500000;1149
INFINITAS TERRAS (OU RELATOS DO MEU TEMPO EM CRISE);B2100269200000;02327
INFÂNCIA;B1402378700000;00043
INHOTIM;B1800410500000;00314
INSOLAÇÃO;B1001166000000;0209059200
INSTANTES CRUZADOS;B1800114200000;00740
INSTANTES CRUZADOS - 2ª TEMPORADA;B2400253100000;04038
INSUBMISSAS;B2400257900000;04321
INSUSTENTÁVEIS;B1900042700000;010901
INSÔNIA;B1500916300000;00116
INVASORES;B2300422200000;04112
INVASÃO MARCIANA;B2300242000000;04102
INVENCÍVEIS;B2500500100000;02394
INVENCÍVEIS;B2500500100000;04909
INVENÇÕES DA ALMA - ARTE POPULAR BRASILEIRA - 3ª TEMPORADA;B2500135500000;04634
INVESTIGADORES DA HISTÓRIA;B1900346200000;01094
INVISÍVEL;B1700381100000;01268
INVISÍVEL;B1700381100000;01270
IRACEMAS;B2300148100000;2891
IRMÃ DULCE;B1402406800000;00027
ISLÂNDIA: ONDAS DO NORTE;B2400056200000;03121
ITINERÁRIOS DO OLHAR;B1900380200000;02106
IURI & UDI;B2400499300000;03818
IYAS IDANAS - MULHERES DA COZINHA;B2300108000000;02791
JACARILDO E A NATUREZA;B2100281700000;02404
JAIR RODRIGUES - DEIXA QUE DIGAM;B2100027200000;02991
JAIR RODRIGUES - DEIXA QUE DIGAM;B2100027200000;1552
JANGADEIROS DA SÃO PEDRO;B2300136800000;02855
JANGO NO EXÍLIO;B2300201800000;03046
JANIS - AMORES DE CARNAVAL, MEMÓRIAS DE RICKY FERREIRA E CONVIDADOS;B2400276900000;04337
JARDIM DOS GIRASSOIS;B2400312800000;3007
JARDIM DOS SILÊNCIOS;B2500268300000;02870
JARDIM DOS SILÊNCIOS;B2500268300000;04764
JAZZ -MÚSICA INSTRUMENTAL BRASILEIRA;B1800594800000;1675
JEITOSINHA;B1800077200000;00787
JENIPAPO - A FRONTEIRA DA INDEPENDÊNCIA;B2300333700000;02281
JENNY LUSBY E A CORRIDA INTERGALÁTICA;B2500334800000;03660
JESUS KID;B2000240300000;03078
JESUS KID;B2000240300000;1685
JOAQUIM;B1700092500000;00571
JOAQUIM;B1700092500000;01580030255
JOE & JOY (EX VIDAS FOFINHAS) - PILOTO;B2000037100000;00839
JOGO EM CENA;B2500371300000;04728
JOGOS DE INVENTAR;B1800440400000;01113
JORGE, O PADROEIRO GUERREIRO;B1900605200000;03124
JOSÉ;B2400042100000;04713
JOVENS DE CORAÇÃO - EPISÓDIO PILOTO;B1800190900000;00890
JOVENS POLACAS;B1800279000000;1638
JOÃO DONATO - A SÉRIE;B1402854800000;00052
JOÃO E MARIA - UMA AVENTURA NO CERRADO (O FILME);B1900203700000;1220
JOÃO SEM DEUS - A QUEDA DE ABADIÂNIA;B2300431700000;04151
JOÃO, O MAESTRO;B1700349800000;00064
JOÃO, O MAESTRO;B1700349800000;1236
JUAZEIRO - CHÃO SAGRADO;B2000045700000;1226
JULIANO MOREIRA, UM HUMANISTA NA MEDICINA;B2500137700000;04437
JULIE E OS FANTASMAS;B1101509500000;0211020700
JUNHO DE 2013 - O COMEÇO DO AVESSO;B2100417500000;01881
JUNINAS;B2300174000000;03535
JUNTOS;B1900248100000;02035
JUNTOS E ENROLADOS;B2100532300000;04094
JUVENAL E O DRAGÃO;B2400258400000;03429
JUVENAL E OLIVER;B1800444000000;1297
JUVENTUDE VENDIDA;B2400390500000;04599
JÚLIO E VERNE OS IRMÃOS GEMIAIS;B1700089300000;00489
JÚPITER;B2000047900000;02910
JÚPITER;B2000047900000;1618
KARDEC;B1900157600000;00443
KARDEC;B1900157600000;01968
KARINGANA - LICENÇA PARA CONTAR;B1800172700000;02002
KASA BRANCA;B2400039900000;02988
KASA BRANCA;B2400039900000;04590
KEVIN;B2000177900000;02672
KING KONG EM ASUNCIÓN;B1900593200000;00855
KIRIMURÊ - UMA AVENTURA NA BAÍA DE TODOS OS SANTOS;B2500013200000;03944
KOBRA - AUTO-RETRATO;B2200146200000;02832
KOBRA - AUTO-RETRATO;B2200146200000;03935
KUNHÃ KARAI E AS NARRATIVAS DA TERRA;B2300366600000;3476
KUNTANAWA - A RECONSTRUÇÃO DE UM POVO;B1900029400000;01192
L.O.C.A.;B2100113200000;03342
LA CAMA;B1800374500000;1610
LA ERECCIÓN DE TORIBIO BARDELLI;B2400100400000;2209
LA ESTRATÉGIA DEL MERO;B2300315200000;04065
LA OTRA FORMA;B2300491600000;04661
LA SITUACIÓN;B2300037500000;03409
LA TEORIA DE LOS VIDRIOS ROTOS;B2100277700000;02269
LA VINGANÇA;B1700077100000;00882
LAB DE CHEF;B2400324200000;05069
LAMA DOS DIAS;B1800381300000;1258
LAMA DOS DIAS 2ª TEMPORADA;B2400024100000;3806
LAMAÇAL;B2100075500000;02334
LAMENTO;B2000042800000;01727
LAMPIÃO, GOVERNADOR DO SERTÃO;B2300180200000;1206
LANA & CAROL;B1700582100000;01088
LAR;B2400457700000;04238
LAR DOCE LAR;B2400510500000;03890
LAS INESES;B1700028400000;00805
LAS VACACIONES DE HILDA;B2200208200000;02544
LATITUDE, LONGITUDE;B1700009500000;00295
LAVRA;B2200297400000;02328
LAVÍNIA - EPISÓDIO PILOTO;B1800525900000;00872
LEGADO ITALIANO;B2000043200000;1733
LEGALIDADE;B1800491800000;0000887
LEGALIDADE;B1800491800000;02236
LEGALIZE JÁ - AMIZADE NUNCA MORRE;B1800046600000;0213016200
LEGÍTIMA DEFESA;B1700586400000;00851
LENDA VIVA - OS BOTOS DE MOCAJUBA;B2400215000000;04540
LENDAS ANIMADAS;B1700174700000;00484
LENINGRADO LINHA 41;B1800443100000;00897
LEOPOLDINA, A IMPERATRIZ DO BRASIL;B2300270600000;04010
LET REFLETE;B2400340200000;04205
LET US BE;B2500175700000;04642
LEVANTE;B2300535000000;03352
LEVANTE;B2300535000000;03362
LIBELU - ABAIXO A DITADURA;B2100072000000;197037
LIBERDADE É UMA GRANDE PALAVRA;B1900036000000;02325
LIBERTO;B1900128100000;1182
LIBERTÁRIAS - MULHERES INSPIRADORAS NA HISTÓRIA DO BRASIL;B2400282000000;4373
LIBERTÁRIOS;B2100466100000;02748
LILA;B1700012200000;00329
LILITH;B2300408500000;03306
LIMA BARRETO, AO TERCEIRO DIA;B1900548300000;1665
LINCOLN OLIVETTI - O MAGO DO POP;B1900050900000;00927
LINDA DE MORRER;B1500543200000;00081
LINDBERG LEITE, OS OLHOS DO MARANHÃO.;B2200133000000;02939
LINHAS ABERTAS;B1800141100000;00836
LINHAS DO TEMPO - MODA E TENDÊNCIAS QUE NÃO PASSAM;B2000060300000;01941
LINHAS NEGRAS;B2300036300000;02698
LINHAS TORTAS;B1700363000000;00311
LINO - UMA AVENTURA DE SETE VIDAS;B1700382400000;00089
LISPECTORANTE;B2500110700000;03029
LISPECTORANTE;B2500110700000;04804
LITERATURA, SUBSTANTIVO FEMININO;B2100427100000;02477
LIVROS RESTANTES;B2500330100000;05290
LOBO DO LOBO;B2100529600000;02291
LONA PRETA;B2500219200000;04379
LONGE DO PARAÍSO;B2300537000000;02075
LOOP;B2100010700000;01844
LOOP;B2100010700000;03254
LOOP;B2100010700000;0392016
LOS DELINCUENTES;B2300373000000;02746
LOS DELINCUENTES;B2300373000000;03063
LOS SILENCIOS;B1800445500000;1250
LOS TERRITORIOS;B1700605800000;1676
LOUCAS PRA CASAR;B1402704900000;1306928
LOVE FILM FESTIVAL;B1500113300000;00445
LOVE FILM FESTIVAL;B1500113300000;01935
LUA EM CÂNCER;B1800535300000;00983
LUA EM SAGITÁRIO;B1600564300000;00369
LUCICREIDE VAI PRA MARTE;B1900421800000;1660
LUIZ GONZAGA - LEGUA TIRANA;B2500148400000;01373
LUIZ GONZAGA - LEGUA TIRANA;B2500148400000;04903
LUIZ MELODIA - NO CORAÇÃO DO BRASIL;B2400365700000;4640
LUNA;B1800287700000;00557
LUNA;B1800287700000;01131
LUPICÍNIO RODRIGUES - CONFISSÕES DE UM SOFREDOR;B2300401000000;03172
LUPITA NO PLANETA DE GENTE GRANDE;B1900267300000;01079
LUPITA NO PLANETA DE GENTE GRANDE - 2ª TEMPORADA;B2500252800000;03882
LUSÓFONAS;B1900311700000;1630
LUTA DA ERVA;B2300252300000;03812
LUZ & SOMBRA - FOTÓGRAFOS DO CINEMA BRASILEIRO;B1600474200000;00280
LUZ NOS TRÓPICOS;B2000313600000;1470
LUZES DA AMAZÔNIA AZUL;B2000432900000;02484
LUÍZA, BENJOCA, SANSA E LUPE - O FILME DA NOSSA VIDA;B2400098900000;04429
LÁ E CÁ;B2100261500000;02814
LÁ EM CASA SESSIONS 3ª TEMPORADA;B2400417900000;04416
LÁ EM CASA SESSIONS- 2°TEMPORADA;B1900089200000;1154
LÍNGUAS DA FLORESTA;B2400093200000;04825
LÔ BORGES – TODA ESSA ÁGUA;B2100464300000;1736
LÔ BORGES – TODA ESSA ÁGUA;B2100464300000;1737
M DE MÃES;B2400044400000;04612
M8;B1900447800000;01058
M8;B1900447800000;01516
MACABRO;B1900618000000;00995
MACABRO;B1900618000000;02230
MAD DOGS;B1500515600000;00110
MAD SCIENTISTS - CIENTISTAS QUE NINGUÉM QUIS OUVIR;B2200056700000;01322
