TITULO_ORIGINAL;CPB;NUMERO_SALIC
EDUCAÇÃO FINANCEIRA: URGENTE E ESSENCIAL;B2400476100000;220636
EDUCAÇÃO.DOC;B1402144500000;130185
EFEITO RECICLAGEM;B1001299300000;070103
EIKE, TUDO OU NADA;B2200250300000;150430
EL ARDOR;B1402130700000;100506
ELA DISSE, ELE DISSE;B1900442300000;180945
ELA E EU;B2000081700000;140528
ELAS NO SINGULAR;B1800605100000;170726
ELAS POR LUCIANA VENDRAMINI;B1301988500000;120194
ELAS, DIVINAS;B2400179800000;190101
ELE NÃO SABIA HISTÓRIAS;B2300316900000;180860
ELEGIA DE UM CRIME;B1800421800000;140015
ELEIÇÕES;B1800547000000;170127
ELENA;B1201704900000;110270
ELIEZER BATISTA - O ENGENHEIRO DO BRASIL;B0901070100000;050421
ELIS;B1600680100000;130298
ELIS POR JOÃO;B2500011700000;170550
ELMIRO MIRANDA SHOW;B1201663400000;120131
ELOGIO DA LIBERDADE;B1900061100000;170299
ELON NÃO ACREDITA NA MORTE;B1600765100000;130468
ELY CAMARGO - ÁGUA DA FONTE;B1800237300000;120422
EM BUSCA DAS ORIGENS;B2500365200000;210105
EM BUSCA DE ANSELMO;B1900401800000;160261
EM BUSCA DE CINDERELA;B1900233300000;150440
EM BUSCA DE IARA;B1301938500000;110074
EM BUSCA DO CAMPEÃO;B2600079400000;230987
EM BUSCA DO U-513;B2000065400000;110368
EM NOME DA JUSTIÇA;B1900232500000;170333
EM NOME DA JUSTIÇA - 2ª TEMPORADA;B2100491200000;180372
EM NOME DA JUSTIÇA - 3ª TEMPORADA;B2400112900000;210120
EM NOME DA LEI;B1600107600000;120406
EM NOME DOS PAIS;B1800031900000;150450
EM TEU NOME;B0901062900000;080007
EM TRÂNSITO;B0600471300000;000352
EM UM MUNDO INTERIOR;B1700189700000;130156
EMBARQUE IMEDIATO;B0800951000000;013620
EMERGÊNCIA PET;B1600616400000;150491
EMPIRION: UMA AVENTURA COM EINSTEIN;B2300396300000;150325
ENCANTADEIRAS - O CANTO E O ENCANTO DAS QUEBRADEIRAS DE COCO;B2000034400000;150626
ENCANTADOS;B1402707600000;040294
ENCANTO QUEBRADO;B2400109900000;200113
ENCARCERADOS;B2000008400000;150578
ENCARNAÇÃO DO DEMÔNIO;B0800890100000;030118
ENCONTRO COM MILTON SANTOS OU O MUNDO GLOBAL VISTO DO LADO DE CÁ;B0600628200000;024156
ENCONTRO COM MILTON SANTOS OU O MUNDO GLOBAL VISTO DO LADO DE CÁ;B0600628200000;049015
ENERGIA ALTERNATIVA;B0700806100000;060343
ENERGIA NO BRASIL;B2500049700000;220634
ENQUANTO A NOITE NÃO CHEGA;B1402075800000;040139
ENSAIO;B1201574300000;070409
ENSAIO SOBRE A CEGUEIRA;B0800867500000;070075
ENSINANDO COMO APRECIAR VINHOS;B2300125800000;200123
ENTRANDO NUMA ROUBADA;B1500558500000;130383
ENTRE A LUZ E A SOMBRA;B0901091900000;030369
ENTRE ABELHAS;B1500183700000;130219
ENTRE FRONTEIRAS;B1101431300000;090269
ENTRE FRONTEIRAS - ÁFRICA;B1301775100000;110088
ENTRE FRONTEIRAS ÁFRICA 2;B1402687700000;130039
ENTRE GREVES;B2000055300000;150179
ENTRE IDAS E VINDAS;B1600355900000;110458
ENTRE IRMÃS;B1700466900000;150737
ENTRE IRMÃS - SÉRIE;B1700584000000;170071
ENTRE JANELAS;B2500203500000;220129
ENTRE LENÇÓIS;B0800947000000;080074
ENTRE NÓS;B1402086200000;110250
ENTRE NÓS, O ESTRANHO;B1600492200000;100302
ENTRE OS DEDOS;B0800956800000;079046
ENTRE RISOS;B1700271600000;160032
ENTRE VALES;B1301935400000;080126
ENTREQUADRAS;B2500222800000;190394
ENTÃO MORRI;B1700145600000;150641
EPIFANIA - SEXO, GÊNERO E DESEJO NO ESPORTE.;B2600011300000;190292
ERA O HOTEL CAMBRIDGE;B1600690600000;110316
ERA UMA VEZ;B0800889600000;060256
ERA UMA VEZ;B0800889600000;079006
ERA UMA VEZ EU, VERÔNICA;B1201642000000;070338
ERA UMA VEZ MINHA PRIMEIRA VEZ;B2600104900000;190236
ERA UMA VEZ MINHA PRIMEIRA VEZ;B2600104900000;247081
ERA UMA VEZ UMA HISTÓRIA;B1700204700000;150624
ERNESTO, O EXTERMINADOR DE SERES MONSTRUOSOS E OUTRAS PORCARIAS;B1600477000000;130320
ESCOLA DE GÊNIOS - PRIMEIRA TEMPORADA;B1800000300000;160748
ESCOLA DE GÊNIOS - QUARTA TEMPORADA;B1900261200000;180340
ESCOLA DE GÊNIOS - QUINTA TEMPORADA;B2000002500000;180888
ESCOLA DE GÊNIOS - SEXTA TEMPORADA;B2000229200000;190050
ESCOLA DE GÊNIOS - TERCEIRA TEMPORADA;B1900066800000;170617
ESCOLA DE GÊNIOS – SEGUNDA TEMPORADA;B1800422200000;170269
ESCOLA PRA CACHORRO;B0901027800000;070258
ESCOLA PRA CACHORRO 2ª TEMPORADA;B1201554500000;090478
ESCRAVIDÃO - SÉCULO XXI;B1900238900000;160257
ESG: VISÃO DE FUTURO;B2400334700000;210334
ESPAÇO ALÉM - MARINA ABRAMOVIC E O BRASIL;B1600064700000;130340
ESPAÇO PARA DOIS;B1800595300000;180105
ESPELHO DE TARSILA;B2500220300000;190408
ESPELHO D´ÁGUA - UMA VIAGEM NO RIO SÃO FRANCISCO;B0400085800000;000310
ESPERO TUA (RE)VOLTA;B1900350700000;170200
ESPETÁCULO - POR TRÁS DAS CORTINAS DO MUSICAL;B2000531300000;090260
ESPIA SÓ;B1201682400000;090267
ESPÍRITO DA LUTA 1ª TEMPORADA;B1700072200000;150428
ESPÍRITO DA LUTA 2ª TEMPORADA;B2000080900000;160698
ESQUADRÃO DO MAR AZUL;B2300485700000;181052
ESQUADRÃO UFO;B2600096600000;220111
ESSES MOÇOS;B0500353400000;013667
ESTA NOITE NÃO SEREMOS ESTRANHOS;B2600077600000;230455
ESTAMIRA;B0500209900000;030165
ESTAMOS JUNTOS;B1101415000000;030056
ESTAÇÃO LIBERDADE;B1301763500000;060412
ESTEROS;B1700243800000;155207
ESTILO BRASIL - 2ª TEMPORADA;B1001261900000;080639
ESTIVE EM LISBOA E LEMBREI DE VOCÊ;B1500865900000;110238
ESTORVO;B0500311600000;960438
ESTRADA DE SONHOS;B1700544600000;120518
ESTRADA NATURAL;B2100498200000;150104
ESTRADAS REAIS DAS MINAS AO MAR;B0600543500000;050043
ESTRANHAS COTOVELADAS;B2300312800000;090391
ESTRANHO AMOR;B2400375200000;170419
ESTRANHOS;B1402246600000;050310
ESTÔMAGO;B0700777200000;070420
ESTÔMAGO 2 - O PODEROSO CHEF;B2400045400000;160232
ESTÚDIO 360;B1500785100000;110311
ESTÚDIO SKANK E NANDO REIS;B1101443400000;080276
EU AMO MEU CORAÇÃO - FILME POR UM FIO;B0500355400000;000231
EU DEVERIA ESTAR FELIZ;B2300321400000;210042
EU E MEU GUARDA-CHUVA;B1001147500000;070222
EU EU EU JOSÉ LEWGOY;B0800959600000;023743
EU FICO LOKO;B1600789900000;160144
EU MAIOR;B1301998600000;090349
EU ME LEMBRO;B0500441200000;013696
EU ME MOVO;B1600501200000;150653
EU NÃO CONHECIA TURURU;B1201554100000;971815
EU QUERO IR;B2400046700000;190307
EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS;B1101528200000;070512
EU SINTO MUITO;B1900448700000;180455
EU SOU ASSIM;B1700375000000;160613
EU SOU BRASILEIRO;B1900233000000;140313
EU SOU CARLOS IMPERIAL;B1402818800000;120492
EU SOU MAIS EU;B1900019000000;170391
EU SOU MARIA;B2300343000000;170340
EU TE DEDICO;B1700616700000;150476
EU TE LEVO;B1600472500000;130490
EU, ADOLESCENTE;B1700463400000;160842
EU, MEU PAI E OS CARIOCAS - 70 ANOS DE MÚSICA NO BRASIL;B2100526500000;150214
EU,ELA E UM MILHÃO DE SEGUIDORES;B1700568400000;170135
EUROPA PAULISTANA;B0600598700000;050258
EXILADOS DO VULCÃO;B1402091800000;090019
EXODUS - DE ONDE VIM NÃO EXISTE MAIS;B1700123200000;110326
EXPEDICIONÁRIOS DO BRASIL;B2200105200000;140489
EXPEDIÇÃO XINGU;B1101503800000;100140
EXPEDIÇÕES BURLE MARX;B1302028100000;110015
EXPERIMENTOS EXTRAORDINÁRIOS;B1402246100000;130006
EXPERIÊNCIA DE MESTRE;B2300362800000;210043
EXPRESSO PARA AANHANGABA;B0400087700000;023525
EXTERMINADORES DO ALÉM;B2000417200000;170753
EXTINÇÕES;B1101462800000;090445
EXTREMO SUL;B0400142200000;993662
FABRICANDO TOM ZÉ;B0700680500000;030376
FAIXA DE AREIA;B0700643600000;030136
FALA SÉRIO!;B1101456300000;070113
FALA SÉRIO, MÃE!;B1700552000000;160378
FALSA LOURA;B0800840400000;040081
FAMILIA SCHURMANN - EXPEDIÇÃO ORIENTE;B1700164400000;130406
FAMILIA VENDE TUDO;B1101413400000;030057
FAMÍLIA DE SORTE;B2500022800000;160113
FAMÍLIA EM CONSTRUÇÃO;B2500039200000;231047
FAMÍLIA IMPERIAL;B1201666600000;100366
FANÁTICOS;B1402091700000;120335
FAROESTE;B1500019700000;120551
FAROESTE CABOCLO;B1301803100000;070055
FAZ SOL LÁ SIM;B1900307900000;150160
FAZ TEU CORRE;B2300194000000;200060
FAZ TEU CORRE - 2ª TEMPORADA;B2500436100000;210344
FDP;B1201602700000;100113
FEBRE DO RATO;B1201573200000;080141
FEBRE DO RATO;B1201573200000;109051
FEDERAL;B0800966100000;023810
FEITO COM AMOR;B1800605200000;180424
FEITO TORTO PARA FICAR DIREITO - A SÉRIE;B1900468200000;150474
FEITO TORTO PRA FICAR DIREITO;B1500407800000;110524
FELIPA E O FOGUETE;B1700595300000;170428
FELIZ NATAL;B0800888300000;050157
FELIZ NATAL;B0800888300000;079005
FERAS;B1900024800000;150453
FERNANDA YOUNG - FOGE-ME AO CONTROLE;B2400294500000;200102
FERNANDO DE NORONHA - OBSERVATÓRIO DA NATUREZA;B1500778100000;090363
FERRUGEM;B1800056700000;160532
FERVO;B2200412400000;140496
FESTA DA UVA 80 ANOS - A CELEBRAÇÃO DE UMA IDENTIDADE;B1500714700000;110321
FEVEREIROS;B1700598000000;150496
FEVEREIROS;B1700598000000;170141
FICA COMIGO ESTA NOITE;B0600566800000;012080
FICO TE DEVENDO UMA CARTA SOBRE O BRASIL;B1900577700000;190106
FIGHT CLASSICS;B2300212100000;200001
FIGURAS DA DANÇA 2017 ARACY EVANS;B1700610500000;149062
FILHOS DA PISTA;B2400244700000;120070
FILHOS DE BACH;B1700052000000;110064
FILHOS DO CARNAVAL;B0600466000000;040048
FILHOS DO CARNAVAL 2;B1101472700000;080080
FILHOS DO MANGUE;B2400337800000;180471
FILME DE AMOR;B0300023400000;013731
FILME ENSAIO;B1800480100000;160243
FILME JARDIM ATLÂNTICO;B1301783300000;080153
FILME PAISAGEM - UM OLHAR SOBRE ROBERTO BURLE MARX;B1800044200000;090192
FILMEFOBIA;B0900999100000;060090
FIM DA LINHA;B0700739300000;023744
FIM DO SEM FIM, O;B0500210500000;011817
FIM E O PRINCÍPIO, O;B0500378800000;030286
FINDING JOSEF;B1600793500000;120012
FLA X FLU;B1301983400000;120111
FLAVORS & BRODERS;B2300375100000;130400
FLORES DO CÁRCERE;B1900536300000;170539
FLORES RARAS;B1201696900000;080654
FLORESTA INVISÍVEL;B2400321800000;210135
FLUXO;B2300352400000;200127
FLUXOS;B1900463100000;110499
FOLIAR BRASIL;B0600615800000;030112
FOME DE LUTA;B2200313300000;180597
FOME DE MEDALHA;B2400251100000;230193
FOR ALL, TRAMPOLIM DA VITÓRIA;B0500403400000;951224
FORA DE CONTROLE;B1201599600000;110107
FORA DO ARMÁRIO;B1600690500000;150385
FORA DO FIGURINO;B1201603300000;993613
FORDLANDIA;B1101522300000;011871
FOTOGRAFAÇÃO;B1900205100000;150387
FRANCISCO BRENNAND;B1301755800000;070032
FRANCISCO DE ASSIS- UMA LIÇÃO DE VIDA;B1500388300000;120160
FRANS KRAJCBERG: MANIFESTO;B1800335300000;110350
FREEWAY;B1402230800000;120542
FREI DAMIÃO - O SANTO DO NORDESTE;B1900267800000;160763
FRONTEIRA - O FILME;B0800935400000;050265
FRONTEIRAS DO PENSAMENTO;B1900173400000;170683
FRONTEIRAS DO PENSAMENTO - 2ª TEMPORADA;B2000243800000;180766
FRONTEIRAS DO PENSAMENTO - VOZES DO MUNDO CONTEMPORÂNEO;B2500509800000;230360
FRONTEIRAS: JORNADAS PARA O AMANHÃ;B2500387600000;220015
FUGA DE NATAL;B1800593200000;180459
FUJA SE FOR CAPAZ;B2100446100000;200095
FUJA SE FOR CAPAZ - 2ª TEMPORADA;B2200310400000;210065
FUJA SE FOR CAPAZ - 3ª TEMPORADA;B2300437700000;220361
FUNK.DOC - POPULAR E PROIBIDO;B2200176000000;170100
FUTEBOL DE CEGOS: O JOGO MAIS DIFÍCIL;B2500469600000;240054
FUTEBOLERIA;B2400323000000;220317
FUTURO DA EDUCAÇÃO;B2300176600000;170398
FUTURO DO PRETÉRITO: TROPICALISMO NOW!;B1201646900000;060259
FUTURO IMPERFEITO;B1800530600000;150630
FUTUROS CAMPEÕES;B1700615900000;160074
FÁBRICA DE CASAMENTOS - 3ª TEMPORADA;B1900158600000;190041
FÁBRICA DE CASAMENTOS 2° TEMPORADA;B1800096200000;170471
FÁTIMA & YOLANDA;B2600087900000;230041
FÁTIMA NO BRASIL;B1700172700000;120005
FÉ;B0500304300000;962415
FÉ NA FESTA;B1201541900000;100472
FÉRIAS EM FAMÍLIA - 1ª TEMPORADA;B1900347900000;181011
FÉRIAS EM FAMÍLIA - 2ª TEMPORADA;B2000036900000;190155
FÉRIAS TROCADAS;B2300278000000;210020
GABEIRA;B1700524700000;160839
GABRIEL MEDINA;B2000028300000;190004
GABY ESTRELLA;B1600754000000;150501
GABY ESTRELLA - 2A TEMPORADA;B1402300300000;140203
GABY ESTRELLA - 3A TEMPORADA;B1500572600000;140558
GAIJIN  AMA - ME COMO SOU;B0500222600000;961527
GALAXIAS;B1402255700000;100146
GALERA F.C. 2ª TEMPORADA;B2500354200000;200121
GALERA FC;B2100168100000;180617
GALERIA F;B1600534400000;140261
GALERIA FUTURO;B2100363400000;130037
GALO VERMELHO - A HISTÓRIA DE CARLSON GRACIE;B2500306200000;220315
GARAGEM HOT ROD;B1600249600000;140446
GARAPA;B0900991000000;023793
GARIMPEIROS DO VOTO;B1700529800000;160043
GAROTA DA MOTO;B2000367000000;170077
GAROTAS DO ABC- AURELIA SCHWARZENEGA;B0300040100000;983501
GAROTO CÓSMICO;B0700664600000;040162
GARRINCHA DO TIMÃO;B1700571000000;160561
GARRINCHA, ESTRELA SOLITÁRIA;B0300046600000;993681
GATÃO DE MEIA IDADE;B0600467100000;000359
GERAÇÃO Z;B1700233300000;160592
GERAÇÕES DA VELA;B1900284300000;180253
GETÚLIO;B1402159100000;070300
GIGABLASTER  4ª  TEMPORADA;B2300174700000;200096
GIGABLASTER - PRIMEIRA TEMPORADA;B1900222900000;160439
GIGABLASTER - SEGUNDA TEMPORADA;B1900571200000;160439
GIGABLASTER 3ª TEMPORADA;B2200325200000;200079
GIGABLASTER 5ª TEMPORADA;B2400459900000;220331
GIGABLASTER 6ª TEMPORADA;B2500043200000;220332
GIGANTES DO BRASIL;B1600327100000;140297
GIOVANNI IMPROTTA;B1301795000000;090064
GIRIMUNHO;B1201558400000;090028
GLAUCO DO BRASIL;B1600116800000;130557
GLITTER MODEL;B1600069800000;130280
GLITTER MODEL - GIRL POWER JÁ;B2100433700000;190357
GLITTER MODEL - MENINAS EMPODERADAS;B2500027600000;190349
GLITTER MODEL - TODA MENINA TEM SEU BRILHO;B1800285600000;160476
GLITTER MODEL - UMA AVENTURA CHEIA DE ESTILO;B1900597300000;180145
GLUB GLUB APRESENTA: HISTÓRIAS DA NATUREZA;B0600537900000;050286
GONZAGA - DE PAI PARA FILHO;B1201647100000;080471
GOSTO SE DISCUTE;B1700454300000;120229
GOSTOSAS, LINDAS E SEXIES;B1700109600000;160049
GRANDE HOTEL;B1402621800000;120270
GRANDE NOITADA, A;B0500262300000;930096
GRANDE SERTÃO;B2400132900000;181010
GRANDE SERTÃO - SÉRIE;B2400381200000;190084
GRANDES MÉDICOS;B1700481900000;130218
GRAÇA;B1402105100000;110259
GRINGOS DO RIO (RIO SEX COMEDY);B1201590700000;070499
GRIOT: DO LADO DE LÁ E CÁ DO ATLÂNTICO;B1700156400000;151682
GRU-PDX;B1500253700000;130430
GRUPO CORPO 30 ANOS - UMA FAMÍLIA BRASILEIRA;B0700752900000;040107
GRUPO GALPÃO - 20 ANOS DE ESTRADA;B1800119200000;014532
GUATÓ: UMA REMADA NO TEMPO;B2000361000000;180872
GUERRA DA TAPIOCA;B1700611100000;170456
GUERRA DO PARAGUAI;B0800838600000;023945
GUERRA DOS ROCHA;B0800888500000;060117
GUI E ESTOPA 5ª TEMPORADA;B2000072100000;150541
GUIA POLITICAMENTE INCORRETO DA HISTÓRIA DO BRASIL - A SÉRIE;B1700452000000;150581
GUIA POLITICAMENTE INCORRETO II;B2000362200000;180234
GÊMEAS;B0500363900000;983554
HABI, LA EXTRANJERA;B1301945700000;119110
HABITAT EM AMEAÇA;B2400118100000;220328
HABLA MESMO;B2500521000000;241350
HAMARTIA VENTOS DO DESTINO;B1500451900000;050340
HANS STADEN;B0600561200000;950654
HAPPY HOUR;B1700571300000;090144
HAPPY HOUR;B1700571300000;129149
HARD;B1900536500000;170536
HARMADA;B0300041300000;023514
HEBE - A ESTRELA DO BRASIL;B1900398400000;170017
HEBE AO VIVO;B2300127700000;170011
HELENO;B1201553500000;040264
HELIPA: UM AUTORRETRATO;B2400413000000;170750
HEMINGWAY;B1900180100000;170663
HENFIL;B1700469700000;160031
HENRY KAYATH: O HOMEM E SEU TEMPO;B1500283900000;110396
HERANÇA - A CAVALHADA EM BRUMAL;B1800444800000;150572
HERANÇA DE NARCISA;B2500458300000;220705
HERANÇA DE NARCISA;B2500458300000;250808
HERBERT DE PERTO;B0901035900000;060308
HERMANOTEU NA TERRA DE GODAH;B2100497800000;130455
HERMANOTEU NA TERRA DE GODAH;B2100497800000;150297
HERÓIS DA LIBERDADE;B0700735100000;000412
HERÓIS DO FUTURO;B2400264600000;220316
HIGH SCHOOL MUSICAL - O DESAFIO;B1001136000000;080598
HISTORIAS DE VERÃO;B1402681000000;130312
HISTORIETAS ASSOMBRADAS (PARA CRIANÇAS MALCRIADAS);B1301740700000;120031
HISTORIETAS ASSOMBRADAS - O FILME;B1700339700000;080225
HISTÓRIA DE PRIMEIRA MANO;B1402087300000;040218
HISTÓRIAS DA FOME NO BRASIL;B1800046400000;150356
HISTÓRIAS DE ALICE;B1301956300000;040127
HISTÓRIAS DE AMOR DURAM APENAS 90 MINUTOS (SPLEEN);B0901099200000;070256
HISTÓRIAS DE FANTASMAS VERDADEIROS PARA CRIANÇAS;B2400036300000;187919
HISTÓRIAS DE PEDAL;B2400120200000;220309
HISTÓRIAS DO COLETIVO;B2500166800000;220346
HISTÓRIAS DO OLHAR;B0500276200000;970039
HISTÓRIAS DO RIO NEGRO;B0700676500000;040349
HOJE EU QUERO VOLTAR SOZINHO;B1402094700000;100271
HOJE É DIA DE MÚSICA;B1402204500000;120114
HOLOCAUSTO BRASILEIRO;B1600439500000;140123
HOMEM AO MAR - A CULTURA AÇORIANA NO IMAGINÁRIO BRASILEIRO;B1500286600000;030256
HOMEM COM H;B2400522800000;180876
HOMEM COMUM;B1301899200000;060089
HOMEM COMUM;B1600772200000;060089
HOMEM DO ANO, O;B0300002900000;970452
HOMEM ONÇA;B2000173600000;150226
HOMEM PODE VOAR - A SAGA DE SANTOS DUMONT, O;B0500434100000;011840
HOMEM QUE COPIAVA, O;B0300002700000;993602
HOMENS DE PRETO;B2500231800000;210365
HOMENS DO CAMINHO - ROTAS HISTÓRICAS BRASILEIRAS A CAVALO - 3ª TEMPORADA;B2300427900000;180883
HOMENS DO CAMINHO - ROTAS HISTÓRICAS BRASILEIRAS NA COMPANHIA DO MANGALARGA MARCHADOR;B1900578700000;180270
HOMENS DO CAMINHO - ROTAS HISTÓRICAS BRASILEIRAS NA COMPANHIA DO MANGALARGA MARCHADOR - 2ª TEMPORADA;B2100323600000;180421
HOMENS SEM LEI;B2500074100000;170743
HONESTINO;B2600071300000;240044
HORA DE COMER;B1500168300000;130193
HORA DO RECREIO;B2500469500000;230098
HORTÊNCIA E PAULA;B2600066500000;241243
HOTEL ATLÂNTICO;B0901117100000;023849
HQ - EDIÇÃO ESPECIAL;B1402825000000;130313
HUMBERTO MAURO;B1800474200000;160386
HÁ MUITAS NOITES NA NOITE;B1500351900000;100283
HÉLIO OITICICA;B1402146400000;070421
HÉRCULES 56;B0700644000000;050035
ICAMIABAS NA CIDADE AMAZÔNIA;B1700565800000;160420
ICO BIT ZIP - 1ª TEMPORADA;B1900230300000;180216
IDADES DA MODA;B1500247400000;127087
IDEIAS PARA O MUNDO;B2000162700000;150550
IDENTIDADE COTIDIANA;B1500498600000;110189
ILHA DO TERRÍVEL RAPATERRA, A;B0600494700000;973614
ILHA DOS ESCRAVOS;B1101366100000;039011
ILHA DOS GOLFINHOS;B0500260500000;023984
ILUMINADOS;B0700651400000;030229
IMAGENS DO ESTADO NOVO 1937-45;B1500572300000;030128
IMAGENS DO ESTADO NOVO 1937-45;B1600193300000;030128
IMIGRAÇÃO ITALIANA;B2500037000000;230783
IMPRESSÃO MINHA;B1800350700000;163470
IMPUROS;B1800457400000;170489
IMPUROS;B1900394800000;180770
IMPÉRIO DA BELEZA;B1800088600000;140514
INCERTEZAS CRÍTICAS;B1600131200000;130296
INCERTEZAS CRÍTICAS - 2ª TEMPORADA;B1700149000000;130295
INCOMPATÍVEL;B1900571100000;140294
INDÚSTRIA 4.0;B2200228000000;170226
INESQUECIVEL;B0700680400000;030163
INFÂNCIA;B1402378700000;120089
INSOLAÇÃO;B1001166000000;040332
INSPIRA.MOV BRASIL;B1600348400000;140462
INSPIRA.MOV BRASIL - SEGUNDA TEMPORADA;B1800550500000;150584
INSPIRA.MOV BRASIL - TERCEIRA TEMPORADA;B2100450400000;170554
INSÂNIA;B2100261900000;180242
INSÔNIA;B1302053700000;040301
INTERVALO CLANDESTINO;B0600539200000;050252
INTERVENÇÃO;B1900478400000;180255
INTIMIDADE ENTRE ESTRANHOS;B1800449100000;160611
INTOLERÂNCIA.DOC;B1600685100000;140307
INTRODUÇÃO À MÚSICA DO SANGUE;B1500643000000;130014
INVASOR, O;B0600513700000;000382
INVASORES;B1301798200000;130368
INVASORES;B1402185500000;130368
INVENCÍVEIS;B2500500100000;210372
INVENÇÕES DA ALMA;B1700036300000;150197
IRACEMAS;B2300148100000;150514
IRMA VAP - O RETORNO;B0600477800000;013668
IRMÃ DULCE;B1402406800000;120265
IRMÃO DO JOREL - 3ª TEMPORADA;B1800219700000;160627
IRMÃO DO JOREL - 4ª TEMPORADA;B2100074100000;180236
IRMÃO DO JOREL - 5ª TEMPORADA;B2400353100000;210087
IRMÃO DO JOREL 2ª TEMPORADA - COMPILADO;B1700219500000;150454
IRMÃO DO JOREL- 1ª TEMPORADA;B1402299100000;130199
IRMÃO DO JOREL- 2ª TEMPORADA;B1600599000000;150454
IRMÃOS DE FÉ;B0400121700000;040047
IRMÃS FOX;B2500135100000;150419
ISOLADOS;B1402233800000;120424
JAIR RODRIGUES - DEIXA QUE DIGAM;B2100027200000;150357
JAMBALAIA;B2200266000000;190083
JANELA DA ALMA;B0500301000000;971513
JARDIM DAS FOLHAS SAGRADAS;B1101457300000;040172
JARDIM DOS GIRASSOIS;B2400312800000;17044
JEAN CHARLES;B0901020100000;080002
JEITOSINHA;B1800077200000;120505
JENIPAPO;B0500298800000;940449
JIA ZHANG-KE, UM HOMEM DE FENYANG;B1500575600000;090501
JOAQUIM;B1700092500000;130401
JOAQUIM;B1700092500000;139254
JOGADA DE CHEF;B1800067300000;170368
JOGO DAS DECAPITAÇÕES;B1301938400000;100210
JOGO DE CENA;B0700758700000;060073
JOGO DE CENA;B0700758700000;060198
JOGO DE CENA;B0700758700000;069030
JOGO DE XADREZ;B1402107400000;060037
JOGO SUBTERRÂNEO - UNDERGROUND GAMES;B0400129600000;984987
JOGOS CLANDESTINOS;B1700463300000;110056
JOGOS DO MUNDO;B1600217000000;140521
JONAS;B1600421600000;100524
JORGE MAUTNER - KAOS EM AÇÃO;B1800124000000;160578
JORGINHO GUINLE - SÓ SE VIVE UMA VEZ;B1900092000000;130457
JORNADA DUPLA;B1900547900000;180202
JOSÉ APARECIDO DE OLIVEIRA - O MAIOR MINEIRO DO MUNDO;B1900477300000;140229
JOSÉ E PILAR;B1001318000000;099167
JOSÉ SARNEY UM NOME NA HISTÓRIA;B0900983200000;050319
JOVENS GUERREIROS;B2000484600000;190123
JOVENS POLACAS;B1800279000000;160348
JOÃO - NAS RODAS DA LIBERDADE;B2500040700000;220553
JOÃO DO VOO;B1402782000000;140149
JOÃO E VANDINHA;B1500616000000;110206
JOÃO, O MAESTRO;B1700349800000;110221
JUACAS;B1700261700000;160214
JUACAS - SEGUNDA TEMPORADA;B1900181400000;180030
JUJU BOOT CAMP;B1900431000000;180363
JUJU BOOT CAMP - 2ª TEMPORADA;B2100525200000;190266
JULIA MANN;B0500437900000;973911
JULIE E OS FANTASMAS;B1101509500000;100157
JULIETTI: O CHAMADO DO MONTE RORAIMA;B2500077700000;210122
JULIO SUMIU;B1402115000000;100482
JULIO SUMIU;B1402115000000;139141
JUNGLE PILOT;B1900389500000;140513
JUNTOS E ENROLADOS;B2100532300000;190132
JUSTIÇA;B0400085500000;030206
JUSTIÇA POR ELAS;B2400076700000;220505
JUSTIÇA! UMA HISTÓRIA;B1800401200000;130210
JUVENTUDE;B0800959700000;060207
JUVENTUDE 100 ANOS DE PAPADA;B1800389000000;120538
JUÍZO;B0700670400000;050064
KARAOQUEM;B2500078000000;220195
KARDEC;B1900157600000;130550
KASA BRANCA;B2400039900000;170038
KICK FLIP: A HISTÓRIA DE LUAN OLIVEIRA;B2400135300000;220247
KNOCKDOWN;B1700488300000;150113
KOBRA - AUTO-RETRATO;B2200146200000;180137
KORA MUNDO AFORA;B2400144400000;220360
L.O.C.A.;B2100113200000;160488
LA MAISON DRAG ME AS A QUEEN;B2500272800000;220776
LA MAISON DRAG ME AS A QUEEN - SEGUNDA TEMPORADA;B2600005800000;220776
LA SITUACIÓN;B2300037500000;150198
LA VINGANÇA;B1700077100000;120001
LABORATORIO DA LUTA - TERCEIRA TEMPORADA;B1800352900000;170381
LABORATÓRIO DA LUTA;B1600057400000;140377
LABORATÓRIO DA LUTA - SEGUNDA TEMPORADA;B1700478200000;160429
LADO H;B0901082900000;080261
LAMA DOS DIAS 2ª TEMPORADA;B2400024100000;197556
LAMPZ;B2200171000000;160844
LAN - O CARICATURISTA;B2400287000000;160446
LASCADOS;B1402243500000;130390
LAVOURA ARCAICA;B0500277300000;973946
LB PERSONA;B1301942500000;040104
LEGADO ITALIANO;B2000043200000;160744
LEGALIDADE;B1800491800000;110492
LEGALIZE JÁ - AMIZADE NUNCA MORRE;B1800046600000;090305
LEITE E FERRO;B1001317800000;080033
LENDAS DO MOTOCROSS BRASILEIRO;B2300375800000;190261
LENDAS DO MOTOCROSS BRASILEIRO - 2ª TEMPORADA;B2500363100000;200117
LETÍCIA;B2400123800000;220246
LEVANTE;B2300535000000;190063
LEÕES DE PARAISÓPOLIS;B1700329000000;160626
LIBELU - ABAIXO A DITADURA;B2100072000000;160768
LIBERDADE DE GÊNERO - SEGUNDA TEMPORADA;B1700464600000;160856
LILA;B1700012200000;130538
