TITULO_ORIGINAL;CPB;NUMERO_SALIC
AQUELES DIAS;B2500026700000;210007
ARACATI LONGA-METRAGEM;B1500659200000;120323
ARAÑA;B2100294600000;180139
ARCA DE NOÉ;B2400283000000;170083
ARCO DO DESFLORESTAMENTO;B0700764900000;060391
ARIANO APRESENTA: O AUTO DA BOA MENTIRA;B2000112600000;160397
ARNALDO ANTUNES - AO VIVO LÁ EM CASA;B1101383200000;100065
ARQUEOLOGIA DO POETA;B2200154300000;150211
ARQUIS;B1900261400000;170254
ARQUITETURA DA COR;B1402778600000;120471
ARQUITETURA FANTÁSTICA;B2400163300000;237107
ARTACHO JURADO SINFONIA DE UM ARQUITETO;B2500410700000;220149
ARTE GALÁCTICA - 1A. TEMPORADA;B2400376000000;230950
ARTE.TV;B1402329400000;140113
ARTILHEIROS;B2500321700000;220042
ARTISTAS PLÁSTICOS BRASILEIROS;B1700376400000;140186
ARTUROS, OS;B0400126800000;023972
ARÁBIA;B1700085300000;110424
AS APARÊNCIAS ENGANAM;B2500446200000;150092
AS AVENTURAS DE AGAMENON, O REPÓRTER;B1101519200000;080505
AS AVENTURAS DE FUJIWARA MANCHESTER;B1600142700000;160058
AS AVENTURAS DE MARIGOTA;B1700013200000;150623
AS AVENTURAS DE POLIANA - O FILME;B2300484200000;190214
AS AVENTURAS DO AVIÃO VERMELHO;B1402521900000;040336
AS AVENTURAS DO HOMEM CUECA;B1500758100000;120528
AS AVENTURAS DO MIAU;B1700423300000;170329
AS AVENTURAS DO PEQUENO COLOMBO;B1500572900000;070365
AS AVENTURAS DO PEQUENO COLOMBO;B1900089100000;170270
AS BATIDAS DO SAMBA;B1101510300000;100221
AS BICAMPEÃS;B2400257400000;230161
AS BOAS MANEIRAS;B1700450500000;100560
AS CANTORAS DO RÁDIO;B0900982700000;040055
AS CANÇÕES;B1101520600000;090411
AS CARTAS PSICOGRAFADAS POR CHICO XAVIER;B1001256000000;050262
AS DEZ VANTAGENS DE MORRER DEPOIS DE VOCÊ;B2600035800000;220429
AS DOZE ESTRELAS;B1101385900000;060250
AS GRANDES RIVALIDADES DO MMA;B2000295000000;180866
AS GRANDES RIVALIDADES DO MMA - SEGUNDA TEMPORADA;B2400276300000;220899
AS HISTÓRIAS QUE NÃO TERMINAM;B1800316400000;160096
AS INCRÍVEIS ARTIMANHAS DA NUVEM CIGANA;B1600585300000;120060
AS IRACEMAS;B1101438900000;090147
AS MELHORES COISAS DO MUNDO;B1001172500000;070071
AS MÃES DE CHICO XAVIER;B1101377100000;090458
AS NOVAS AVENTURAS DO KAISER;B2100057000000;160525
