REGISTRO_ANCINE;DATA_REGISTRO;RAZAO_SOCIAL;CNPJ;DATA_CONSTITUICAO;UF;MUNICIPIO;CODIGO_MUNICIPIO_IBGE;CLASSIFICACAO_AGENTE_ECONOMICO;NATUREZA_JURIDICA;BRASILEIRO_INDEPENDENTE
38180;10/11/2017;GARAGEM FILMES LTDA ME;13.784.164/0001-07;06/06/2011;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
49671;30/09/2021;GARAVANO E GOMES LTDA;29.532.464/0001-20;25/01/2018;PR;FOZ DO IGUACU;4108304;Brasileiro independente;Sociedade Empresária Limitada;SIM
50198;24/12/2021;GARD ENTRETENIMENTO LTDA;43.187.340/0001-86;19/08/2021;DF;BRASILIA;5300108;Brasileiro independente;Sociedade Empresária Limitada;SIM
44832;19/12/2019;GARDA DISTRIBUIDORA DE FILMES LTDA;34.433.654/0001-20;05/08/2019;SP;SAO PAULO;3550308;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Sociedade Empresária Limitada;NÃO
61697;16/04/2025;GARIMPEIRO FILMES LTDA;23.197.146/0001-74;02/09/2015;SP;SAO JOSE DO RIO PRETO;3549805;Brasileiro independente;Sociedade Empresária Limitada;SIM
21438;03/05/2012;GARIMPO - PRODUÇÃO AUDIOVISUAL, CULTURAL E COMUNICAÇÃO LTDA;09.257.828/0001-02;06/11/2007;PE;RECIFE;2611606;Brasileiro independente;Sociedade Empresária Limitada;SIM
55647;17/10/2023;GARIMPO DE SOLUÇÕES CONSULTORIA EMPRESARIAL LTDA.;05.860.166/0001-00;19/08/2003;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
39340;10/04/2018;GAROTA SANGUE BOM PRODUCOES ARTISTICAS E EDICOES MUSICAIS EIRELI;05.306.299/0001-20;23/07/2002;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SIM
62243;03/06/2025;GAROWA CRIATIVA LTDA;51.452.054/0001-29;18/07/2023;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
63956;19/12/2025;GAROWA PLURAL LTDA;62.172.681/0001-22;11/08/2025;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
62993;26/08/2025;GARRETA ART PRODUCOES ARTISTICAS LTDA;17.018.074/0001-58;17/10/2012;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Empresária Limitada;SIM
22514;03/10/2012;GARRIDO & MENDANA - PRODUCOES LTDA - ME;09.629.749/0001-77;21/05/2008;SP;SANTOS;3548500;Brasileiro independente;Sociedade Empresária Limitada;SIM
64122;26/01/2026;GAS OLIVA STUDIO PRO LTDA;64.073.555/0001-46;15/12/2025;CE;FORTALEZA;2304400;Brasileiro independente;Sociedade Empresária Limitada;SIM
49097;26/07/2021;GASA FILMES LTDA;42.419.667/0001-73;10/06/2021;MG;NOVA LIMA;3144805;Brasileiro independente;Sociedade Empresária Limitada;SIM
22171;13/08/2012;GASPACHIO FILMES - PRODUÇÕES LTDA.-ME.;01.587.687/0001-76;13/12/1996;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
