NUMERO_SALIC;TITULO_PROJETO;DATA_PUB_APROVACAO_PROJETO;DATA_PRIMEIRA_LIBERACAO;SITUACAO_ATUAL;MECANISMO;CAPTADO_ART1;CAPTADO_ART1A;CAPTADO_ART3;CAPTADO_ART3A;CAPTADO_ART18;CAPTADO_ART25;CAPTADO_ART39;CAPTADO_FUNCINES;CAPTADO_EDITAL_ANCINE;CAPTADO_PAR;CAPTADO_PAQ;CAPTADO_OUTROS_EDITAIS;CAPTADO_LEI_ESTADUAL;CAPTADO_LEI_MUNICIPAL;CAPTADO_OUTRAS_FONTES;CAPTADO_CONTRAPARTIDA;CAPTADO_CONVERSAO;TOTAL_CAPTADO;PROPONENTE;CNPJ_PROPONENTE;MUNICIPIO_PROPONENTE;UF_PROPONENTE
23-0792;Dos 13 aos 17;26/09/2023;14/01/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 1.153.772,00;R$ 254.528,97;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.408.300,97;KINOSCÓPIO CINEMATOGRÁFICA E COMÉRCIO LTDA - EPP;02.395.043/0001-49;SAO PAULO;SP
23-0804;CONTOS MISTERIOSOS DE KETCHUP JACK;26/09/2023;21/01/2026;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 1.425.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.425.000,00;SPIRIT ENTRETENIMENTO LTDA;08.378.645/0001-74;CURITIBA;PR
23-0806;CONY;26/09/2023;;102    - CEA Projeto em captação;Fomento Indireto;R$ 0,00;R$ 13.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 13.000,00;TV IMAGINÁRIA PRODUÇÕES LTDA;02.367.665/0001-63;RIO DE JANEIRO;RJ
23-0808;Vítimas do Terror;26/09/2023;02/06/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 1.259.755,99;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.259.755,99;SWU BRASIL;30.587.574/0001-79;SAO PAULO;SP
23-0816;Quinze Dias;26/09/2023;16/08/2024;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 2.800.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.800.000,00;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;09.180.984/0001-04;RIO DE JANEIRO;RJ
23-0818;FESTA DO PEÃO DE BARRETOS;26/09/2023;05/02/2025;P01    - Encerrado Prazo de Captação - Encaminhado à CPC;Fomento Indireto;R$ 0,00;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 100.000,00;NEW CINE & TV LTDA;14.779.327/0001-18;RIO DE JANEIRO;RJ
23-0829;Sobre essa Pele;26/09/2023;09/02/2024;P01    - Encerrado Prazo de Captação - Encaminhado à CPC;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 400.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.788.711,63;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.188.711,63;VIRALATA PRODUCOES LTDA;11.721.296/0001-56;RIO DE JANEIRO;RJ
23-0831;A LADEIRA DA MEMÓRIA;03/10/2023;;102    - CEA Projeto em captação;Fomento Indireto;R$ 0,00;R$ 400.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 400.000,00;LAVRA EDITORA E PRODUCOES CINEMATOGRAFICAS EIRELI;31.608.781/0001-25;SAO PAULO;SP
23-0832;Sem Tempo de Fracassar;26/09/2023;;105    - CEA Projeto cancelado;Fomento Indireto;R$ 0,00;R$ 80.500,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 80.500,00;GRATTITUDE FILMS PRODUCTIONS LTDA;30.693.863/0001-52;RIBEIRAO PRETO;SP
23-0833;Na Barraca;26/09/2023;22/07/2024;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 667.405,04;R$ 2.332.594,96;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.000.000,00;INFFINITO ENTRETENIMENTO E COMUNICAÇÕES LTDA;13.188.290/0001-90;RIO DE JANEIRO;RJ
23-0834;Alta Estima - 2ª Temporada;25/09/2023;22/07/2024;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.976.478,65;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.976.478,65;INFFINITO ENTRETENIMENTO E COMUNICAÇÕES LTDA;13.188.290/0001-90;RIO DE JANEIRO;RJ
23-0838;SOM E SILENCIO;03/10/2023;;102    - CEA Projeto em captação;Fomento Indireto;R$ 0,00;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 100.000,00;TVI TELEVISÃO E CINEMA LTDA - EPP;81.321.978/0001-57;SAO PAULO;SP
