NUMERO_SALIC;TITULO_PROJETO;DATA_PUB_APROVACAO_PROJETO;DATA_PRIMEIRA_LIBERACAO;SITUACAO_ATUAL;MECANISMO;CAPTADO_ART1;CAPTADO_ART1A;CAPTADO_ART3;CAPTADO_ART3A;CAPTADO_ART18;CAPTADO_ART25;CAPTADO_ART39;CAPTADO_FUNCINES;CAPTADO_EDITAL_ANCINE;CAPTADO_PAR;CAPTADO_PAQ;CAPTADO_OUTROS_EDITAIS;CAPTADO_LEI_ESTADUAL;CAPTADO_LEI_MUNICIPAL;CAPTADO_OUTRAS_FONTES;CAPTADO_CONTRAPARTIDA;CAPTADO_CONVERSAO;TOTAL_CAPTADO;PROPONENTE;CNPJ_PROPONENTE;MUNICIPIO_PROPONENTE;UF_PROPONENTE
04-0268;RETRATOS CONTEMPORÂNEOS DE ARTE (EX- RETRATOS DE ARTISTAS BRASILEIROS);24/12/2004;19/03/2008;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 845.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 360.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.205.000,00;MATIZAR PRODUÇÕES ARTÍSTICAS LTDA;04.939.205/0001-98;RIO DE JANEIRO;RJ
04-0272;5º FESTIVAL DE CINEMA BRASILEIRO EM ISRAEL;07/01/2005;29/07/2005;P66    - PC FINAL - Aprovada com ressalvas - concluída;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 150.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 150.000,00;ASSOCIAÇÃO KULTURA TARBUT;06.270.850/0001-96;RIO DE JANEIRO;RJ
04-0275;FILHAS DO VENTO - COMERCIALIZAÇÃO;21/12/2004;20/05/2005;P67    - PC FINAL - Reprovada - Concluída;Fomento Indireto;R$ 50.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 160.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 210.000,00;ASACINE PRODUCOES LTDA;37.981.206/0001-50;BRASILIA;DF
04-0276;DARCY RIBEIRO - O GUERREIRO SONHADOR;17/12/2004;15/09/2006;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 350.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 350.000,00;FBL E ASSOCIADOS, COMUNICAÇÕES LTDA;73.364.879/0001-24;RIO DE JANEIRO;RJ
04-0277;MEU PÉ DE LARANJA LIMA;21/12/2004;30/11/2010;U00    - RPC - PC FINAL - RECEBIDO NA CPC;Fomento Indireto;R$ 850.000,00;R$ 1.259.145,25;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 337.500,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.446.645,25;PASSARO FILMS DO BRASIL AUDIOVISUAIS LTDA;06.140.668/0001-10;RIO DE JANEIRO;RJ
04-0279;VALSA PARA BRUNO STEIN;10/03/2005;15/12/2006;P09    - PC FINAL - REVISÃO DE FLUXO;Fomento Indireto;R$ 0,00;R$ 1.618.559,40;R$ 0,00;R$ 0,00;R$ 0,00;R$ 480.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.098.559,40;ACCORDE FILMES LTDA.;05.270.790/0001-49;PORTO ALEGRE;RS
04-0280;PONTO FINAL;24/11/2004;16/07/2009;U06    - RPC - PC FINAL - DILIGÊNCIA RPC - 20 DIAS;Fomento Indireto;R$ 860.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 58.400,00;R$ 0,00;R$ 918.400,00;MT FILMES LTDA;73.553.679/0001-10;RIO DE JANEIRO;RJ
04-0288;Tainá - A Origem (Ex - Tainá 3 - Na Selva da Cidade);25/11/2004;19/06/2009;U00    - RPC - PC FINAL - RECEBIDO NA CPC;Fomento Indireto;R$ 3.000.000,00;R$ 1.570.000,00;R$ 417.137,63;R$ 0,00;R$ 0,00;R$ 80.000,00;R$ 0,00;R$ 0,00;R$ 650.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 62.219,19;R$ 0,00;R$ 5.779.356,82;SINCROCINE PRODUÇÕES CINEMATOGRÁFICAS LTDA;42.488.478/0001-52;RIO DE JANEIRO;RJ
04-0290;A VIA LÁCTEA;29/11/2004;21/09/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 550.000,00;R$ 200.000,00;R$ 44.201,55;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 794.201,55;GIRAFA FILMES LTDA;07.490.019/0001-02;SAO PAULO;SP
04-0293;O CINEMA BRASILEIRO NO SÉCULO XX - O FILME;29/03/2005;09/01/2007;P09    - PC FINAL - REVISÃO DE FLUXO;Fomento Indireto;R$ 400.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 400.000,00;CF FILMES LTDA;03.257.178/0001-00;RIO DE JANEIRO;RJ
04-0294;Encantados (Ex - Ilha de Marajó: A Revolta da Ave Caruana);23/12/2004;08/04/2008;P77    - Tomada de Contas Especial Instaurada;Fomento Indireto;R$ 3.000.000,00;R$ 2.214.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 150.000,00;R$ 0,00;R$ 0,00;R$ 34.087,77;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 5.398.087,77;SCENA FILMES LTDA;00.193.157/0001-80;RIO DE JANEIRO;RJ
04-0295;Pixote In Memoriam          Ex. Pixote: 20 Anos Depois;14/01/2005;23/06/2006;P67    - PC FINAL - Reprovada - Concluída;Fomento Indireto;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 100.000,00;BIG BONSAI BRASILIS PRODUÇÕES ARTÍSTICAS CULTURAIS E CINEMATOGRÁFICAS LTDA;06.323.379/0001-57;SAO PAULO;SP
04-0296;SUBSOLO UNDERGROUND;28/12/2004;23/05/2005;P90    - PC FINAL - Recurso Recebido;Fomento Indireto;R$ 20.500,00;R$ 0,00;R$ 125.694,55;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 146.194,55;TERRANOVA FILMES LTDA-ME;01.163.107/0001-13;SAO PAULO;SP
04-0299;PIXCODELICS - ABRACADABRA E A ARMADILHA;16/12/2004;25/02/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 278.467,62;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 278.467,62;MOP DIGITAL LTDA.;05.193.472/0001-21;SAO PAULO;SP
04-0301;INSÔNIA;23/02/2005;25/09/2008;P81    - AFC - PC FINAL - COMUNICADO  RDC;Fomento Indireto;R$ 125.250,00;R$ 87.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.100.000,00;R$ 0,00;R$ 174.949,24;R$ 0,00;R$ 0,00;R$ 1.587.199,24;PANDA FILMES LTDA;04.980.287/0001-14;PORTO ALEGRE;RS
04-0303;ESTRADA REAL DA CACHAÇA;06/12/2004;02/02/2005;P77    - Tomada de Contas Especial Instaurada;Fomento Indireto;R$ 784.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 784.000,00;GNCTV - PRODUCOES DE CINEMA E TV LTDA;16.592.099/0001-06;RIO DE JANEIRO;RJ
04-0306;É PROIBIDO FUMAR (A GUERRA DE TODOS NÓS);29/11/2004;25/07/2006;U26    - RPC - PC FINAL - Aprovada com ressalvas CONCLUÍDA;Fomento Indireto;R$ 772.000,00;R$ 480.000,00;R$ 399.999,97;R$ 0,00;R$ 0,00;R$ 320.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.971.999,97;ÁFRICA FILMES LTDA;64.047.665/0001-33;SAO PAULO;SP
04-0309;Focus  (Ex DNA);23/12/2004;02/02/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 603.401,05;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 603.401,05;NSET CRIAÇÕES E PRODUÇÕES DE VÍDEOS E FILMES LTDA;06.127.907/0001-00;SAO PAULO;SP
04-0314;CASA DE PEDRA;07/12/2004;02/02/2005;P66    - PC FINAL - Aprovada com ressalvas - concluída;Fomento Indireto;R$ 320.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 320.000,00;TV ZERO PRODUÇÕES AUDIOVISUAIS LTDA;31.337.942/0001-93;RIO DE JANEIRO;RJ
04-0317;9º FESTIVAL DE CINEMA DE MIAMI - 3º FESTIVAL DE CINEMA BRASILEIRO DE NY;22/12/2004;30/05/2005;P66    - PC FINAL - Aprovada com ressalvas - concluída;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 900.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 900.000,00;INFFINITO NUCLEO DE ARTE E CULTURA;02.723.125/0001-75;RIO DE JANEIRO;RJ
04-0321;FIM DAS ÁGUAS;16/12/2004;;105    - CEA Projeto cancelado;Fomento Indireto;R$ 200.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 200.000,00;ZAZEN PRODUÇÕES AUDIOVISUAIS LTDA.;01.803.185/0001-35;RIO DE JANEIRO;RJ
04-0322;Até Que a Sbórnia nos Separe (Ex - Fuga em Ré Menor Para Kraunus E Pletskaya);21/02/2005;05/02/2007;U55    - RPC - PC FINAL - RPC EMITIDO;Fomento Indireto;R$ 1.283.080,00;R$ 1.000.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 850.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.133.080,00;OTTO DESENHOS ANIMADOS LTDA;87.435.368/0001-60;PORTO ALEGRE;RS
04-0324;FORDLÂNDIA (I);16/12/2004;02/02/2005;P67    - PC FINAL - Reprovada - Concluída;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 671.295,80;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 671.295,80;GRIFA PRODUÇÕES CINEMATOGRÁFICAS, AUDIOVISUAIS E ARTÍSTICAS LTDA.;01.486.085/0001-22;SAO PAULO;SP
04-0325;Mata Atlântica e os Ciclos da Vida (Ex - Histórias da Mata Atlâncitca O Macuco);22/12/2004;24/10/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 700.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 700.000,00;GRIFA PRODUÇÕES CINEMATOGRÁFICAS, AUDIOVISUAIS E ARTÍSTICAS LTDA.;01.486.085/0001-22;SAO PAULO;SP
04-0326;TUBARÃO LIMÃO (I);22/12/2004;09/08/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 350.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 350.000,00;GRIFA PRODUÇÕES CINEMATOGRÁFICAS, AUDIOVISUAIS E ARTÍSTICAS LTDA.;01.486.085/0001-22;SAO PAULO;SP
04-0327;O BRASIL DA PRÉ-HISTÓRIA (I);22/12/2004;22/02/2005;U03    - RPC - PC FINAL - DOC. RECEBIDO AGUARDA ANÁLISE;Fomento Indireto;R$ 30.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.250.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.280.000,00;GRIFA PRODUÇÕES CINEMATOGRÁFICAS, AUDIOVISUAIS E ARTÍSTICAS LTDA.;01.486.085/0001-22;SAO PAULO;SP
04-0332;INSOLAÇÃO;24/12/2004;03/04/2008;U03    - RPC - PC FINAL - DOC. RECEBIDO AGUARDA ANÁLISE;Fomento Indireto;R$ 1.500.595,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.500.595,00;CISMA PRODUÇÕES CINEMATOGRÁFICAS, EVENTOS E TEATRO LTDA;05.919.250/0001-43;SAO PAULO;SP
04-0336;AS AVENTURAS DO AVIÃO VERMELHO;31/03/2005;16/12/2008;P01    - Encerrado Prazo de Captação - Encaminhado à CPC;Fomento Indireto;R$ 920.160,00;R$ 737.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.500,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.660.660,00;CAMILA GONZATTO & FREDERICO PINTO LTDA - ME;04.909.742/0001-95;PORTO ALEGRE;RS
04-0337;DEMOCRACIA ARMADA;19/01/2005;05/05/2011;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 150.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 40.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 190.000,00;RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.;44.154.342/0001-31;SAO PAULO;SP
04-0340;DORES & AMORES (EX DORES, AMORES & ASSEMELHADOS);22/03/2005;11/03/2008;P90    - PC FINAL - Recurso Recebido;Fomento Indireto;R$ 300.000,00;R$ 1.040.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.340.000,00;VEREDAS COMUNICAÇÃO E ARTE LTDA.;00.605.488/0001-80;SAO PAULO;SP
04-0349;HISTORIAS DO RIO NEGRO;24/12/2004;14/03/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 899.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 899.000,00;INK PARTICIPACOES E INVESTIMENTOS LTDA;68.153.956/0001-67;SAO PAULO;SP
04-0350;CINCO FRAÇOES DE UMA QUASE HISTORIA;21/12/2004;15/06/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 1.450.553,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.450.553,00;CAMISA LISTRADA LTDA;03.987.306/0001-71;RIO DE JANEIRO;RJ
04-0352;Porto Alegre Meu Canto no Mundo (ex - Porto Alegre 230 anos);09/03/2005;30/01/2006;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 464.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 464.000,00;IN FOCO FILMES E ENTRETENIMENTO LTDA;94.355.484/0001-35;PORTO ALEGRE;RS
04-0353;O DIA EM QUE O BRASIL ESTEVE AQUI;23/03/2005;15/12/2006;P90    - PC FINAL - Recurso Recebido;Fomento Indireto;R$ 440.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 190.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 630.000,00;PRODIGO FILMS LTDA;00.020.648/0001-20;SAO PAULO;SP
04-0359;O FIM DO SEM FIM - COMERCIALIZAÇÃO;18/02/2005;29/04/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 60.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 60.000,00;BANANEIRA FILMES LTDA.;02.140.120/0001-10;RIO DE JANEIRO;RJ
04-0360;DO COMEÇO AO FIM;28/02/2005;05/03/2009;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 768.405,00;R$ 40.000,00;R$ 125.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 127.438,25;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 308.000,00;R$ 231.112,81;R$ 0,00;R$ 1.599.956,06;HARE FILMES PRODUCOES LTDA - ME;03.838.776/0001-73;RIO DE JANEIRO;RJ
04-0361;DVD GAIJIN - CAMINHOS DA LIBERDADE;23/02/2005;29/09/2005;U04    - RPC - PC FINAL - COLETA DE DADOS EM CONFERÊNCIA;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 586.835,22;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 586.835,22;SCENA FILMES LTDA;00.193.157/0001-80;RIO DE JANEIRO;RJ
05-0003;FLORESTA AMAZÔNICA;25/02/2005;;105    - CEA Projeto cancelado;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 150.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 150.000,00;CASA DE CINEMA PRODUÇÕES LTDA;46.005.344/0001-94;GUARATINGUETA;SP
05-0006;MADE IN BRAZIL 2 - CARTUM NETIUORQUI;15/04/2005;15/06/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 606.680,18;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 606.680,18;DANIEL MESSIAS CINEMA DE ANIMAÇÃO LTDA;44.482.412/0001-80;SAO PAULO;SP
05-0008;CHIQUINHA GONZAGA - O FILME;13/10/2005;;105    - CEA Projeto cancelado;Fomento Indireto;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 100.000,00;JORGE ROBERTO BODANZKY;31.513.492/0001-42;SAO PAULO;SP
05-0009;BUDAPESTE;28/03/2005;30/08/2007;P09    - PC FINAL - REVISÃO DE FLUXO;Fomento Indireto;R$ 825.000,00;R$ 300.000,00;R$ 800.000,00;R$ 0,00;R$ 0,00;R$ 500.000,00;R$ 0,00;R$ 0,00;R$ 324.098,66;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 233.512,67;R$ 0,00;R$ 0,00;R$ 2.982.611,33;NEXUS CINEMA E VÍDEO LTDA;53.976.478/0001-18;SAO PAULO;SP
05-0026;ENQUANTO VOCÊ NÃO VEM 2005;14/06/2005;27/07/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 583.657,82;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 583.657,82;REX PRODUÇÕES AUDIOVISUAIS LTDA. EPP.;05.019.556/0001-43;SAO PAULO;SP
05-0028;OSWALDO ARANHA - O VOTO E A REVOLUÇÃO;31/01/2006;22/11/2006;P77    - Tomada de Contas Especial Instaurada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 200.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 200.000,00;JULIO CESAR WOHLGEMUTH;PESSOA FÍSICA;PORTO ALEGRE;RS
05-0031;FESTIVAL INTERNACIONAL DE FILMES SOBRE DEFICIÊNCIA;05/04/2005;;P66    - PC FINAL - Aprovada com ressalvas - concluída;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 230.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 230.000,00;LAVORO PRODUÇÕES ARTÍSTICAS LTDA.;04.486.752/0001-65;RIO DE JANEIRO;RJ
05-0032;TANCREDO NEVES - MENSAGEIRO DA LIBERDADE;15/03/2005;14/04/2005;P66    - PC FINAL - Aprovada com ressalvas - concluída;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 450.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 450.000,00;FBL E ASSOCIADOS, COMUNICAÇÕES LTDA;73.364.879/0001-24;RIO DE JANEIRO;RJ
05-0035;HÉRCULES 56     (EX - HERCULES 2456);10/05/2005;24/10/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 812.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 812.000,00;AMADO ARTE & PRODUÇÃO LTDA;02.229.260/0001-69;RIO DE JANEIRO;RJ
05-0042;CHICO BUARQUE ESPECIAL;18/03/2005;08/04/2005;P78    - Tomada de Contas Especial Arquivada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.780.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.780.000,00;RWR COMUNICAÇÕES LTDA.;03.948.703/0001-34;SANTANA DE PARNAIBA;SP
05-0043;ESTRADA REAL;22/07/2005;17/08/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 46.439,57;R$ 0,00;R$ 300.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 346.439,57;QUARTETO FILMES PRODUCOES LTDA;04.547.429/0001-54;BELO HORIZONTE;MG
05-0053;13 MINUTOS;02/06/2005;12/12/2005;P66    - PC FINAL - Aprovada com ressalvas - concluída;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 60.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 60.000,00;BIG BONSAI BRASILIS PRODUÇÕES ARTÍSTICAS CULTURAIS E CINEMATOGRÁFICAS LTDA;06.323.379/0001-57;SAO PAULO;SP
