Programa de Apoio a Participação de Filmes Brasileiros em Festivais Internacionais - 2010 a 2019;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano do Apoio;Festival;País do Festival;Mês;Filme ;Mostra;Direção;Produtora Brasileira Majoritária *;UF;Metragem;CPB;"Confecção
cópia";"Envio
da cópia";"Apoio
Financeiro"
2010;Festival de Cinema de Cracóvia;Polônia;Maio/Junho;"""O Divino, De Repente""";Competição internacional;Fábio Jun Yamaji;Rocambole Produções;SP;Curta;B1001145900000; ;X;
2010;Festival de Cinema de Tampere;Finlândia;Março;"""O Divino, De Repente""";Competição Internacional Principal;Fábio Jun Yamaji;Rocambole Produções;SP;Curta;B1001145900000;X;X;X
2010;Festival Internacional de Filmes de Curta-metragem de Drama;Grécia;Setembro;"""O Divino, De Repente""";Competition program;Fábio Jun Yamaji;Rocambole Produções;SP;Curta;B1001145900000; ;X;
2010;Festival du Cinéma Brésilien de Paris;França;Maio;"""Beyond Ipanema""";Mostra documentario;Augusto Barra Amaral; - ; - ;Longa; -; ; ;X
2010;Festival Internacional de Documentários e Animação de Leipzig - DOK Leipzig;Alemanha;Outubro;"""Terra Deu, Terra Come""";International Young Documentary Talent Competition;Rodrigo Siqueira;7 Estrelo Filmes/Tango Zulu Filmes;SP;Longa;B1001298600000;X;X;
2010;Festival Internacional de Cinema de Punta del Este;Uruguai;Março;"""Cabeça a Prêmio""";Competição Oficial Ibero-americano;Marco Ricca;Academia de Filmes/Ricca Produções;SP;Longa;B1001260400000;X;X;
2010;Festival Internacional de Cinema de Taormina;Itália;Junho;"""É Proibido Fumar""";Oltre il Mediterraneo;Anna Muylaert;África Filmes/Dezenove Som e Imagens;SP;Longa;B0901108700000;X;X;
2010;Festival Internacional de Cinema Latino de Los Angeles;Estados Unidos;Agosto;"""É Proibido Fumar""";Competição internacional;Anna Muylaert;África Filmes/Dezenove Som e Imagens;SP;Longa;B0901108700000; ; ;X
2010;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""Os Inquilinos""";Competição Longas-Metragens;Sérgio Bianchi;Agravo Produções Cinematográficas;SP;Longa;B0901090500000; ; ;X
2010;Festival Internacional de Cinema de Taormina;Itália;Junho;"""Os Inquilinos""";Brasile!;Sérgio Bianchi;Agravo Produções Cinematográficas;SP;Longa;B0901090500000;X;X;
2010;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro/Fevereiro;"""A Falta que me Faz""";Spectrum;Marília Rocha;Anavilhana;MG;Longa;B1001302600000;X; ;
2010;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Novembro;"""A Falta que me Faz""";Competencia Internacional de Largometraje Documental;Marília Rocha;Anavilhana;MG;Longa;B1001302600000;X;X;
2010;Festival du Cinéma Brésilien de Paris;França;Maio;"""Olhos Azuis""";Mostra ficçao em competiçao;Paulo Trejes;Arte Lux Produções;PR;Longa;B0901036700000; ; ;X
2010;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Fucking Different SP""";Panorama;Rodrigo Diaz Diaz/Ricky Mastro/Luciana Lemos/Gustavo Vinagre/Mônica Palazzo/Joana Galvão/Max Julien/Herman Barck/René Guerra/Daniel Favaretto/Silvia Lourenço;Associação Cultural MIX Brasil;SP;Longa; -; ; ;X
2010;Festival Internacional de Cinema do Uruguai;Uruguai;Março/Abril;"""Utopia e Barbárie""";Competecia Largometrajes documentales;Silvio Tendler;Caliban Produções Cinematográficas;RJ;Longa;B1001187000000;X; ;X
2010;Encontros de Cinema da América Latina de Toulouse;França;Março/Abril;"""Quebradeiras""";Competição de Documentários;Evaldo Mocarzel;Casa Azul Produções;SP;Longa;B1001224800000;X;X;X
2010;Festival de Cinema e Cultura da América Latina de Biarritz;França;Setembro/Outubro;"""Sonhos Roubados""";Competição Principal;Sandra Werneck;Cineluz Produções;RJ;Longa;B1001160300000;X;X;X
2010;Festival Internacional de Cinema de Taormina;Itália;Junho;"""Sonhos Roubados""";Brasile!;Sandra Werneck;Cineluz Produções;RJ;Longa;B1001160300000;X;X;
2010;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Sonhos Roubados""";Competição de Longa-metragem de ficção;Sandra Werneck;Cineluz Produções;RJ;Longa;B1001160300000;X;X;X
2010;Festival Internacional de Cinema de Guadalajara;México;Março;"""Terras""";Competição Oficial Longa-metragens de documentário iberoamericanos;Maya Da-Rin;Cineluz Produções;RJ;Longa;B1001162900000;X;X;X
2010;Festival Internacional de Cinema de San Francisco;Estados Unidos;Abril/Maio;"""Simonal, Ninguém Sabe o Duro que Dei""";Golden Gate Award for Documentary Feature;Calvito Leal/Cláudio Manoel/Micael Langer;Claudio Manoel; -;Longa;B0901010000000;X;X;X
2010;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Novembro;"""Juruna, o Espírito da Floresta""";Competencia Internacional de Largometraje Documental;Armando Sampaio Lacerda;Comunicação Direta;DF;Longa;B0901061800000;X; ;X
2010;Festival Internacional de Cinema do Uruguai;Uruguai;Março/Abril;"""Quanto Dura o Amor?""";Competecia Largometrajes de ficción;Roberto Moreira;Coração da Selva;SP;Longa;B0901071800000;X;X;X
2010;Festival de Cinema de Bogotá;Colômbia;Setembro/Outubro;"""Não Se Pode Viver Sem Amor""";Cine Competencia;Jorge Durán;Deserto Filmes;RJ;Longa;B1001205400000; ;X;
2010;Festival Internacional de Cinema de Guadalajara;México;Março;"""Não Se Pode Viver Sem Amor""";Competição Oficial Longa-metragens de ficção iberoamericanos;Jorge Durán;Deserto Filmes;RJ;Longa;B1001205400000;X; ;X
2010;BAFICI - Festival Internacional de Cinema de Buenos Aires;Argentina;Abril;"""Os Famosos e os Duendes da Morte""";Competição Oficial Internacional;Esmir Filho;Dezenove Som e Imagens;SP;Longa;B1001143200000; ; ;X
2010;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Os Famosos e os Duendes da Morte""";Generation 14Plus;Esmir Filho;Dezenove Som e Imagens;SP;Longa;B1001143200000;X;X;X
2010;Festival de Cannes;França;Maio;"""A Alegria""";Quinzena dos Realizadores;Felipe Bragança/Marina Meliande;Duas Mariola Filmes;RJ;Longa;B1101441600000;X; ;X
2010;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""A Alegria""";Competição Longas-Metragens;Felipe Bragança/Marina Meliande;Duas Mariola Filmes;RJ;Longa;B1101441600000; ; ;X
2010;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Como Esquecer""";Competição de Longa-metragem de ficção;Malu de Martino;EH! Filmes;RJ;Longa;B1001214400000;X;X;X
2010;FID - Festival Internacional de Documentários de Marselha;França;Julho;"""Chantal Akerman, de Cá""";International Competition;Gustavo Beck/Leonardo Luiz Ferreira;Enquadramento Produções;SP;Longa;B1001293100000;X;X;X
2010;Festival Internacional de Cinema Latino de Los Angeles;Estados Unidos;Agosto;"""Lula, o Filho do Brasil""";Competição internacional;Fábio Barreto;Filmes do Equador;RJ;Longa;B0901107200000;X;X;X
