Programa de Apoio a Participação de Filmes Brasileiros em Festivais Internacionais - 2010 a 2019;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano do Apoio;Festival;País do Festival;Mês;Filme ;Mostra;Direção;Produtora Brasileira Majoritária *;UF;Metragem;CPB;"Confecção
cópia";"Envio
da cópia";"Apoio
Financeiro"
2014;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""À Queima Roupa""";Competição de Documentários;Theresa Jessouroun;Urca Filmes;RJ;Longa;B1402145600000;;X;
2014;Festival de Cinema de Bogotá;Colômbia;Outubro;"""O Prólogo""";Competição Documental Social;Gabriel Filgueira Marinho;Villa-Lobos Produções;DF;Longa;B1301941000000;X;;X
2014;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""O Prólogo""";Latinoamerica em Perspectiva - Cinemateca Latinoamericana;Gabriel Filgueira Marinho;Villa-Lobos Produções;DF;Longa;B1301941000000;;X;
2014;Festival de Cinema de Huesca;Espanha;Junho;"""Gotas de Fumaça""";Concurso Iberoamericano de curta-metragens;Ane Siderman;Accorde Filmes;RS;Média;B1402256800000;;;X
2014;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Corbiniano""";Latinoamerica em Perspectiva - Arte y tradición;Cezar Augusto Monteiro Maia;Ateliê Produções;PE;Média;B1500877000000;;X;
2014;Festival de Cinema de Huesca;Espanha;Junho;"""Linda, Uma História Horrível""";Concurso Iberoamericano de curta-metragens;Bruno Gularte Barreto;Besouro Filmes;RS;Média;B1402073800000;;;X
2014;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Setembro;"""Linda, Uma História Horrível""";Competição Latinoamericana de Curta-metragens;Bruno Gularte Barreto;Besouro Filmes;RS;Média;B1402073800000;;;X
2014;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Setembro;"""Ao Lado""";Competição Latinoamericana de Curta-metragens;Julio Costantini;Buendía Filmes;RJ;Média;B1500660800000;X;X;X
2014;Chicago Children - Festival de Cinema Infantil de Chicago;Estados Unidos;Outubro;"""Marina não vai à praia""";Seleção Oficial;Cássio Pereira dos Santos;Cassio Pereira dos Santos;MG;Média;B1402856100000;;;X
2014;Encontros de Cinema da América Latina de Toulouse;França;Março;"""Fernando que ganhou um pássaro do mar""";Competição de Curtas;Felipe Bragança/Helvécio Marins Jr.;Duas Mariola Filmes ;RJ;Média;B1402280000000;;;X
2014;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Fernando que ganhou um pássaro do mar""";Forum Expanded ;Felipe Bragança/Helvécio Marins Jr.;Duas Mariola Filmes ;RJ;Média;B1402280000000;X;;X
2014;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Permanências""";Competição Ópera Prima;Ricardo Alves Junior;Entre Filmes;MG;Média;B1402285400000;X;X;X
2014;Festival Internacional de Cinema de Miami;Estados Unidos;Março;"""Graça""";Papi Shorts Competition;Anna Clara Peltier;Eterna Filmes;RJ;Média;B1402105100000;X;X;X
2014;Chicago Children - Festival de Cinema Infantil de Chicago;Estados Unidos;Outubro;"""UbatubaSat Uma Jornada de Conhecimento""";Seleção Oficial;Daniela Gross;Explore Mídia;SP;Média;B1402086900000;;X;X
2014;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""O Balãozinho Azul""";Competição Curta-Metragem de ficção;Fáuston da Silva;Fauston Pereira da Silva;DF;Média;B1402094400000;;;X
2014;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""Geru""";Competição Curtas-Metragens;Fábio Baldo;Filmes da Gruta;SP;Média;B1402244200000;;;X
2014;Zinebi - Festival Internacional de Documentários e Filmes de Curta-metragem de Bilbao;Espanha;Novembro;"""Geru""";Seção Oficial - Concurso Internacional;Fábio Baldo;Filmes da Gruta;SP;Média;B1402244200000;X;X;X
2014;Festival de Cinema de Cartagena;Colômbia;Março;"""Pouco Mais de Um Mês""";Competição oficial de curta-metragem;André Novais Oliveira;Filmes de Plástico;MG;Média;B1402228200000;;X;X
2014;IndieLisboa - Festival Internacional de Cinema Independente;Portugal;Abril;"""Pouco Mais de Um Mês""";Competição Internacional - Curtas-metragens;André Novais Oliveira;Filmes de Plástico;MG;Média;B1402228200000;;;X
2014;Curtas Vila do Conde;Portugal;Julho;"""Eu não digo adeus, digo até logo""";Competição Curtinhas;Giuliana Monteiro Pinheiro;Giuliana Monteiro Pinheiro;SP;Média;B1402219700000;;;X
2014;Festival de Cinema de Huesca;Espanha;Junho;"""Eu não digo adeus, digo até logo""";Concurso Iberoamericano de curta-metragens;Giuliana Monteiro Pinheiro;Giuliana Monteiro Pinheiro;SP;Média;B1402219700000;;;X
2014;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Eu não digo adeus, digo até logo""";Generation Kplus kurzfilm;Giuliana Monteiro Pinheiro;Giuliana Monteiro Pinheiro;SP;Média;B1402219700000;X;;X
2014;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Setembro;"""Eu não digo adeus, digo até logo""";Competição Latinoamericana de Curta-metragens;Giuliana Monteiro Pinheiro;Giuliana Monteiro Pinheiro;SP;Média;B1402219700000;X;X;X
2014;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Eu não digo adeus, digo até logo""";Competição Curta-Metragem de ficção;Giuliana Monteiro Pinheiro;Giuliana Monteiro Pinheiro;SP;Média;B1402219700000;;X;X
2014;Viennale – Festival Internacional de Cinema de Viena;Austria;Outubro;"""O Arquipélago""";Sessão Curta-metragem;Gustavo Beck;If You Hold A Stone;RJ;Média;B1500289700000;;;X
2014;Festival de Cinema de Locarno;Suíça;Agosto;"""O Bom Comportamento""";Competição Leopards of tomorrow;Eva Randolph;Imagem-Tempo/Eva Randolph;RJ;Média;B1402472300000;X;X;X
2014;Zinebi - Festival Internacional de Documentários e Filmes de Curta-metragem de Bilbao;Espanha;Novembro;"""Habeas Corpus""";Seção Oficial - Concurso Internacional;Leandro Afonso Guimarães;Leandro Afonso Guimarães;BA;Média;B1402293300000;X;X;X
2014;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""E""";Competição Curtas-Metragens;Alexandre Wahrhaftig/Helena Ungaretti/Miguel Antunes Ramos;Mira Filmes;SP;Média;B1402279000000;;;X
2014;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro;"""O Porto""";Hivos Tiger Awards Competition for Short Films;Clarissa Campolina/Julia De Simone/Ricardo Pretti/Luiz Pretti;Mirada Filmes;RJ;Média;B1402203700000;X;X;X
2014;Festival de Cinema de Cartagena;Colômbia;Março;"""O Tempo que Leva""";Competição oficial de curta-metragem;Cíntia Domit Bittar;Novelo Filmes;SC;Média;B1301938600000;;X;X
2014;Festival de Cinema e Cultura da América Latina de Biarritz;França;Setembro;"""Poeira de Prata no Escuro do Quarto""";Competição de curtas-metragens;Carlos Segundo;O Sopro do Tempo;MG;Média;B1402159700000;X;X;X
2014;Festival de Cinema de Huesca;Espanha;Junho;"""O Jogo""";Concurso Iberoamericano de curta-metragens;Pedro Coutinho;Popcon;SP;Média;B1301787100000;;;X
2014;IndieLisboa - Festival Internacional de Cinema Independente;Portugal;Abril;"""Lição de Esqui""";Competição Internacional - Curtas-metragens;Samuel Brasileiro/Leonardo Moura Mateus;Samuel Alves Moreira Brasileiro;CE;Média;B1500539300000;;;X
2014;Festival de Cinema de Cartagena;Colômbia;Março;"""Sanã""";Competição oficial de curta-metragem;Marcos Pimentel;Tempero Filmes;MG;Média;B1301965800000;;X;X
2014;Curtas Vila do Conde;Portugal;Julho;"""Sem Coração""";Competição Internacional;Nara Normande/Tião;Trincheira Filmes;PE;Média;B1402578700000;;;X
2014;Festival de Cannes;França;Maio;"""Sem Coração""";Quinzena dos Realizadores;Nara Normande/Tião;Trincheira Filmes;PE;Média;B1402578700000;X;X;X
2014;Festival du Nouveau Cinéma;Canadá;Outubro;"""Sem Coração""";Competição internacional de curtas-metragens;Nara Normande/Tião;Trincheira Filmes;PE;Média;B1402578700000;;X;
2014;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Sem Coração""";Competição Curta-Metragem de ficção;Nara Normande/Tião;Trincheira Filmes;PE;Média;B1402578700000;;;X
2014;Zinebi - Festival Internacional de Documentários e Filmes de Curta-metragem de Bilbao;Espanha;Novembro;"""Sem Coração""";Seção Oficial - Concurso Internacional;Nara Normande/Tião;Trincheira Filmes;PE;Média;B1402578700000;;;X
2014;Festival Internacional de Cinema de Guadalajara;México;Março;"""Os Irmãos Mai""";Competição Oficial Curta-metragens iberoamericanos;Alexandre Yukiyoshi Taira Gomes/Thais Fujinaga;Viatv;SP;Média;B1301885300000;;;X
2014;Festival Internacional de Filmes de Curta-metragem de Oberhausen;Alemanha;Maio;"""Os Irmãos Mai""";Children’s and Youth Film Competition;Alexandre Yukiyoshi Taira Gomes/Thais Fujinaga;Viatv;SP;Média;B1301885300000;X;X;X
2014;Festival Internacional Nueva Mirada para a Infância e Juventude;Argentina;Agosto;"""Os Irmãos Mai""";Competição Oficial;Alexandre Yukiyoshi Taira Gomes/Thais Fujinaga;Viatv;SP;Média;B1301885300000;;;X
2014;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Faroeste um autêntico Western""";Competição de Animação;Wesley Rodrigues;Wesley Rodrigues de Oliveira;GO;Média;B1301900000000;;X;
2015;Festival de Cinema de Huesca;Espanha;Junho;"""E O Amor Foi Se Tornando Cada Dia Mais Distante""";Concurso de curta-metragem documental;Alexander de Moraes;Alexander de Moraes;RJ;Curta;B1402425500000;;;X
2015;Festival Internacional de Filmes de Curta-metragem de Oberhausen;Alemanha;Abril;"""Vistas e Visões""";International Competition;André Francioli;Bola Oito Produções;SP;Curta;B1402269200000;X;X;X
2015;Festival de Filmes de Curta-metragem de Clermont-Ferrand;França;Janeiro;"""Contratempo""";Lab competition e International Competion;Bruno Jorge;Bruno Jorge;SP;Curta;B1301959600000;X;X;X
2015;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Mar de Fogo""";Berlinale Shorts;Joel Pizzini;Canal Brasil;RJ;Curta;B1301747900000;;X;X
2015;Festival de Filmes de Curta-metragem de Clermont-Ferrand;França;Janeiro;"""Filme Som""";Lab competition;Cesar Augusto Gananian/Alexandre Moura;Cesar Augusto Gananian;SP;Curta;B1500035400000;;;X
2015;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Setembro;"""Bá""";Competição Latinoamericana de Curta-metragens;Leandro Tadashi;Cigano Filmes;SP;Curta;B1500155300000;;X;X
2015;Festival Internacional Nueva Mirada para a Infância e Juventude;Argentina;Agosto;"""Bá""";Competição Oficial;Leandro Tadashi;Cigano Filmes;SP;Curta;B1500155300000;;;X
2015;Festival Internacional de Filmes de Curta-metragem de Oberhausen;Alemanha;Abril;"""Vertières I II III""";International Competition;Louise Botkay-Courcier;Cinesofia;RJ;Curta;B1500448500000;X;X;X
2015;Festival Internacional de Mar del Plata;Argentina;Outubro/Novembro;"""Say I am only seventeen""";Competição Latino-americana de Curtas-Metragens;Andre Cardoso Toldo/André Catoto;DnA - DESIGN 'N' ANIMATION;SP;Curta;B1500802500000;;;X
2015;Festival de Cinema Iberoamericano de Huelva;Espanha;Novembro;"""O Melhor Som do Mundo""";Competição de curtas-metragens;Pedro Paulo de Andrade;Dogs Can Fly;SP;Curta;B1500769200000;;X;X
2015;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""Cumieira""";Competição Curtas-Metragens;Diego Benevides Ramos;Extrato de Cinema;PB;Curta;B1500481100000;;;X
2015;Festival Internacional de Edimburgo;Escócia;Junho;"""Edifício Tatuapé Mahal""";Mostra Competitiva de Curta-metragem;Fernanda Salloum/Carolina Markowicz;Fulano Filmes;SP;Curta;B1402178800000;;X;X
2015;BFI - Festival de Cinema de Londres;Inglaterra;Outubro;"""Command Action""";Seleção Oficial;João Paulo Miranda Maria;Grupo Kino-Olho;SP;Curta;B1500431800000;;X;
2015;Curtas Vila do Conde;Portugal;Julho;"""Command Action""";Competição Internacional;João Paulo Miranda Maria;Grupo Kino-Olho;SP;Curta;B1500431800000;;;X
2015;Festival de Cannes;França;Maio;"""Command Action""";Semana da Crítica;João Paulo Miranda Maria;Grupo Kino-Olho;SP;Curta;B1500431800000;X;X;X
2015;Festival Internacional de Cinema de Toronto - TIFF;Canadá;Setembro;"""O Sinaleiro""";Short Cuts International;Daniel Augusto;IMG Content;SP;Curta;B1500646100000;;;X
2015;Festival de Cinema de Huesca;Espanha;Junho;"""Luva de Ouro""";Concurso Iberoamericano de curta-metragens;Ivan Rocha Limas Junior;Ivan Rocha Limas Junior;SP;Curta;B1500417400000;;;X
2015;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Setembro;"""Cordilheira de Amora II""";Competição Latinoamericana de Curta-metragens;Jamille Fortunato Souza Gois;Jamille Fortunato Souza Gois;BA;Curta;B1500807600000;;X;X
2015;Festival de Filmes de Curta-metragem de Clermont-Ferrand;França;Janeiro;"""História Natural""";Lab competition;Júlio Cavani;Júlio Cavani;PE;Curta;B1402261800000;X;X;X
2015;Festival de Cinema de Cartagena;Colômbia;Março;"""Dentro""";Competição oficial de curta-metragem;Bruno Autran;Labuta Filmes;SP;Curta;B1402300700000;;X;X
2015;Festival de Cinema de Cartagena;Colômbia;Março;"""Castillo y el Armado""";Competição oficial de curta-metragem;Pedro Harres;Otto Desenhos Animados;RS;Curta;B1402326300000;;X;X
2015;Festival Internacional de Cinema do Uruguai;Uruguai;Abril;"""Castillo y el Armado""";Competencia Cortometrages internacionales;Pedro Harres;Otto Desenhos Animados;RS;Curta;B1402326300000;;;X
2015;Festival Internacional de Animação de Annecy;França;Junho;"""Guida""";Competição oficial;Rosana Urbes;Rosana Urbes;SP;Curta;B1402237100000;;;X
2015;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Guida""";Competição de Animação;Rosana Urbes;Rosana Urbes;SP;Curta;B1402237100000;;X;X
2015;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Setembro;"""Entremundo""";Competição Latinoamericana de Curta-metragens;Thiago Mendonça/Renata Jardim;São Paulo Secretaria Municipal de Cultura;SP;Curta;B1500688400000;;X;X
2015;Chicago Children - Festival de Cinema Infantil de Chicago;Estados Unidos;Outubro;"""O Mistério do Mangue""";Child Produced;Lara Beck Belov;Tenda dos Milagres Produções Artísticas;BA;Curta;B1500723000000;;;X
2015;Festival de Cinema de Huesca;Espanha;Junho;"""Tereza""";Concurso Iberoamericano de curta-metragens;Mauricio Baggio;Zoom Video Produções;PR;Curta;B1500236200000;;;X
2015;Festival Internacional de Mar del Plata;Argentina;Outubro/Novembro;"""Tereza""";Competição Latino-americana de Curtas-Metragens;Mauricio Baggio;Zoom Video Produções;PR;Curta;B1500236200000;;X;X
2015;Festival Internacional de Cinema de Durban;África do Sul;Julho;"""A História da Eternidade""";Focus Brasil;Camilo Cavalcante;AC Cavalcante Serviços;PE;Longa;B1402133800000;;X;
2015;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Que horas ela volta?""";Panorama Special;Anna Muylaert;África Filmes/Gullane;SP;Longa;B1500585100000;;;X
2015;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Que horas ela volta?""";Competição de Longa-metragem de ficção;Anna Muylaert;África Filmes/Gullane;SP;Longa;B1500585100000;;;X
2015;Sundance Film Festival;Estados Unidos;Janeiro;"""Que horas ela volta?""";World Cinema Dramatic Competition;Anna Muylaert;África Filmes/Gullane;SP;Longa;B1500585100000;;;X
2015;Festival Internacional Nueva Mirada para a Infância e Juventude;Argentina;Agosto;"""Minhocas""";Competição Oficial;Arthur Nunes/Paolo Conti;Animaking;SC;Longa;B1301864200000;;;X
2015;Festival Internacional de Cinema de San Francisco;Estados Unidos;Abril;"""Campo de Jogo""";Golden Gate Award for Documentary Feature;Eryk Rocha;Aruac Produções/Filmegraph;RJ/MG;Longa;B1402391100000;;X;X
2015;Encontros de Cinema da América Latina de Toulouse;França;Março;"""Beira-Mar""";Competição longa-metragem de ficção;Filipe Matzembacher/Marcio Reolon;Avante Filmes;RS;Longa;B1402710300000;X;X;X
2015;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Beira-Mar""";Forum;Filipe Matzembacher/Marcio Reolon;Avante Filmes;RS;Longa;B1402710300000;X;X;X
2015;Queer Lisboa - Festival Internacional de Cinema Queer;Portugal;Setembro;"""Beira-Mar""";Competição de Longa-metragem;Filipe Matzembacher/Marcio Reolon;Avante Filmes;RS;Longa;B1402710300000;;;X
2015;Festival Internacional de Cinema de Valdivia (FICValdivia);Chile;Outubro;"""Mate-me por favor""";Seleção Oficial Longa-Metragem Internacional;Anita Rocha da Silveira;Bananeira Filmes;RJ;Longa;B1500651700000;;;X
2015;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Mate-me por favor""";Competição Ópera Prima;Anita Rocha da Silveira;Bananeira Filmes;RJ;Longa;B1500651700000;;X;X
2015;Mostra Internacional de Arte Cinematográfica de Veneza;Itália;Setembro;"""Mate-me por favor""";Orizzonti;Anita Rocha da Silveira;Bananeira Filmes;RJ;Longa;B1500651700000;;;X
2015;Festival Internacional de Cinema de Durban;África do Sul;Julho;"""Cidade de Deus - 10 anos depois""";Focus Brasil;Cavi Borges/Luciano Vidigal;Berny Filmes/Cavideo Produções;RJ;Longa;B1402144800000;;;X
2015;South by Southwest - Festival de Cinema e Música de Austin;Estados Unidos;Março;"""Dominguinhos""";24 Beats Per Second;Eduardo Nazarian/Joaquim Castro/Mariana Aydar;Big Bonsai;SP;Longa;B1402161500000;;X;
2015;Encontros de Cinema da América Latina de Toulouse;França;Março;"""Ausência""";Competição longa-metragem de ficção;Chico Teixeira;Bossa Nova Films;SP;Longa;B1500276200000;X;X;X
2015;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Ausência""";Panorama;Chico Teixeira;Bossa Nova Films;SP;Longa;B1500276200000;X;X;X
2015;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Ausência""";Competição de Longa-metragem de ficção;Chico Teixeira;Bossa Nova Films;SP;Longa;B1500276200000;X;X;X
2015;Chicago Children - Festival de Cinema Infantil de Chicago;Estados Unidos;Outubro;"""O menino no espelho""";Live-action Feature Films;Guilherme Fiúza Zenha;Camisa Listrada/Solo Filmes;RJ/MG;Longa;B1402175100000;;;X
2015;FESTin Lisboa - Festival de Cinema Itinerante da Língua Portuguesa;Portugal;Abril;"""Alemão""";Competição de Longas-Metragens;José Eduardo Belmonte;Camisa Treze Cultural;SP;Longa;B1402081900000;;;X
2015;BAFICI - Festival Internacional de Cinema de Buenos Aires;Argentina;Abril;"""Prometo um dia deixar essa cidade""";Competição Oficial Internacional;Daniel Aragão;Cicatrix Filmes;PE;Longa;B1500256300000;;;X
2015;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""Prometo um dia deixar essa cidade""";Competição Longas-Metragens;Daniel Aragão;Cicatrix Filmes;PE;Longa;B1500256300000;;;X
2015;Festival Internacional de Cinema de Munique;Alemanha;Junho;"""Prometo um dia deixar essa cidade""";International Independents;Daniel Aragão;Cicatrix Filmes;PE;Longa;B1500256300000;;;X
2015;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro;"""Prometo um dia deixar essa cidade""";Bright Future Premieres ;Daniel Aragão;Cicatrix Filmes;PE;Longa;B1500256300000;;X;X
2015;Art of the Real;Estados Unidos;Abril;"""Branco Sai, Preto Fica""";Não competitivo;Adirley Queirós;Cinco da Norte Cine;DF;Longa;B1402653000000;;;X
2015;Festival de Cinema de Cartagena;Colômbia;Março;"""Branco Sai, Preto Fica""";Competição oficial de ficção;Adirley Queirós;Cinco da Norte Cine;DF;Longa;B1402653000000;;X;X
2015;Festival Internacional de Cinema de Munique;Alemanha;Junho;"""Permanência""";International Independents;Leonardo Lacca;CinemaScópio;PE;Longa;B1500189400000;X;X;X
2015;Festival Internacional de Cinema de Punta del Este;Uruguai;Março;"""Permanência""";Competição Oficial;Leonardo Lacca;CinemaScópio;PE;Longa;B1500189400000;;X;X
2015;Festival de Cinema e Cultura da América Latina de Biarritz;França;Setembro;"""Aspirantes""";Competição de Longas-Metragens;Ives Rosenfeld;Crisis Produtivas/3T Filmes;RJ;Longa;B1500843400000;X;X;X
2015;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Aspirantes""";Competição Ópera Prima;Ives Rosenfeld;Crisis Produtivas/3T Filmes;RJ;Longa;B1500843400000;X;X;X
2015;Visions du Réel;Suíça;Abril;"""A Morte Diária""";Regard Neuf;Daniel Lentini;Daniel Lentini;RJ;Longa;B1402634800000;X;X;X
2015;Festival Internacional de Cinema de Munique;Alemanha;Junho;"""O fim de uma era""";International Independents;Bruno Safadi/Ricardo Pretti;Daza Filmes;RJ;Longa;B1402667500000;;X;X
2015;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro;"""O fim de uma era""";Spectrum Premieres;Bruno Safadi/Ricardo Pretti;Daza Filmes;RJ;Longa;B1402667500000;X;X;X
2015;BFI - Festival de Cinema de Londres;Inglaterra;Outubro;"""Boi Neon""";Seleção Oficial;Gabriel Mascaro;Desvia;PE;Longa;B1500798600000;;;X
2015;Festival Internacional de Cinema de Toronto - TIFF;Canadá;Setembro;"""Boi Neon""";Plattform;Gabriel Mascaro;Desvia;PE;Longa;B1500798600000;;;X
2015;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Boi Neon""";Competição de Longa-metragem de ficção;Gabriel Mascaro;Desvia;PE;Longa;B1500798600000;X;X;
2015;Mostra Internacional de Arte Cinematográfica de Veneza;Itália;Setembro;"""Boi Neon""";Orizzonti;Gabriel Mascaro;Desvia;PE;Longa;B1500798600000;;;X
2015;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Sangue Azul""";Panorama;Lírio Ferreira;Drama Filmes/Lírio Ferreira;SP;Longa;B1402237400000;;X;X
2015;Festival Internacional de Cinema de Miami;Estados Unidos;Março;"""Sangue Azul""";Knight Competition;Lírio Ferreira;Drama Filmes/Lírio Ferreira;SP;Longa;B1402237400000;;;X
2015;FESTin Lisboa - Festival de Cinema Itinerante da Língua Portuguesa;Portugal;Abril;"""Jogo de xadrez""";Competição de Longas-Metragens;Luis Antonio Pereira;Eclectic Entertainment;RJ;Longa;B1402107400000;;X;X
2015;Festival Internacional de Cinema do Uruguai;Uruguai;Abril;"""Ela Volta na Quinta""";Competencia de Nuevos Realizadores;André Novais Oliveira;Filmes de Plástico;MG;Longa;B1402633700000;;;X
2015;Donostia - Festival de San Sebastian;Espanha;Setembro;"""Para minha amada morta""";Horizontes Latinos;Aly Muritiba;Grafo Audiovisual;PR;Longa;B1500177200000;;;X
2015;Festival de Cinema Mundial de Montreal;Canadá;Agosto;"""Para minha amada morta""";First Film World Competition;Aly Muritiba;Grafo Audiovisual;PR;Longa;B1500177200000;;;X
2015;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Para minha amada morta""";Competição Ópera Prima;Aly Muritiba;Grafo Audiovisual;PR;Longa;B1500177200000;;;X
2015;Festival de Cinema de Locarno;Suíça;Agosto;"""Tudo que aprendemos juntos""";Piazza Grande;Sérgio Machado;Gullane;SP;Longa;B1500150200000;X;;X
2015;Festival Internacional de Cinema de Guadalajara;México;Março;"""My name is now""";Competição Oficial Longa-metragens de documentário iberoamericanos;Elizabete Martins Campos;IT Filmes;MG;Longa;B1402254000000;X;X;X
2015;Festival de Cinema Mundial de Montreal;Canadá;Agosto;"""Prova de Coragem""";World Competition;Roberto Gervitz;M. Schmiedt Produções;RS;Longa;B1500399400000;X;X;X
2015;Encontros de Cinema da América Latina de Toulouse;França;Março;"""A Revolução do Ano""";Competição de Documentários;Diogo Faggiano;Massa Real;SP;Longa;B1402538300000;X;X;X
2015;Festival Internacional de Cinema de Chicago;Estados Unidos;Outubro;"""Órfãos do Eldorado""";New Directors;Guilherme Coelho;Matizar;RJ;Longa;B1500672000000;;;X
2015;Festival Internacional de Cinema de Guadalajara;México;Março;"""O Outro Lado do Paraíso""";Competição Oficial Longa-metragens de ficção iberoamericanos;André Ristum;Mercado Filmes;DF;Longa;B1500837400000;X;;X
2015;Visions du Réel;Suíça;Abril;"""Seca""";Competição Internacional de Longa-Metragem;Maria Augusta Ramos;Nofoco Filmes;RJ;Longa;B1500251700000;X;X;X
2015;Festival Internacional de Cinema de Toronto - TIFF;Canadá;Setembro;"""Zoom""";Vanguard;Pedro Morelli;O2 Filmes;SP;Longa;B1600036800000;;;X
2015;Festival Internacional de Cinema de Punta del Este;Uruguai;Março;"""O último cine drive-in""";Competição Oficial;Iberê Carvalho;Pavirada Filmes;DF;Longa;B1402197800000;;X;X
2015;IDFA - Festival Internacional de Documentários de Amsterdam;Holanda;Novembro;"""Jonas e o Circo sem Lona""";Competition for First Appearance;Paula Gomes;Plano 3 Filmes;BA;Longa;B1600018100000;X;X;X
2015;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""A Seita""";Competição Longas-Metragens;André Antônio;Ponte Produtoras;PE;Longa;B1600257200000;;X;X
2015;Docs DF - Festival Internacional de Documentário da Cidade do México;México;Outubro;"""A Vida Privada dos Hipopótamos""";Docuthriller;Maíra Bühler/Matias Mariani;Primo Filmes;SP;Longa;B1402781000000;;;X
2015;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Brasil S/A""";Forum;Marcelo Pedroso;Símio Filmes;PE;Longa;B1500169500000;;X;X
2015;Festival de Cinema Mundial de Montreal;Canadá;Agosto;"""Maresia""";First Film World Competition;Marcos Guttmann;Solar Filmes;RJ;Longa;B1402855900000;X;X;X
2015;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro;"""O Touro""";Bright Future Premieres ;Larissa Figueiredo;Sto Lat Filmes;PR;Longa;B1500452100000;X;X;X
2015;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro;"""A Misteriosa Morte de Pérola""";As Long As It Takes: Mid-Length;Guto Parente;Tardo Filmes;CE;Longa;B1500169900000;;X;X
2015;Festival de Cinema de Locarno;Suíça;Agosto;"""O Espelho""";Fuori Concorso: Tela Brilhadora;Rodrigo Lima Ferreira;TB Produções;RJ;Longa;B1500850400000;;;X
2015;Festival de Cinema de Locarno;Suíça;Agosto;"""O Prefeito""";Fuori Concorso: Tela Brilhadora;Bruno Safadi;TB Produções;RJ;Longa;B1500855600000;;;X
2015;Festival Internacional de Cinema de Tóquio;Japão;Outubro;"""Nise - o coração da loucura""";Competition section;Roberto Berliner;TV Zero;RJ;Longa;B1402652900000;;;X
2015;Docs DF - Festival Internacional de Documentário da Cidade do México;México;Outubro;"""Ato, Atalho e Vento""";"Sessão Competitiva ""Nuestra America""";Marcelo Masagão;Um Minuto;SP;Longa;B1500451800000;;;X
2015;Queer Lisboa - Festival Internacional de Cinema Queer;Portugal;Setembro;"""Batguano""";Competição Queer Art;Tavinho Teixeira;Vermelho Profundo/Tavinho Teixeira;PB;Longa;B1402718400000;;;X
2015;BFI - Festival de Cinema de Londres;Inglaterra;Outubro;"""Jia zhang-ke, um homem de fenyang""";Seleção Oficial;Walter Salles;Videofilmes;RJ;Longa;B1500575600000;X;;
