ano,territorio_tipo,territorio_nome,uf,regiao,origem_filme,publico,renda_brl_nominal,lugares_oferecidos,fonte_documento,confiabilidade,indicador,valor,unidade_original,mes,mes_nome
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,447287.01,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,447287.01,CRUZADO,1.0,JANEIRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,123397.79,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,123397.79,CRUZADO,2.0,FEVEREIRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,102963.01,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,102963.01,CRUZADO,2.0,FEVEREIRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,90714.64,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,90714.64,CRUZADO,2.0,FEVEREIRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,165333.3,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,165333.3,CRUZADO,2.0,FEVEREIRO
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,307518.38,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,307518.38,CRUZADO,2.0,FEVEREIRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,152294.43,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,152294.43,CRUZADO,3.0,MARÇO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,91519.47,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,91519.47,CRUZADO,3.0,MARÇO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,104672.56,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,104672.56,CRUZADO,3.0,MARÇO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,186904.75,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,186904.75,CRUZADO,3.0,MARÇO
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,222941.7,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,222941.7,CRUZADO,3.0,MARÇO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,250215.54,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,250215.54,CRUZADO,4.0,ABRIL
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,147238.17,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,147238.17,CRUZADO,4.0,ABRIL
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,114584.41,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,114584.41,CRUZADO,4.0,ABRIL
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,183474.3,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,183474.3,CRUZADO,4.0,ABRIL
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,289013.81,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,289013.81,CRUZADO,4.0,ABRIL
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,165576.07,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,165576.07,CRUZADO,5.0,MAIO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,105315.27,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,105315.27,CRUZADO,5.0,MAIO
