TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
5 DA MANHÃ;B2300469800000;24/10/2023;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,5;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;SUGARCANE FILMES LTDA;29.954.968/0001-39;SP;SAO PAULO
5 LETRAS;B2300369600000;29/08/2023;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,8;;2023;;OUTROS MERCADOS;NÃO;RENAN DA CAS GRANDE GUERRA;PESSOA FÍSICA;RJ;RIO DE JANEIRO
50%;B2300197100000;18/05/2023;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;17,8;;2023;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;MADSON NEY LEITE DANTAS BEZERRA;PESSOA FÍSICA;RN;MOSSORO
52 PIZZAS;B2300263500000;30/06/2023;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;330;22;2011;2011;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MÍDIA DO BRASIL COMUNICAÇÕES, SERVIÇOS DE TELEVISÃO LTDA;71.841.282/0001-06;SP;SAO PAULO
9 HORAS EM DEODORO;B2300337900000;14/08/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;18,4;;2023;;SALAS DE EXIBIÇÃO;NÃO;ESCOLA BRASILEIRA DE AUDIOVISUAL - EBAV;23.715.248/0001-34;RJ;RIO DE JANEIRO
A ALEGRIA É A PROVA DOS NOVE;B2300037800000;30/01/2023;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;100,2;;2023;;SALAS DE EXIBIÇÃO;NÃO;MERCURIO PRODUCOES LTDA;04.760.800/0001-61;SP;SAO PAULO
A ALMA DAS COISAS;B2300311600000;31/07/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;19,9;;2023;;SALAS DE EXIBIÇÃO;NÃO;ACALANTE FILMES LTDA;18.386.096/0001-33;RJ;RIO DE JANEIRO
A ARTE DO BAMBU;B2300567100000;19/12/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,8;;2023;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;MARGEM LTDA;46.719.110/0001-09;MG;BELO HORIZONTE
A ARTE NA VOZ DE QUEM FAZ | XXIII PRÊMIO ARTE NA ESCOLA CIDADÃ;B2300013400000;16/01/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;61,6;6;2022;2022;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;INSTITUTO ARTE NA ESCOLA;03.684.257/0001-06;SP;SAO PAULO
A BALEIA MÁGICA;B2300118700000;21/03/2023;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;11,3;;2023;;OUTROS MERCADOS;NÃO;DOUGLAS ALVES FERREIRA ME;08.883.168/0001-02;SP;SAO PAULO
