TITULO_OBRA;TIPO_OBRA;PERIODO_PRODUCAO;EMPRESA_BRASILEIRA;UF;EMPRESA_ESTRANGEIRA;PAIS;NR_TECNICOS_ARTISTAS_ESTRANGEIROS;LOCAL_FILMAGEM_UF
Adobe Entrevistas;Institucional;20/08/2018 a 25/08/2018;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;Figura Media LLC;Estados Unidos;5;
Primatas;Documentário;03/10/2018 a 03/11/2018;CRISTIAN DIMITRIUS PRODUÇÕES LTDA;SP;BBC;Inglaterra;1;
Celebrity Travel;Documentário;05/09/2018 a 13/09/2018;DEZ E VINTE PRODUÇÕES CINEMATOGRÁFICAS LTDA - ME;SP;Koklonis Media Ike;Grécia;13;
Situação do Brasil Pre eleições;Documentário;10/09/2018 a 15/09/2018;AURA FILME PRODUÇÕES LTDA;RJ;Sinclair Broadcast Group;Estados Unidos;4;
Kaigyo Hunter: em busca dos peixes gigantes da Amazônia;Documentário;20/09/2018 a 20/11/2018;TOWN NETWORK FILMAGENS LTDA.;SP;Denen Kobo D'z Inc.;Japão;8;
A world of good - um mundo do bem;Documentário;01/09/2018 a 06/09/2018;CINEBRAS CINERAMA BRASILIS CINEMATOGRAFICA EIRELI;RJ;Plan A Films;Estados Unidos;4;
Chris Clark;Documentário;29/08/2018 a 11/09/2018;VIVA FILMES LTDA.;RJ;Renegade Pictures (UK);Reino Unido;6;
"""Viagem pelos Confins do Mundo - Highline no Brasil""";Documentário;18/09/2018 a 28/09/2018;XES PROJETOS VISUAIS LTDA - ME;SP;Call, Inc.;Japão;13;
Documentário para Rio de Janeiro;Documentário;23/09/2018 a 28/09/2018;GUIRRAV AUDIOVISUAL & LIGHTING LTDA - ME;SP;Tokyo Broadcasting System, INC;Japão;2;
Jaguarland + Rebel Lake;Documentário;04/09/2018 a 20/11/2018;CANAL AZUL CONSULTORIA AUDIOVISUAL - EIRELI;SP;Plimsoll Productions;Reino Unido;3;
As Cidades Perdidas da Amazônia;Documentário;06/10/2018 a 15/11/2018;R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;Beyond Productions Inc;Austrália;23;
Extreme Engagement;Documentário;04/09/2018 a 03/10/2018;SENAYA CRIAÇÕES ARTÍSTICAS LTDA;SP;Wildman Films;Austrália;3;
Hummingbirds: 2018;Documentário;12/09/2018 a 26/10/2018;SOL ENTERTAINMENT LTDA;RJ;Coneflowers Studios;Estados Unidos;1;
THIS MORNING;Documentário;12/09/2018 a 17/09/2018;PAJÉ PRODUÇÕES CULTURAIS;RJ;Itv Studios Limited;Inglaterra;4;
Our Planet - Halo;Documentário;18/09/2018 a 03/10/2018;TACACÁ FILMES LTDA;RJ;Living Planet Productions;Reino Unido;3;
As Cidades Perdidas da Amazônia;Documentário;06/10/2018 a 15/11/2018;R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;Beyond Productions Inc;Austrália;23;
Invitation au Voyage - Temporada 2018;Outro: Para TV;15/09/2018 a 30/09/2018;TVERAMA COMUNICAÇÃO LTDA;SP;Elephant Adventures;França;2;
