TITULO_OBRA;TIPO_OBRA;PERIODO_PRODUCAO;EMPRESA_BRASILEIRA;UF;EMPRESA_ESTRANGEIRA;PAIS;NR_TECNICOS_ARTISTAS_ESTRANGEIROS;LOCAL_FILMAGEM_UF
Grande Amazônia: Lenda do Macaco Gigante - Terceira Parte;Documentário;15/01/2016 a 10/04/2016;Mandra Filmes Produções Audiovisuais Ltda;GO;NHK Enterprises INC;Japão;03;
Sly Fairy Tales;Obra Publicitária;05/01/2016 a 05/02/2016;O2 Filmes Publicitários Ltda;SP;William Ivey Long Inc;Estados Unidos;01;
Roupa Suja na Tv;Institucional;19/12/2015 a 30/12/2015;Trator Filmes Ltda;SP;-;-;06;
Load to Rio;Documentário;05/01/2016 a 29/02/2016;Sango Productions Ltda;SP;Documentaru Japan Inc;Japão;02;
Manifesto;Institucional;15/12/2015 a 10/01/2016;Sweet Produções Ltda.;SP;Markenfilm Schweiz AG;Alemanha;05;
O Adeus do Comandante;Ficção;25/01/2015 a 25/04/2016;INTRO Ltda. (Tc Filmes);SP;-;-;01;
Exootic Hike;Obra Publicitária;04/01/2016 a 19/01/2016;Zohar Cinema e Comunicação Ltda.;RJ;Altana Films;Uruguai;08;
Cyoujou Genshou SP;Documentário;05/03/2015 a 21/03/2015;Town Network Filmagens Ltda.;SP;P.D. Network;Japão;CANCELADO;
Learn it Share it;Documentário;19/06/2015 a 27/06/2015;Ricardo Gonçalves Produções Cinematográficas;SP;Vagabond Films;Estados Unidos;CANCELADO;
Japoneses que vivem em terras distantes;Documentário;10/07/2015 a 30/07/2015;Urutau Filmes Ltda;SP;Wave INC.;Japão;CANCELADO;
Amor em Punjab;Ficção;17/07/2015 a 20/08/2015;DNA Produções Cinematográficas Ltda;SP;Creative Films & Production Company;India;CANCELADO;
Experience;Obra Publicitária;20/07/2015 a 30/07/2015;Ocean Produção de Filmes Ltda;SC;Anonymous Content;Estados Unidos;CANCELADO;
turkish airlines;Obra Publicitária;25/08/2015 a 06/09/2015;Ocean Produção de Filmes Ltda;SC;smuggler;Estados Unidos;CANCELADO;
Earth Work;Institucional;26 de janeiro a 07 de fevereiro de 2016;Amazon Filmes Produções;PA;CDI Virtual Films, INC;Estados Unidos;13;
Brazil, Bossa and the Girl from Ipanema;Documentário;20 a 30 de janeiro de 2016;Viva Filmes Ltda;RJ;British Broadcasting Corporation Music Television;Reino Unido;05;
Transocêanica;Documentário;27 de janeiro a 11 de março de 2016;Sol Entertainment Ltda;RJ;FlorianFilm GmbH;Alemanha;04;
“Rising”;Documentário;7 a 17 de fevereiro de 2016;Falls Produções LTDA.;SP;Top Scene INC;Japão;01;
情熱大陸 (Jounetsu Tairiku);Documentário;20 de janeiro até 31 de julho de 2016;Century Agência De Viagens E Turismo LTDA-ME;DF;Max Contact;Japão;03;
Rio ville merveilleuse II;Documentário;20 de janeiro a 02 de fevereiro de 2016;Bang Bang Filmes e Produções Eireli;RJ;Gedeon Programme;França;03;
“Make the Change” (Faça a Diferença);Documentário;26 de janeiro a 2 de fevereiro de 2016;Octave Niban – Kobo, Production Corp.;SP;Octave Niban – Kobo, Production Corp.;Japão;08;
“Make the Change” (Faça a Diferença);Documentário;26 de janeiro a 2 de fevereiro de 2016;Octave Niban – Kobo, Production Corp.;SP;Octave Niban – Kobo, Production Corp.;Japão;01;
Kareinaru Make no Sekai - O Resplandecente Mundo do Make Up;Documentário;27 de janeiro a 22 de fevereiro de 2016;Xes Projetos Visuais LTDA (Native Brasil);SP;Telecom Staff INC;Japão;05;
Mesquitas no Brasil;Documentário;25 de janeiro a 27 de fevereiro de 2016;Sol Entertainment Ltda;RJ;Alnoori Media Production;Kuwait;04;
Women’s training;Documentário;15 a 25 de janeiro 2016;Ocean Produção de Filmes LTDA;SC;Spur Productions;Estados Unidos;02;
Women’s training;Documentário;15 a 25 de janeiro 2016;Ocean Produção de Filmes LTDA;SC;Spur Productions;Estados Unidos;02;
Boy To Man;Documentário;20 de janeiro a 26 de fevereiro de 2016;Neon Rio LTDA;RJ;Seven Network (Operations) Limited;Austrália;02;
Shadow and the Flow;Obra Publicitária;20 de janeiro a 20 de fevereiro 2016;Ocean Produção de Filmes LTDA;SC;Friend London;Inglaterra;02;
Shadow and the Flow;Obra Publicitária;20 de janeiro a 20 de fevereiro 2016;Ocean Produção de Filmes LTDA;SC;Friend London;Inglaterra;07;
Children of the Inquisition;Documentário;11 a 18 de fevereiro de 2016;Take produções Ltda;SP;Lovett stories & Strategies/ Joe Lovet;Estados Unidos;03;
The Family Factor: Meet Tania;Documentário;01 a 06 de fevereiro de 2016;Story Produções LTDA.;SP;Snow Companies;Estados Unidos;05;
Bento Expo;Documentário;25 de janeiro a 10 de fevereiro de 2016;Welpro Filmagens LTDA;SP;Amazonlaterna CO., LTD.;Japão;01;
Carnival Rio 2016;Documentário;05 a 11 de fevereiro de 2016;Sol Entertainment Ltda;RJ;Maximus Film GmbH;Alemanha;02;
Brothers Green eats;Reality Show;02 a 07 de fevereiro de 2016;Sol Entertainment Ltda;RJ;Storyville Entertainment Inc;Estados Unidos;05;
Rolling Stones America Latina Ole Tour 2016;Documentário;22 a 28 de fevereiro de 2016;Terra Vermelha Filmes LTDA;RJ;Ja Digital;Reino Unido;09;
Os Penetras 2;Ficção;19 de janeiro de 2016 a 30 de março de 2016;Conspiração Filmes Entretenimento 3º Milênio Ltda.;RJ;-;-;01;
As Boas Maneiras;Ficção;31 de janeiro de 2016 a 06 de abril de 2016;Dezenove Som e Imagens Produções LTDA;SP;-;-;01;
It Happened;Institucional;10 a 23 de março de 2016;BPS Produções Serviços EIRELI;RJ;Figura Media, LLC.;Estados Unidos;06;
Line Walker;Ficção;26 de janeiro de 2016 a 24 de fevereiro de 2016;Utopia Films Produção Artística Ltda;RJ;Shaw Bothers Picture Limited;China;85;
Rio, Carnival 2016;Documentário;02 a 08 de fevereiro de 2016;Viva Filmes Ltda;RJ;Open Mike Productions Limited;Reino Unido;04;
British American Tobacco;Institucional;29 de janeiro a 04 de fevereiro de 2016;Connection Filmes e Produções Artísticas Ltda;RJ;Kamafilms;Canadá;04;
Live Play;Institucional;13 de fevereiro a 01 de março de 2016;BPS Produções Serviços EIRELI;RJ;Figura Media, LLC.;Estados Unidos;03;
Jinsei Ga Kawaru Ippunkan no Fukaii Hanashi – um minuto de boa história que muda a vida;Documentário;10 a 20 de fevereiro de 2016;Xes Projetos Visuais LTDA (Native Brasil);SP;Imagine Inc.;Japão;02;
A River Below;Documentário;12 a 20 de fevereiro de 2016;Maruti Blue Produções e Eventos;RJ;Sandarba S.A.S;Colômbia;04;
Sekai Neko Aruki;Documentário;09 de fevereiro a 31 de março de 2016;Welpro Filmagens LTDA;SP;G’s Corporation;Japão;07;
Parts Unknown - Anthony Bourdain;Documentário;13 a 26 de fevereiro de 2016;Mapema Produções e Eventos;MG;Zero Point Production;Estados Unidos;06;
Lucia Koch;Documentário;04 a 06 de fevereiro de 2016;Mango Films;SP;Cultureshock Media;Reino Unido;02;
Panasonic Corporate Spot “Sugarloaf”;Documentário;10 de fevereiro a 25 de março de 2016;NEON RIO LTDA;RJ;Liquid Air Entertainment Inc;Estados Unidos;11;
Esto-Gronofre;Obra Publicitária;16 a 24 de fevereiro de 2016;Paranoid Brasil;SP;-;-;02;
Don´t Hassle with Nature;Documentário;10 de fevereiro a 10 de março de 2016;Tacacá Filmes;RJ;Partizip Zwei;Alemanha;10;
Behind the Scene Rio 2016;Institucional;12 de fevereiro a 04 de março de 2016;WaSabi JB Comunicação;RJ;Panasonic Visuals;Japão;02;
Kerri Walsh Jennings Documentary;Documentário;07 a 13 de março de 2016;BPS Produções Serviços EIRELI;RJ;Figura Media, LLC.;Estados Unidos;06;
CAPTIVE;Documentário;26 de fevereiro a 5 de março;Terra Vermelha Filmes LTDA;RJ;Lightbox Media LTD;Reino Unido;06;
Não definido;Documentário;15 a 20 de março de 2016;Story Produções LTDA.;SP;Itdrewitself Ltd.;Reino Unido;05;
Olympics ;Documentário;24 de fevereiro  a 25 de março de 2016;Davies & Luzzi Ltda;SP;VICE Media LLC;Estados Unidos;06;
Local Buses Around the World;Documentário;29 de fevereiro de 2016 a 25 de março de 2016;WaSabi JB Comunicação;RJ;Documentary Japan, INC;Japão;02;
US Team;Documentário;18 de fevereiro a 06 de março de 2016;DOMO Produções Ltda;SP;Resonance Story Co. LLC;Estados Unidos;04;
The Mind of the Universe;Documentário;25 de fevereiro a 04 de março de 2016;Sol Entertainment Ltda;RJ;Vpro;Holanda;02;
Weg Nach Rio;Documentário;28 de fevereiro a 02 de março de 2016;AURA Filme Produções Ltda;RJ;setONE GmbH;Alemanha;04;
Spillover;Documentário;25 de fevereiro a 15 de março de 2016;Sol Entertainment Ltda;RJ;Tangled Bank Studios;Estados Unidos;04;
Dança;Obra Não publicitária;21 e 22 de fevereiro de 2016;MOVIEART Produções Cinematográficas Ltda;SP;-;-;01;
The Capture;Documentário;21 a 25 de fevereiro de 2016;Amazon Film Productions;AM;Blast Films Ltd;Reino Unido;03;
How we can help;Institucional;19 a 24 de março de 2016;Revival Company Ltda;SP;Experian;Inglaterra;04;
Sekai no mura de hakken, konna tokoro ni nihonjin;Documentário;04 a 19 de março de 2016;Falls Produções LTDA.;SP;WAVE INC./Kazuhiko Kudo ppt;Japão;06;
Hummingbirds: More Magic 2016;Documentário;18 a 26 de março de 2016;Sol Entertainment Ltda;RJ;Coneflower Studios;Estados Unidos;02;
Bloomberg: Visão de futuro;Documentário;23 a 25 de fevereiro de 2016;Parasol Broadcast - RB Araujo produção cinematográfica;RJ;IWC Media;Inglaterra;03;
Grande Amazônia: a lenda do macaco gigante;Documentário;02 de março de 2016 a 31 de maio de 2016;TOWN Network filmagens LTDA.;SP;NEP - Nhk Enterprises INC.;Japão;01;
Riders Red Bull Minas;Documentário;13 a 14 de abril de 2016;AURA Filme Produções Ltda;RJ;Red Bull Media House;Áustria;20;
Riders Red Bull Minas;Documentário;13 a 14 de abril de 2016;AURA Filme Produções Ltda;RJ;Red Bull Media House;Áustria;20;
Riders Red Bull Minas;Documentário;13 a 14 de abril de 2016;AURA Filme Produções Ltda;RJ;Red Bull Media House;Áustria;20;
Riders Red Bull Minas;Documentário;13 a 14 de abril de 2016;AURA Filme Produções Ltda;RJ;Red Bull Media House;Áustria;20;
16008 NW16 Rio Editorial;Obra Não publicitária;22 a 29 de fevereiro de 2016;Ocean Produção de Filmes LTDA;SC;Picture Farm;Estados Unidos;02;
16009 NW16 Rio Editorial;Obra Não publicitária;22 a 29 de fevereiro de 2016;Ocean Produção de Filmes LTDA;SC;Picture Farm;Estados Unidos;02;
FIAT Mov;Obra Não publicitária;01 de março de 2016 a 10 de abril de 2016;Ocean Produção de Filmes LTDA;SC;Bunker;Estados Unidos;01;
TAR China ;Reality Show;22 de março a 14 de abril de 2016;DOMO Produções Ltda;SP;Shenzhen Media Group;China;07;
Miami Dolphins Cheerleaders: Making the Squad;Reality Show;1 a 4 de março de 2016;Saraguina Filmes e Produções Culturais Ltda;RJ;Miami Dolphins Ltd;Estados Unidos;05;
Angriest Whopper ;Reality Show;6 a 13 de março de 2016;Embaúba Produções;RJ;CRANE TV (via FLOW FILMS/Barney Lankester Owne MEI);Suiça;05;
Manifesto;Obra Não publicitária;02 a 11 de março de 2016;ALICEFILMES Ltda;SP;-;-;01;
A joking relationship;Ficção;01 de março a 15 de abril de 2016;MLT Produções Artísticas Ltda;RJ;-;-;03;
A joking relationship;Ficção;1 de março a 15 de abril de 2016;MLT Produções Artísticas Ltda;RJ;-;-;01;
A joking relationship;Ficção;1 de março a 15 de abril de 2016;MLT Produções Artísticas Ltda;RJ;-;-;01;
Street Child Games 2016;Institucional;12 a 21 de março de 2016;Dona Ana Films & Multimedia;SP;Archer's Mark Internacional;Reino Unido;03;
Monkeys, ann amazing friend;Documentário;08 de março a 29 de maio de 2016;Neon Rio LTDA;RJ;OFFSPRING FILMS LTD;Reino Unido;07;
Ericsson  One Campaign;Obra Publicitária;06 de março a 11 de março de 2016;Alfixit Produções Culturais e Artísticas Ltda;SP;RedBee part of Ericsson;Reino Unido;04;
Move It;Obra Publicitária;06 de março a 30 de março de 2016;DOMO Produções Ltda;SP;Film Us Inc;Estados Unidos;01;
Living Golf;Documentário;06 a 11 de março de 2016;Neon Rio LTDA;RJ;vccp Kin/CNN;Reino Unido;02;
Sekai Fushigi Hakken;Documentário;21 de março a 03 de abril de 2016;Falls Produções LTDA.;SP;TV Man Union, INC/Akihiro Nomura;Japão;03;
Ge Drone Week 216;Institucional;29 de março a 07 de abril de 2016 - 05 de junho a 18 de junho de 2016;Litmedia Produções Ltda;RJ;lot112;Estados Unidos;03;
Ge Drone Week 216;Institucional;29 de março a 07 de abril de 2016 - 05 de junho a 18 de junho de 2016;Litmedia Produções Ltda;RJ;lot112;Estados Unidos;07;
German Scientist Prince Maximilian zu Wied-Neuwied, who travelled Brazil in 1815-1817;Documentário;29 de março a 07 de abril de 2016;Sol Entertainment Ltda;RJ;Atlants Film;Alemanha;06;
Green;Documentário;19 de março a 6 de abril de 2016;Sol Entertainment Ltda;RJ;e & a film GmbH;Áustria;06;
Carlos Henrique - O Kaiser;Documentário;13 a 24 de março de 2016;Fernanda Rizzo Eventos e Produções Ltda;RJ;Refresh Films;Reino Unido;04;
Travel Smith;Outro - Editorial MODA;30 de março a 10 de abril de 2016;D+ Prrojetos Artísticos Ltda;RJ;Flower Ave Photo Production;Estados Unidos;10;
Boku to Judo to Futatsu no Sokoky;Documentário;01 a 30 de abril de 2016;Sango Productions Ltda;SP;Tokyo Video Center Inc;Japão;04;
Superhuman Carpool;Obra Publicitária;22 de março a 09 de abril de 2016;DOMO Produções Ltda;SP;Park Pictures;Estados Unidos;13;
Travel Smith;Outro - Editorial MODA;30 de março a 10 de abril de 2016;D+ Prrojetos Artísticos Ltda;RJ;Flower Ave Photo Production;Estados Unidos;02;
A Lei;Obra Não publicitária;15 de março a 20 de julho de 2016;Intro Pictures Produções Cinematográficas Ltda;SP;-;-;05;
Utiariti Project;Documentário;17 de abril a 22 de abril de 2016;Terra Vermelha Filmes LTDA;RJ;Barcroft Media;Reino Unido;02;
Ginástica Rítimica: Atleta e treinadora superando obstáculos;Documentário;05 a 30 de abril de 2016;TOWN Network filmagens LTDA.;SP;Global Media Relations INC;Japão;03;
Wonder Woman: Tropa Feminina;Documentário;01 a 24 de abril de 2016;Brazil Media Base;SP;Spiritclips LLC;Estados Unidos;04;
Years of Living Dangerously;Documentário;25 de março a 15 de abril de 2016;Amazon Film Productions;AM;CDI Virtual Films, INC;Estados Unidos;20;
Coca-Cola Torch Relay;Obra Publicitária;15 de março a 15 de abril de 2016;Zohar Cinema e Comunicação Ltda;RJ;-;-;01;
Sense8;Obra Não publicitária;14 de março a 10 de junho de 2016;O2 Cinema Ltda;SP;S8 Productions Ltd/Unprounounceable Productions LLC;Reino Unido;77;
King Savers;Obra Publicitária;28 de março a 04 de abril de 2016;DOMO Produções Ltda;SP;Film Us Inc;Estados Unidos;02;
Rise;Documentário;08 a 21 de abril de 2016;Brian Sewell Produções Cinematográficas;RJ;Vice;Canadá;03;
Google Maps;Obra Publicitária;31 de março a 03 de abril de 2016;Ocean Produção de Filmes LTDA;SC;Get Deluxe Films Ltd;Reino Unido;01;
Barba;Obra Publicitária;10 a 27 de abril de 2016;MOVIEART Produções Cinematográficas Ltda;SP;-;-;01;
Arqueiro;Obra Publicitária;31 de março a 05 de abril de 2016;ALICEFILMES Ltda;SP;-;-;01;
TOKOROSAN - Episódio Ilha de Mishima;Documentário;25 de abril a 10 de maio de 2016;Urutau Filmes Ltda;SP;NHK - NIPPOM HOSO KYOKAI;Japão;03;
NHK Special - Capitalismo Social;Documentário;09 a 28 de abril de 2016;Urutau Filmes Ltda;SP;NHK - NIPPOM HOSO KYOKAI;Japão;04;
Tales by Light;Documentário;25 de julho a 15 de agosto de 2016;Neon Rio LTDA;RJ;Untitled Films;Austrália;03;
Tales by Light;Documentário;25 de julho a 15 de agosto de 2016;Neon Rio LTDA;RJ;Untitled Films;Austrália;01;
7 Samurais no Brasil;Obra Publicitária;15 a 29 de abril de 2016;Alfixit Produções Culturais e Artísticas Ltda;SP;TYO Inc;Japão;09;
Volleyball;Obra Publicitária;05 a 23 de abril de 2016;Parábola Produções Ltda ME;SP;HeLo;Estados Unidos;03;
Volleyball;Obra Publicitária;05 a 23 de abril de 2016;Parábola Produções Ltda ME;SP;HeLo;Estados Unidos;01;
Volleyball;Obra Publicitária;05 a 23 de abril de 2016;Parábola Produções Ltda ME;SP;HeLo;Estados Unidos;02;
Supermax;Ficção;10 de abril a 02 de julho de 2016;Globo Comunicação e Participações AS;RJ;Fedelmor Trading AS;Uruguai;19;
Supermax;Ficção;10 de abril a 02 de julho de 2016;Globo Comunicação e Participações AS;RJ;Fedelmor Trading AS;Uruguai;02;
Supermax;Ficção;10 de abril a 02 de julho de 2016;Globo Comunicação e Participações AS;RJ;Fedelmor Trading AS;Uruguai;01;
Surpresa;Reality Show;04 a 07 de abril de 2016;Sol Entertainment Ltda;RJ;Brenninkmeijer & Isaacs;Holanda;03;
Nigel Marven's Top Tem Snakes: Brazil;Documentário;26 de abril a 04 de maio de 2016;Dez e Vinte Produções Cinematográficas Ltda ME;SP;Image Impact;Reino Unido;03;
The Search for God;Documentário;24 de abril a 15 de maio de 2016;Blue Eye Empreendimentos e Produções Audiovisuais Ltda;RJ;BBC;Reino Unido;03;
Volleyball;Obra Publicitária;05 a 23 de abril de 2016;Parábola Produções Ltda ME;SP;HeLo;Estados Unidos;01;
Who I am;Documentário;17 a 30 de abril - 11 a 25 de junho - 02 a 22 de setembro de 2016;Xes Projetos Visuais LTDA (Native Brasil);SP;Acrobat Film;Japão;04;
Sekai Fushigi Haken;Documentário;01 a 30 de maio de 2016;Sango Productions Ltda;SP;TV Man Union, INC/Akihiro Nomura;Japão;05;
Dual Survival;Reality Show;02 a 22 de maio de 2016;Igor de Miranda Olszowski ME;RJ;CCCM Projects LLC;Estados Unidos;14;
Anthem;Obra Publicitária;20 de abril a 15 de maio de 2016;Ocean Produção de Filmes LTDA;SC;Smuggler;Estados Unidos;09;
Prism | Athena;Obra Publicitária;25 de abril a 15 de maio de 2016;Ocean Produção de Filmes LTDA;SC;Fresh Film Production;Reino Unido;11;
Through the Wormhole with Morgan Freeman;Documentário;04 de maio de 2016;PA Produtores Associados Ltda;SP;Revelations Entertainment;Estados Unidos;01;
Reportagem ueber Rio de Janeiro;Documentário;26 de abril a 11 de maio de 2016;AURA Filme Produções Ltda;RJ;Good Times;Alemanha;03;
Searching for the best beans;Documentário;29 de abril e 05 de maio de 2016;Brazil Media Base;SP;Velocity Istanbul - H17 Reklam Tasarim Yapim Yayin ve Iletisim Ltd;Turquia;04;
The Amazing Race;Reality Show;01 a 18 de junho de 2016;DOMO Produções Ltda;SP;World Race Productions Inc;Estados Unidos;123;
Orange in Rio;Documentário;19 a 30 de abril de 2016;Brazil Media Base;SP;Swerve Entertainment;Emirados Árabes Unidos;07;
Orange in Rio;Documentário;19 a 30 de abril de 2016;Brazil Media Base;SP;Swerve Entertainment;Emirados Árabes Unidos;01;
The Tiago Lemos Story;Documentário;11 a 15 de maio de 2016;Sol Entertainment Ltda;RJ;Complex Media Inc;Estados Unidos;02;
Soundchekers;Clip;21 a 24 de abril de 2016;Sol Entertainment Ltda;RJ;Blazhoffski Productions B.V;Holanda;04;
Moskito;Documentário;08 a 26 de maio de 2016;Story Produções LTDA.;SP;YAP Moskito Production Inc;Canadá;04;
UFC 198 Embedded;Documentário;06 a 16 de maio de 2016;BPS Produções Serviços EIRELI;RJ;Figura Media, LLC.;Estados Unidos;04;
Roads to Olympia;Ficção;01 de junho a 26 de junho de 2016;Andarilho Filmes Ltda-ME;RJ;R2O Production Lc;Estados Unidos;04;
Ela quer Dançar;Outro;28 de abril a 05 de maio de 2016;Story Produções LTDA.;SP;Yanis Records;França;05;
The Discarded ;Documentário;26 de abril a 06 de maio de 2016;Figura Media LLC;RJ;Figura Media, LLC.;Estados Unidos;01;
Hotel Armadillo;Documentário;17 de maio a 04 de junho de 2016 - 17 de julho a 08 de agosto de 2016;Viva Filmes Ltda;RJ;Maramedia Ltd;Reino Unido;03;
GLS - Gostosas, Linda e Sexies;Ficção;Fevereiro a setembro de 2016;Santa Rita Filmes Eirelli-ME;SP;-;-;01;
Carlos Henrique - O Kaiser;Documentário;27 de maio a 09 de junho de 2016;Fernanda Rizzo Eventos e Produções Ltda;RJ;Refresh Films;Reino Unido;04;
Documento 72 Horas;Documentário;15 a 27 de maio de 2016;Urutau Filmes Ltda;SP;NHK - NIPPOM HOSO KYOKAI;Japão;01;
Goodbye Deutschland - Os Emigrantes;Documentário;13 a 22 de maio de 2016;AURA Filme Produções Ltda;RJ;Infonetwork GmbH;Alemanha;03;
Soundtrack;Ficção;08 de abril a 15 de julho de 2016;Ananã Produções, eventos e Assessoria de Marketing Ltda;RJ;-;-;03;
Soundtrack;Ficção;08 de abril a 15 de julho de 2016;Ananã Produções, eventos e Assessoria de Marketing Ltda;RJ;-;-;01;
Soundtrack;Ficção;08 de abril a 15 de julho de 2016;Ananã Produções, eventos e Assessoria de Marketing Ltda;RJ;-;-;01;
Fututre Century;Documentário;29 de maio a 20 de junho de 2016;BDT Planejamento e Comunicação Ltda;SP;TV Tokyo Corporation;Japão;02;
Unique Town: Noiva do Cordeiro;Documentário;30 de maio a 04 de junho de 2016;Maruti Blue Produções e Eventos;RJ;August Pictures;Cingapura;04;
Untold food;Documentário;01 a 30 de setembro de 2016;Illuminati Produções Cinematográficas Ltda;DF;Untold Creative;Estados Unidos;04;
Campanha Seda Satura;Obra Publicitária;10 de maio a 09 de agosto de 2016;Conspiração Filmes S/A;RJ;-;-;01;
Chef's Table - Alex Atala;Documentário;23 a 25 de maio de 2016;BPS Produções Serviços EIRELI;RJ;Figura Media, LLC.;Estados Unidos;01;
Schnitzeljagd auf den Spuren von Jesus Christus, Kika Live e Schau in meine Welt;Documentário;21 a 22 de maio - 23 a 30 de maio - 31 de maio a 4 de junho de 2016;AURA Filme Produções Ltda;RJ;IFAGE Filmproduktion GmbH;Alemanha;06;
NHK Special – Capitalismo Social Parte 2;Documentário;20 de maio a 10 de junho de 2016;Urutau Filmes Ltda;SP;NHK - NIPPOM HOSO KYOKAI;Japão;03;
NHK Special – Capitalismo Social Parte 2;Documentário;20 de maio a 10 de junho de 2016;Urutau Filmes Ltda;SP;NHK - NIPPOM HOSO KYOKAI;Japão;01;
UFC 200 – José Aldo;Documentário;28 de maio a 04 de junho de 2016;BPS Produções Serviços EIRELI;RJ;Figura Media, LLC.;Estados Unidos;02;
The Hospital ships of the Amazon;Documentário;22 de maio a 31 e maio de 2016;Sol Entertainment Ltda;RJ;Maximus Film GmbH;Alemanha;02;
Amazon Adventure 3D;Documentário;18 de maio a 28 de maio de 2016;Aventuras Produções e Edições Educativas Ltda-ME;SP;Sky Films Inc;Canadá;25;
Dove Moonstone Latam;Obra Publicitária;18 de maio a 30 de junho de 2016;Videographica Serviços e Participações Ltda;SP;-;-;01;
Gayo Mudae;Programa;30 de maio a 08 de junho de 2016;HK Brasil Produtora Mídia e Eventos Ltda;SP;Korea Broadcasting SYSTEM;República da Coréia;102;
Real Sports with Bryant Gambel - HBO Sports - Rio Olympics;Documentário;14 a 21 de junho de 2016;Terra Vermelha Filmes LTDA;RJ;HBO Sports East Cost Productions;Estados Unidos;05;
Untitled Brazil Stories Project;Documentário;25 de maio a 13 de junho de 2016;Dona Ana Films & Multimedia;SP;Epic Digital;Estados Unidos;03;
Untitled Brazil Stories Project;Documentário;25 de maio a 13 de junho de 2016;Dona Ana Films & Multimedia;SP;Epic Digital;Estados Unidos;01;
The Amazing Race China;Programa;05 a 25 de julho de 2016;DOMO Produções Ltda;SP;Shenzhen Media Group;China;91;
The Amazing Race China;Programa;05 a 25 de julho de 2016;DOMO Produções Ltda;SP;Shenzhen Media Group;China;57;
The Amazing Race China;Programa;05 a 25 de julho de 2016;DOMO Produções Ltda;SP;Shenzhen Media Group;China;01;
The Amazing Race China;Programa;05 a 25 de julho de 2016;DOMO Produções Ltda;SP;Shenzhen Media Group;China;01;
The Amazing Race China;Programa;05 a 25 de julho de 2016;DOMO Produções Ltda;SP;Shenzhen Media Group;China;11;
Documentário Pride 360;Documentário;28 a 30 de maio de 2016;Dez e Vinte Produções Cinematográficas Ltda ME;SP;Lonelyleap;Estados Unidos;02;
Campanhas Preço Único;Obra Publicitária;18 de maio a 18 de agosto de 2016;TVC Televisão e Cinema Ltda;SP;-;-;02;
Unbelievable - O retorno de dindim;Documentário;12 a 30 de junho de 2016;Xes Projetos Visuais LTDA (Native Brasil);SP;East Entertainment Inc;Japão;01;
"Ilha Grande/RJ""";;;;;;;;
Praça Paris;Ficção;01 de junho a 16 de julho de 2016;Taiga Filmes e Video Ltda;RJ;Fado Filmes Lda;Portugal;03;
Roosevelt in Amazon;Documentário;11 a 19 de junho de 2016;Amazon Film Productions;AM;CDI Virtual Films, INC;Estados Unidos;06;
Pratos Japoneses que criaram raizes no Brasil;Documentário;17 a 27 de junho de 2016;Business & Arts Films Ltda;SP;RKB Mainichi Broadcasting Corp;Japão;07;
Sekai no mura de hakken, konna tokoro ni nihonjin;Documentário;12 a 26 de junho de 2016;Falls Produções LTDA.;SP;WAVE INC./Kazuhiko Kudo ppt;Japão;06;
Bureau Rio;Documentário;26 de junho a 03 de julho de 2016;Sol Entertainment Ltda;RJ;The Media Brothers;Holanda;06;
"Instagram ""Brownie o Rapha""";Obra Publicitária;14 a 18 de julho de 2016;Daniel Macedo Bacchieri Duarte ME;SP;HardPin Media;Estados Unidos;02;
Is he ready?;Obra Publicitária;01 a 25 de junho de 2016;Cinnergia Produções;SC;Gng Films;França;03;
Samba Tech;Institucional;15 a 23 de junho de 2016;DOMO Produções Ltda;SP;Eyenoogie Inc;Estados Unidos;03;
Geo 360;Documentário;15 de junho a 03 de julho de 2016;Sol Entertainment Ltda;RJ;Medienkontos GmbH;Alemanha;03;
Job Swap;Reality Show;21 de junho a 04 de julho de 2016;Sol Entertainment Ltda;RJ;Constantin Entertainment GmbH;Alemanha;08;
Sekai Ga Bibiru Yoru;Documentário;16 a 25 de junho de 2016;Urutau Filmes Ltda;SP;AWAS, Inc;Japão;07;
Behind the Scene Rio 2016;Institucional;14 a 27 de junho de 2016;WaSabi JB Comunicação;RJ;Panasonic Visuals;Japão;01;
Transcoceanica;Documentário;07 a 28 de julho de 2016;Sol Entertainment Ltda;RJ;Südwestrindfunk;Alemanha;03;
Transcoceanica;Documentário;07 a 28 de julho de 2016;Sol Entertainment Ltda;RJ;Südwestrindfunk;Alemanha;01;
Precius Love;Video Music;10 de junho a 10 de julho de 2016;Sol Entertainment Ltda;RJ;Acess Nepal Filmas Production Pvt;Nepal;12;
VR Megastore;Outro;03 a 26 de junho de 2016;Sweet Produções Ltda;SP;Itchy & Scratch Pictures;Austrália;01;
VR Megastore;Outro;03 a 26 de junho de 2016;Sweet Produções Ltda;SP;Itchy & Scratch Pictures;Austrália;07;
Hunting Hitler;Programa;17 de junho a 07 de julho de 2016;DOMO Produções Ltda;SP;Karga Seven Pictures;Estados Unidos;12;
 Bring on the Games;Obra Publicitária;20 de junho a 27 de julho de 2016;Ocean Produção de Filmes LTDA;SC;Soft Citizen;Canadá;10;
Reportagem ueber Rio de Janeiro;Documentário;11 a 19 de junho de 2016;AURA Filme Produções Ltda;RJ;Good Times;Alemanha;02;
Markus Stöckl;Documentário;19 a 26 de junho de 2016;AURA Filme Produções Ltda;RJ;Go Film GmbH;Alemanha;02;
