"""Valores Recolhidos por Programadora - Art. 39 da MP 2.228-1/01 - Em Reais (R$) - 2003 a 2017""";;
;;
"""Ano de Recolhimento""";"""Programadora Estrangeira""";"""Valor (R$)"""
"""2010""";"""AMC NETWORKS LATIN AMERICA LLC""";"""275529,48"""
"""2010""";"""AXN LATIN AMERICA INC""";"""25,9"""
"""2010""";"""BLOOMBERG L.P.""";"""1810,84"""
"""2010""";"""BRASIL DISTRIBUTION, L.L.C.""";"""11753745,26"""
"""2010""";"""BUENA VISTA INTERNATIONAL, INC""";"""641764,13"""
"""2010""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""3302382,04"""
"""2010""";"""DLA, INC.""";"""458825,78"""
"""2010""";"""EUROCHANNEL""";"""35607,32"""
"""2010""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""4053138,08"""
"""2010""";"""HSM ARGENTINA S.A""";"""2921,71"""
"""2010""";"""MTV NETWORKS LATIN AMERICA INC.""";"""570533,79"""
"""2010""";"""NHK GLOBAL MEDIA SERVICE""";"""60792,68"""
"""2010""";"""PRAMER SCA""";"""7954,21"""
"""2010""";"""SPARROWHAWK INTERNATIONAL CHANNELS LIMITED""";"""70,53"""
"""2010""";"""TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.""";"""4769106,31"""
"""2010""";"""TV5 MONDE""";"""9447,88"""
"""2009""";"""ALL TV COMMUNICATIONS S.A.""";"""14203,91"""
"""2009""";"""AMC NETWORKS LATIN AMERICA LLC""";"""204861,62"""
"""2009""";"""AXN LATIN AMERICA INC""";"""39,45"""
"""2009""";"""BLOOMBERG L.P.""";"""1531,5"""
"""2009""";"""BRASIL DISTRIBUTION, L.L.C.""";"""10997955,25"""
"""2009""";"""BUENA VISTA INTERNATIONAL, INC""";"""385376,51"""
"""2009""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""2662001,21"""
"""2009""";"""DLA, INC.""";"""432706,55"""
"""2009""";"""EUROCHANNEL""";"""53065,03"""
"""2009""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""2981244,38"""
"""2009""";"""IMAGEN SATELITAL S. A .""";"""449,43"""
"""2009""";"""MTV NETWORKS LATIN AMERICA INC.""";"""547004,7"""
"""2009""";"""NHK GLOBAL MEDIA SERVICE""";"""16117,55"""
"""2009""";"""PLAYBOY TV LATIN AMERICA LLC""";"""197,6"""
"""2009""";"""PRAMER SCA""";"""18843,33"""
"""2009""";"""SPARROWHAWK INTERNATIONAL CHANNELS LIMITED""";"""231,16"""
