Listagem de Projetos Contemplados e Valores - Editais de Coprodução Internacional - 2005 a 2016;;;;;;;;;;
;;;;;;;;;;
Ano do Edital;Edital;Modalidade;CPB;Título;Direção;CNPJ;Empresa Produtora Brasileira;UF;Empresa Coprodutora Estrangeira;Investimento
2005;Brasil-Portugal;Coprodução Majoritária Brasileira; -;Dores & Amores;Ricardo Pinto e Silva;00.605.488/0001-80;Veredas Comunicação e Arte;SP;Filmes de Fundo;"""$150.000,00"""
2005;Brasil-Portugal;Coprodução Majoritária Brasileira;B0600587200000;O Céu de Suely;Karim Aïnouz;31.179.864/0001-46;Videofilmes;RJ;Fado Filmes;"""$150.000,00"""
2005;Brasil-Portugal;Coprodução Minoritária Brasileira;B0700764700000;A Outra Margem;Luís Felipe Rocha;74.425.067/0001-04;Plateau Produções;SP;Clap Produção de Filmes;"""$150.000,00"""
2005;Brasil-Portugal;Coprodução Minoritária Brasileira;B0700688200000;O Mistério da Estrada de Sintra;Jorge Paixão da Costa;05.161.846/0001-27;Teleimage Productions;SP;FF Filmesfundo - Produção de Longas  e Curtas Metragens Lda;"""$150.000,00"""
2006;Brasil-Portugal;Coprodução Majoritária Brasileira;B1301902100000;A primeira missa;Ana Carolina Soares;30.510.135/0001-68;Crystal Cinematográfica Ltda;RJ;JFC Filmes Produções;"""$150.000,00"""
2006;Brasil-Portugal;Coprodução Majoritária Brasileira;B1500711400000;Beatriz;Alberto Graça;27.920.016/0001-79;Mpc Filmes;RJ;Filmes do Tejo II;"""$150.000,00"""
2006;Brasil-Portugal;Coprodução Minoritária Brasileira;B1001131800000;Arte de Roubar;Leonel Vieira;64.534.456/0001-14;Stopline Films Brasil;SP;Fado Filmes/Stopline Films Portugal;"""$150.000,00"""
2006;Brasil-Portugal;Coprodução Minoritária Brasileira;B0800880800000;Call Girl;António Pedro Vasconcelos;00.700.805/0001-48;Lagoa Cultural;RJ;"""Moura, Gama e Navarro Filmes""";"""$150.000,00"""
2007;Brasil-Portugal;Coprodução Majoritária Brasileira;B0900988600000;Budapeste;Walter Carvalho;53.976.478/0001-18;Nexus Cinema;SP; -;"""$150.000,00"""
2007;Brasil-Portugal;Coprodução Majoritária Brasileira;B0901027100000;No Meu Lugar;Eduardo Valente;31.179.864/0001-46;Videofilmes;RJ;Fado Filmes;"""$150.000,00"""
2007;Brasil-Portugal;Coprodução Minoritária Brasileira;B1201604900000;América;João Nuno Pinto;66.876.707/0001-74;Dezenove Som e Imagens;SP;Ukbar Filmes;"""$150.000,00"""
2007;Brasil-Portugal;Coprodução Minoritária Brasileira;B0800956800000;Entre os Dedos;Frederico Guerra/Tiago Guedes;74.425.067/0001-04;Plateau Produções;SP;Clap Produção de Filmes;"""$150.000,00"""
2008;Brasil-Portugal;Coprodução Majoritária Brasileira;B1101385900000;As Doze Estrelas;Luiz Alberto Pereira;54.110.648/0001-40;Lapfilme;SP;Filmes Liberdade Lda.;"""$150.000,00"""
2008;Brasil-Portugal;Coprodução Majoritária Brasileira;B1101496800000;Capitães de Areia;Cecília Amado;00.700.805/0001-48;Lagoa Cultural;RJ;Mgn Filmes e Espectáculos Lda.;"""$150.000,00"""
2008;Brasil-Portugal;Coprodução Minoritária Brasileira;B1001192900000;Duas Mulheres;João Mário Grilo;73.947.392/0001-74;Taiga Filmes e Vídeo;RJ;Costa do Castelo Filmes S.A;"""$150.000,00"""
2008;Brasil-Portugal;Coprodução Minoritária Brasileira;B1001320600000;O Último Voo do Flamingo;João Ribeiro;31.179.864/0001-46;Videofilmes;RJ;Fado Filmes;"""$150.000,00"""
2009;Brasil-Portugal;Coprodução Majoritária Brasileira;B1001318100000;O Samba que Mora em Mim;Geórgia Guerra-Peixe;07.477.471/0001-34;Bossa Nova Films;SP;Filmes do Tejo II;"""$150.000,00"""
2009;Brasil-Portugal;Coprodução Majoritária Brasileira;B1500585400000;Quase Memória;Ruy Guerra;03.511.914/0001-05;J.Sanz Produção Audiovisual;RJ;Davi e Golias;"""$150.000,00"""
