Valores Captados por Projeto Incentivado - Em Reais (R$) - 2002 a Julho de 2020;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ano de Captação;Salic;Nome do Projeto;CNPJ do Proponente;Proponente;UF;Tipo ou segmento;Gênero;"Lei 8.313/91
(Lei Rouanet)";"Art. 1º 
Lei 8.685/93";"Art. 1º A
Lei 8.685/93";"Art. 3º 
Lei 8.685/93*";"Art. 3º A
Lei 8.685/93*";"Art. 39 
MP 2228-1/01*";Funcines;Total Captado no Ano
2002;206;Carandiru;46.848.701/0001-86;HECTOR BABENCO FILMES EIRELI;SP;Produção Cinematográfica;Ficção;200.000,00;0;0;879.000,00;0;0;0;1.079.000,00
2002;14562;Carandiru Distribuição;46.848.701/0001-86;HECTOR BABENCO FILMES EIRELI;SP;Distribuição Cinematográfica; -;0;1.024.171,00;0;621.000,00;0;0;0;1.645.171,00
2002;13646;Carandiru.doc.;53.976.478/0001-18;NEXUS CINEMA E VÍDEO LTDA;SP;Produção Cinematográfica;Documentário;0;209.919,00;0;0;0;0;0;209.919,00
2002;319;Cartola;72.062.029/0001-09;RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;RJ;Produção Cinematográfica;Documentário;0;60.000,00;0;0;0;0;0;60.000,00
2002;970606;Cartomante (A);01.946.155/0001-88;CINÉTICA FILMES E PRODUÇÕES LTDA.;RJ;Produção Cinematográfica;Ficção;0;50.000,00;0;0;0;0;0;50.000,00
2002;11978;Cazuza - O Tempo Não Para ( Ex-Cazuza);02.605.295/0001-55;LEREBY PRODUÇÕES LTDA;RJ;Produção Cinematográfica;Ficção;0;1.000.000,00;0;0;0;0;0;1.000.000,00
2002;12051;Centro do Rio;03.626.688/0001-08;MELODRAMA PRODUÇÕES LTDA.;RJ;Produção Cinematográfica;Documentário;180.000,00;0;0;0;0;0;0;180.000,00
2002;24003;Cerro do Jarau (O);01.708.896/0001-20;IMAGEM B LTDA - ME;RS;Produção Cinematográfica;Ficção;0;293.000,00;0;0;0;0;0;293.000,00
2002;387;Cidade Baixa (Ex:Tristão e Isolda);31.179.864/0001-46;VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA;RJ;Produção Cinematográfica;Ficção;0;879.000,00;0;0;0;0;0;879.000,00
2002;320;Cidade das Mulheres;74.144.403/0001-40;X FILMES DA BAHIA LTDA ME;BA;Produção Cinematográfica;Documentário;0;100.000,00;0;0;0;0;0;100.000,00
2002;993264;Cidade de Deus;68.474.774/0001-98;O2 FILMES CURTOS LTDA;SP;Produção Cinematográfica;Ficção;0;569.316,00;0;1.412.325,99;0;0;0;1.981.641,99
2002;993414;Cine Tapuia (Ex Siará a Invenção do Paraiso);10.505.568/0001-18;CARIRI PRODUÇÕES ARTÍSTICAS LTDA.;CE;Produção Cinematográfica;Documentário;0;6.654,00;0;0;0;0;0;6.654,00
2002;440;Cinema, Aspirina e Urubus (Ex-Cinema, a Aspirina e os Urubus);02.669.022/0001-74;REC PRODUTORES ASSOCIADOS LTDA;PE;Produção Cinematográfica;Ficção;0;400.000,00;0;0;0;0;0;400.000,00
