Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2024;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira ;UF2;Distribuidora;Máximo de Salas;Público acumulado;Renda (R$) acumulada;
1996;-;Todos Os Corações Do Mundo;Murilo Salles;Documentário;Sports Target Media;RJ;-;-;S. Ribeiro;86;265.017;1.004.415,00;
1997;B0500311100000;A Ostra E O Vento;Walter Lima Junior;Ficção;Tambellini Filmes;RJ;-;-;Riofilme;9;86.616;372.814,00;
1997;B0600520300000;Anahy De Las Misiones;Sérgio Silva;Ficção;M. Schmiedt Produções;RS;-;-;S. Ribeiro;15;131.000;492.560,00;
1997;B0400059500000;Baile Perfumado;Lírio Ferreira/Paulo Caldas;Ficção;Raccord Produções;RJ;-;-;Riofilme;7;73.062;326.879,00;
1997;B0500313900000;Buena Sorte;Tânia Lamarca;Ficção;Acquafredda Cinema/Skylight;SC/RJ;-;-;Columbia;7;10.674;37.654,00;
1997;-;Crede-Mi;Bia Lessa/Dany Roland;Ficção;Bia Lessa Produções Artísticas;SP;-;-;Riofilme;1;2.134;10.585,00;
1997;B0500313800000;Ed Mort;Alain Fresnot;Ficção;A.F. Cinema;SP;-;-;Riofilme;16;74.195;370.809,00;
1997;B0300027400000;Guerra De Canudos;Sergio Rezende;Ficção;Morena Filmes;RJ;-;-;Columbia;78;655.016;2.725.130,00;
1997;B0500321300000;Lua De Outubro;Henrique De Freitas Lima;Ficção;Cinematográfica Pampeana;RS;-;-;Paris;17;33.894;114.351,00;
1997;B1101390800000;Miramar;Julio Bressane;Ficção;Julio Bressane;RJ;-;-;Riofilme;2;7.616;39.451,00;
1997;-;Navalha Na Carne;Neville D'Almeida;Ficção;Terra Brasilis;RJ;-;-;S. Ribeiro;101;170.929;784.214,00;
1997;B0800853700000;O Amor Está No Ar;Amylton De Oliveira;Ficção;Lca Produções;ES;-;-;Riofilme;3;5.877;31.816,00;
1997;B0800842700000;O Cangaceiro;Anibal Massaini Neto;Ficção;Cinearte Produções Cinematográficas;SP;-;-;S. Ribeiro;10;140.932;618.692,00;
1997;B0400076600000;O Homem Nu;Hugo Carvana;Ficção;Mac Comunicacão;RJ;-;-;Riofilme;14;74.188;450.321,00;
1997;B0500336500000;O Noviço Rebelde;Tizuka Yamasaki;Ficção;Renato Aragão Produções;RJ;-;-;Columbia/Art Filmes;174;1.501.035;6.019.150,00;
1997;B0500261400000;O Que É Isso Companheiro?;Bruno Barreto;Ficção;Filmes Do Equador;RJ;-;-;Columbia;48;321.450;1.787.262,00;
1997;B1001308600000;O Sertão Das Memórias;José Araújo;Documentário;Ganesh Produções;CE;-;-;Riofilme;ND;3.110;15.000,00;
1997;B0500239200000;O Velho - A História De Luiz Carlos Prestes;Toni Venturi;Documentário;Olhar Imaginário;SP;-;-;Riofilme;2;11.874;44.290,00;
1997;B0500420200000;Os Matadores;Beto Brant;Ficção;Casa De Produção;SP;-;-;Riofilme;6;27.014;128.998,00;
1997;B0500311000000;Pequeno Dicionário Amoroso;Sandra Werneck;Ficção;Cineluz Produções;RJ;-;-;Lumière/Riofilme;23;402.430;2.100.685,00;
1997;B0500311300000;Silvino Santos - O Cineasta Da Selva;Aurélio Michelis;Documentário;Superfilmes;SP;-;-;Riofilme;2;4.560;21.386,00;
1997;B0600478000000;Um Céu De Estrelas;Tata Amaral;Ficção;Tata Amaral;SP;-;-;Riofilme;1;13.307;72.390,00;
1998;B0500262300000;A Grande Noitada;Denoy De Oliveira;Ficção;Palmares;SP;-;-;Riofilme;1;1.587;7.594,00;
1998;-;Alô;Mara Mourão;Ficção;Mamo Filmes;SP;-;-;Riofilme;ND;2.703;13.000,00;
1998;B0500312600000;Amor E Cia;Helvécio Ratton;Ficção;Quimera Filmes;MG;-;-;S. Ribeiro/Riofilme;24;47.179;237.310,00;
1998;B0500261200000;Amores;Domingos De Oliveira;Ficção;Tv Zero Produções;RJ;-;-;S. Ribeiro/Riofilme;6;33.192;164.418,00;
1998;B0500286200000;Ação Entre Amigos;Beto Brant;Ficção;Dezenove Som E Imagens;SP;-;-;S. Ribeiro/Riofilme;3;38.957;194.330,00;
1998;B0300023600000;Bahia De Todos Os Sambas;Leon Hirszman/Paulo César Saraceni;Documentário;Shater Produções Artísticas;RJ;-;-;Riofilme;1;1.037;5.107,00;
1998;B0500326400000;Bela Donna;Fábio Barreto;Ficção;Filmes Do Equador;RJ;-;-;S. Ribeiro/Riofilme;74;68.151;370.060,00;
1998;B0400052500000;Bocage - O Triunfo Do Amor;Djalma Limongi Batista;Ficção;Cinema Do Século Xxi;SP;-;-;Riofilme;2;16.621;73.281,00;
1998;B0600556000000;Boleiros, Era Uma Vez O Futebol;Ugo Giorgetti;Ficção;Sp Filmes De São Paulo;SP;-;-;Tabu Arte;ND;60.000;300.000,00;
1998;B0500310900000;Central Do Brasil;Walter Salles;Ficção;Videofilmes;RJ;-;-;S. Ribeiro/Riofilme;79;1.593.967;8.087.276,00;
1998;-;Cinderela Bahiana;Conrado Sanchez;Ficção;Galante Filmes;SC;-;-;Art Filmes;ND;32.000;180.000,00;
1998;B0500272900000;Como Ser Solteiro;Rosane Svartman;Ficção;Raccord Produções;RJ;-;-;S. Ribeiro/Riofilme;25;150.778;825.101,00;
1998;B0500403300000;Coração Iluminado;Hector Babenco;Ficção;Hb Filmes;SP;-;-;Columbia;19;17.850;92.892,00;
1998;B0500403400000;For All - O Trampolim Da Vitória;Buza Ferraz/Luiz Carlos Lacerda;Ficção;Bigdeni Filmes;RJ;-;-;Columbia;35;62.604;348.628,00;
1998;B0400110800000;Kenoma;Eliane Caffé;Ficção;A.F. Cinema;SP;-;-;Riofilme;ND;8.197;40.000,00;
1998;B0500310800000;La Serva Padrona;Carla Camurati;Ficção;Copacabana Filmes E Produções;RJ;-;-;Elimar;ND;50.000;250.000,00;
1998;B0500242600000;Menino Maluquinho 2 - A Aventura;Fabrízia Alves Pinto/Fernando Meirelles;Ficção;Grupo Novo De Cinema E Tv;RJ;-;-;S. Ribeiro/Riofilme;94;367.482;898.694,54;
1998;B0800834800000;O Toque Do Oboé;Cláudio Macdowell;Ficção;Imágica Produções;RJ;Riofilme;RJ;Riofilme;ND;2.368;12.000,00;
1998;B0500334800000;Policarpo Quaresma - Herói Do Brasil;Paulo Thiago;Ficção;Vitória Produções;RJ;-;-;S. Ribeiro/Riofilme;11;76.761;183.538,00;
1998;B0500335300000;Simão, O Fantasma Trapalhão;Paulo Aragão;Ficção;Renato Aragão Produções;RJ;-;-;Columbia;246;1.658.136;6.118.522,00;
1998;B1101381700000;Terra Do Mar;Eduardo Caron/Mirella Martinelli;Documentário;Bad Machine;SP;-;-;Riofilme;2;1.531;7.596,00;
1998;B0500307600000;Traição;Arthur Fontes/Claudio Torres/José Henrique Fonseca;Ficção;Conspiração Filmes;RJ;-;-;Lumière;7;37.572;202.207,00;
1998;B0600491200000;Tudo É Brasil;Rogério Sganzerla;Documentário;Mercúrio Produções;SP;-;-;Riofilme;1;1.910;5.348,00;
1999;B0500436200000;A Hora Mágica;Guilherme De Almeida Prado;Ficção;Star Filmes;SP;-;-;Riofilme;7;5.999;31.891,00;
1999;B0400055300000;Até Que A Vida Nos Separe;José Zaragoza;Ficção;Zaragoza Produções;SP;-;-;Riofilme;36;43.815;243.629,00;
1999;B0700724300000;Caminho Dos Sonhos;Luca Amberg;Ficção;Amberg Filmes;SP;-;-;Uip;22;14.646;68.060,00;
1999;B0500313700000;Castelo Rá-Tim-Bum, O Filme;Cao Hamburger;Ficção;A.F. Cinema/Caos Produções;SP/SP;-;-;Columbia;134;725.329;3.031.875,00;
1999;-;Contos De Lygia E Morte;Del Rangel;Ficção;Cinema Profissional;SP;-;-;Lumière;2;649;3.257,00;
1999;B0500286100000;Dois Córregos;Carlos Reichenbach;Ficção;Dezenove Som E Imagens/Tv Cultura;SP/SP;-;-;Riofilme;13;38.017;189.716,00;
1999;B0500304300000;Fé;Ricardo Dias;Documentário;Superfilmes;SP;-;-;Riofilme;4;8.248;42.349,00;
1999;-;Histórias Do Flamengo;Alexandre Niemyer;Documentário;Produções Carlos Niemeyer Filmes;RJ;-;-;Riofilme;14;11.157;56.465,00;
1999;B0400086000000;Mauá - O Imperador E O Rei;Sergio Rezende;Ficção;Lagoa Cultural;RJ;-;-;Buena Vista/Riofilme;78;195.790;923.684,00;
1999;B0600618500000;Mário;Hermano Penna;Ficção;Luz Xxi/Estudios Quanta;SP/SP;-;-;Riofilme;1;2.249;11.929,00;
1999;B0500310100000;No Coração Dos Deuses;Geraldo Moraes;Ficção;Aquarela;DF;-;-;Riofilme;25;23.217;90.530,00;
1999;B0300021500000;Nós Que Aqui Estamos Por Vós Esperamos;Marcelo Masagão;Documentário;Um Minuto;SP;-;-;Riofilme;4;58.577;285.130,00;
1999;B0500446400000;O Primeiro Dia;Daniela Thomas/Walter Salles;Ficção;Videofilmes;RJ;-;-;Lumière/Riofilme;17;64.383;347.917,00;
1999;B0500336400000;O Trapalhão E A Luz Azul;Alexandre Boury/Paulo Aragão;Ficção;Globo Filmes/Renato Aragão Produções;RJ/RJ;-;-;Lumière;239;771.831;2.947.356,00;
1999;B0600450400000;O Tronco;João Batista De Andrade;Ficção;Raiz Produções;SP;-;-;Pandora;ND;1.000;5.000,00;
1999;B0600460600000;O Viajante;Paulo César Saraceni;Ficção;Shater Produções Artísticas;RJ;-;-;Riofilme;2;5.970;24.809,00;
1999;B0800822000000;Orfeu;Cacá Diegues;Ficção;Globo Filmes/Rio Vermelho Filmes;RJ/RJ;-;-;Warner;147;961.961;4.455.409,00;
1999;B0800819200000;Os Carvoeiros;Nigel Noble;Documentário;Zazen Produções;RJ;-;-;Zazen;ND;1.000;5.000,00;
1999;-;Outras Estórias;Pedro Bial;Ficção;Theo Filmes;RJ;-;-;Riofilme;6;21.515;102.060,00;
1999;B0600508700000;Paixão Perdida;Walter Hugo Khouri;Ficção;Tv Cultura/Videcom;SP/SP;-;-;Riofilme;6;3.596;19.516,00;
1999;B0300013900000;Por Trás Do Pano;Luiz Villaça;Ficção;Nia Filmes;SP;-;-;Riofilme;7;22.109;118.411,00;
1999;B0901021800000;Santo Forte;Eduardo Coutinho;Documentário;Cecip - Centro De Criação De Imagem Popular;RJ;-;-;Riofilme;4;18.353;92.133,00;
1999;B0300047700000;São Jerônimo;Julio Bressane;Ficção;Tb Produções;RJ;-;-;Riofilme;2;5.000;27.722,00;
1999;B0400064000000;Tiradentes;Oswaldo Caldeira;Ficção;Oswaldo Caldeira Produções Cinematográficas/Riofilme;RJ/RJ;-;-;Riofilme;3;7.489;34.253,00;
1999;B0500310200000;Um Copo De Cólera;Aluizio Abranches;Ficção;Tambellini Filmes;RJ;-;-;Riofilme;7;58.337;309.094,00;
1999;B0800854000000;Uma Aventura Do Zico;Antonio Carlos Da Fontoura;Ficção;Filmes Do Equador/Quanta-Rio;RJ/RJ;-;-;Lumière;60;36.727;158.373,00;
1999;B0500186500000;Xuxa Requebra;Tizuka Yamasaki;Ficção;Diler & Associados;RJ;-;-;Fox;218;2.074.461;8.173.376,00;
1999;-;Zoando Na Tv;José Alvarenga Jr.;Ficção;Angélica Produções Artísticas/Globo Filmes//Lereby;RJ/RJ/RJ;-;-;Columbia;143;911.394;3.463.297,00;
2000;B0400065500000;A Terceira Morte De Joaquim Bolivar;Flávio Cândido;Ficção;Cândido&Moraes;RJ;-;-;Riofilme;1;2.330;11.497,00;
2000;B0500309500000;Amélia;Ana Carolina;Ficção;Crystal Cinematográfica;RJ;-;-;Riofilme;6;24.431;140.283,00;
2000;B0600534900000;Através Da Janela;Tata Amaral;Ficção;A.F. Cinema/Tangerina Entretenimento;SP/SP;-;-;Riofilme;5;10.271;53.960,00;
2000;B0500386700000;Bossa Nova;Bruno Barreto;Ficção;Filmes Do Equador/Lc Barreto;RJ/RJ;-;-;Columbia;158;520.614;3.165.333,00;
2000;B0700686200000;Cronicamente Inviável;Sérgio Bianchi;Ficção;Agravo Produções Cinematográficas;SP;-;-;Riofilme;6;69.443;378.287,00;
2000;B0500312500000;Cruz E Sousa - O Poeta Do Desterro;Sylvio Back;Ficção;Usina De Kyno;PR;-;-;Riofilme;2;3.608;15.510,00;
2000;B0500311600000;Estorvo;Ruy Guerra;Ficção;Skylight;RJ;-;-;Riofilme;4;11.532;66.325,00;
2000;B0500237200000;Eu, Tu, Eles;Andrucha Waddington;Ficção;Conspiração Filmes;RJ;-;-;Columbia;132;695.682;4.111.481,00;
2000;B0500363900000;Gêmeas;Andrucha Waddington;Ficção;Conspiração Filmes;RJ;-;-;Columbia;18;40.368;234.781,00;
2000;B0600561200000;Hans Staden;Luiz Alberto Pereira;Ficção;Lapfilme;SP;-;-;Riofilme;9;46.646;238.389,00;
2000;B0500310400000;Iremos A Beirute;Marcus Moura;Ficção;Estação Luz Filmes;CE;-;-;Riofilme;3;1.639;8.751,00;
2000;B0500312100000;Minha Vida Em Suas Mãos;José Antônio Garcia;Ficção;Roderaf Produções Artísticas;RJ;-;-;Warner;15;10.222;45.733,00;
2000;B0800875000000;O Auto Da Compadecida;Guel Arraes;Ficção;Globo Filmes;RJ;-;-;Columbia;202;2.158.640;11.517.140,85;
2000;B0500309400000;O Dia Da Caça;Alberto Graça;Ficção;Mpc Filmes;RJ;-;-;Uip/Riofilme;50;43.531;239.708,00;
2000;B0500310600000;O Rap Do Pequeno Príncipe Contra As Almas Sebosas;Marcelo Luna/Paulo Caldas;Documentário;Raccord Produções;RJ;-;-;Riofilme;9;22.577;73.489,00;
2000;B0300011200000;Oriundi;Ricardo Bravo;Ficção;Laz Audiovisual;PR;-;-;Warner;68;38.755;223.608,00;
2000;B0500406100000;Os Três Zuretas;Cecílio Neto;Ficção;Cn Cine;SP;-;-;Riofilme;18;6.760;33.899,00;
2000;B0400163400000;Pierre Verger: Mensageiro Entre Dois Mundos;Lula Buarque De Hollanda;Documentário;Conspiração Filmes/Globosat;RJ/RJ;-;-;Riofilme;ND;3.400;ND;
2000;B0500247700000;Quase Nada;Sergio Rezende;Ficção;Morena Filmes;RJ;-;-;Riofilme;11;10.691;63.937,00;
2000;B0800899400000;Tolerância;Carlos Gerbase;Ficção;Casa De Cinema De Porto Alegre;RS;-;-;Columbia;90;84.620;497.953,00;
2000;B0500266700000;Um Certo Dorival Caymmi;Aluisio Didier;Documentário;Brasiliana Produções;RJ;-;-;Riofilme;2;2.076;10.509,00;
2000;B0400132100000;Villa Lobos - Uma Vida De Paixão;Zelito Viana;Ficção;Mapa Filmes;RJ;-;-;Uip/Riofilme;50;143.981;874.453,00;
2000;B0500297900000;Xuxa Popstar;Paulo Sérgio Almeida/Tizuka Yamasaki;Ficção;Diler & Associados;RJ;Warner;SP;Warner;304;2.394.326;9.625.191,00;
2001;B0400100600000;2000 Nordestes;David França Mendes/Sandra Magalhães Delgado/Vicente Amorim;Documentário;Filmes Do Equador;RJ;-;-;Riofilme;2;4.297;20.707,00;
2001;B0901027200000;A Hora Marcada;Marcelo Taranto;Ficção;Mt Filmes;RJ;-;-;Uip;18;16.441;92.213,00;
2001;B0500309300000;A Partilha;Daniel Filho;Ficção;Lereby;RJ;-;-;Columbia;155;1.449.411;8.797.925,00;
2001;B0500308900000;Abril Despedaçado;Walter Salles;Ficção;Videofilmes;RJ;-;-;Lumière;49;353.713;2.063.956,00;
2001;B0500309600000;Amores Possíveis;Sandra Werneck;Ficção;Cineluz Produções;RJ;Labocine/Estudios Quanta;RJ/SP;Fox;80;396.224;2.658.663,00;
2001;B0500254900000;Anésia - Um Vôo No Tempo;Ludmila Ferolla;Documentário;Mares Produções;RJ;-;-;Riofilme;3;1.498;6.436,00;
2001;B0500311700000;As Feras;Walter Hugo Khouri;Ficção;Cinearte Produções Cinematográficas;SP;-;-;Riofilme;5;3.645;14.922,00;
2001;B0500312300000;Babilônia 2000;Eduardo Coutinho;Documentário;Videofilmes;RJ;-;-;Riofilme;3;15.301;86.496,00;
2001;B0500312400000;Barra 68 - Sem Perder A Ternura;Vladimir Carvalho;Documentário;Folkino Produções Audiovisuais;DF;-;-;Riofilme;3;6.989;31.427,00;
2001;B0500309800000;Bicho De Sete Cabeças;Laís Bodanzky;Ficção;Buriti Filmes/Dezenove Som E Imagens;SP/SP;Gullane;SP;Columbia;50;401.586;2.184.934,00;
2001;B0700637600000;Brava Gente Brasileira;Lucia Murat;Ficção;Taiga Filmes E Vídeo;RJ;-;-;Riofilme;14;23.170;102.507,00;
2001;B0500309100000;Bufo & Spallanzani;Flávio Ramos Tambellini;Ficção;Tambellini Filmes;RJ;-;-;Warner;39;47.017;251.836,00;
2001;B0500312200000;Caramuru - A Invenção Do Brasil;Guel Arraes;Ficção;Globo Filmes;RJ;-;-;Columbia;170;246.023;1.500.740,00;
2001;B0500312000000;Condenado À Liberdade;Emiliano Ribeiro;Ficção;Ipê Artes;RJ;-;-;Uip;38;15.262;77.169,00;
2001;B0500310000000;Copacabana;Carla Camurati;Ficção;Copacabana Filmes E Produções;RJ;-;-;Elimar;13;234.014;1.422.805,00;
2001;B0500300000000;Domésticas, O Filme;Fernando Meirelles/Nando Olival;Ficção;O2 Filmes;SP;-;-;Pandora;5;91.488;422.675,00;
2001;B0500277300000;Lavoura Arcaica;Luiz Fernando Carvalho;Ficção;Luiz Fernando De Carvalho Produções Artísticas;RJ;Videofilmes;RJ;Riofilme;10;143.860;874.018,00;
2001;B0300047000000;Memórias Póstumas;André Klotzel;Ficção;Brás Filmes/Tv Cultura;SP/SP;-;-;Lumière;57;186.380;855.484,00;
2001;B0300006100000;Nelson Gonçalves;Elizeu Ewald;Documentário;Diler & Associados/Proview/Rob Filmes/Tele Image;RJ/RJ/RJ/SP;-;-;Riofilme;3;4.381;20.881,00;
2001;B0500314000000;Netto Perde Sua Alma;Beto Souza/Tabajara Ruas;Ficção;Imagem B/Walper Ruas Produções;RS/RS;-;-;Riofilme;22;41.479;187.837,00;
2001;B0500309700000;O Casamento De Louise;Betse De Paula;Ficção;Aurora Cinematográfica;RJ;-;-;Riofilme;5;8.761;49.126,00;
2001;B0600454600000;O Chamado De Deus;José Joffily;Documentário;Coevo Filmes;RJ;-;-;Riofilme;2;4.535;25.316,00;
2001;B0500288800000;O Grilo Feliz;Walbercy Ribas;Animação;Startanima;SP;-;-;Hoyts;29;216.611;1.022.404,00;
2001;B0500258400000;O Sonho De Rose, 10 Ano Depois;Tetê Moraes;Documentário;Vemver Brasil;RJ;-;-;Riofilme;5;12.232;46.561,00;
2001;B0300004700000;O Xangô De Baker Street;Miguel Faria Jr.;Ficção;Skylight/Tibet Filme;RJ/RJ;-;-;Columbia;76;366.353;2.275.052,00;
2001;B0500265600000;Senta A Pua!;Erik De Castro;Documentário;Bsb Cinema;DF;-;-;Riofilme;8;13.181;78.756,00;
2001;B0500288700000;Tainá - Uma Aventura Na Amazônia;Sérgio Bloch/Tânia Lamarca;Ficção;Tietê Produções;RJ;-;-;Art Filmes/Mam;100;853.210;3.054.492,00;
2001;B0600549900000;Tônica Dominante;Lina Chamie;Ficção;Superfilmes;SP;-;-;Riofilme;3;8.020;46.159,00;
2001;B0500335400000;Um Anjo Trapalhão;Alexandre Boury/Marcelo Travesso;Ficção;Renato Aragão Produções;RJ;-;-;Fox;153;125.913;513.632,00;
2001;B0500186600000;Xuxa E Os Duendes;Paulo Sérgio Almeida/Rogério Gomes;Ficção;Diler & Associados;RJ;-;-;Warner;311;2.657.091;11.691.200,00;
2002;B0500311900000;A Paixão De Jacobina;Fábio Barreto;Ficção;Filmes Do Equador;RJ;-;-;Playarte;45;146.062;682.110,00;
2002;B0500309000000;As Três Marias;Aluizio Abranches;Ficção;Hare Filmes;RJ;-;-;Lumière;10;13.003;76.819,00;
2002;B0300009600000;Avassaladoras;Mara Mourão;Ficção;Mamo Filmes;SP;Total Entertainment;RJ;Fox;103;310.260;1.722.883,00;
2002;B0500309900000;Bellini E A Esfinge;Roberto Santucci;Ficção;Ananã Produções/Santa Fé Filmes;RJ/RJ;-;-;Copacabana Filmes;21;60.073;300.000,00;
2002;B0300002800000;Cidade De Deus;Fernando Meirelles;Ficção;O2 Filmes;SP;-;-;Lumière;176;3.371.247;19.070.407,00;
2002;B0300031500000;Dias De Nietzsche Em Turim;Julio Bressane;Ficção;Tb Produções;RJ;-;-;Riofilme;2;15.017;85.993,00;
2002;B0500291000000;Duas Vezes Com Helena;Mauro Farias;Ficção;Fraiha Produções;RJ;-;-;Riofilme;5;6.374;40.056,00;
2002;B0500288900000;Edifício Master;Eduardo Coutinho;Documentário;Videofilmes;RJ;-;-;Riofilme;8;86.824;607.728,00;
2002;B1201554100000;Eu Não Conhecia Tururu;Florinda Bolkan;Ficção;Jandaira Produções;CE;-;-;Riofilme;2;823;5.621,00;
2002;B0500404500000;Gregório De Mattos;Ana Carolina;Ficção;Crystal Cinematográfica;RJ;-;-;Riofilme;2;3.812;23.660,00;
2002;B0500298200000;Houve Uma Vez Dois Verões;Jorge Furtado;Ficção;Casa De Cinema De Porto Alegre;RS;-;-;Columbia;11;68.487;384.212,00;
2002;B0600513700000;Invasor;Beto Brant;Ficção;Drama Filmes;SP;Brasil Filmes/Ricca Produções;SP/SP;Pandora;16;103.810;669.762,00;
2002;B0500301000000;Janela Da Alma;João Jardim/Walter Carvalho;Documentário;Dueto Filmes/Tambellini Filmes;RJ/RJ;-;-;Copacabana Filmes;4;141.360;795.856,00;
2002;B0400148200000;Lara;Ana Maria Magalhães;Ficção;Nova Era Produções;RJ;-;-;Riofilme;9;2.639;15.504,00;
2002;B0500311800000;Latitude Zero;Toni Venturi;Ficção;Olhar Imaginário;SP;-;-;Riofilme;6;7.867;44.829,00;
2002;B0300008800000;Madame Satã;Karim Aïnouz;Ficção;Videofilmes;RJ;-;-;Lumière;24;163.409;1.157.444,00;
2002;B0500294200000;Nem Gravata, Nem Honra;Marcelo Masagão;Documentário;Um Minuto;SP;-;-;Riofilme;2;3.237;15.789,00;
2002;B0500308800000;O Príncipe;Ugo Giorgetti;Ficção;Sp Filmes De São Paulo;SP;-;-;Mais Filmes;11;15.295;94.037,00;
2002;B0500274200000;Onde A Terra Acaba;Sérgio Machado;Documentário;Videofilmes;RJ;-;-;Riofilme;2;3.786;20.543,00;
2002;B0500311500000;Poeta De Sete Faces;Paulo Thiago;Documentário;Vitória Produções;RJ;-;-;Riofilme;3;4.495;20.972,00;
2002;B0300005900000;Rocha Que Voa;Eryk Rocha;Documentário;Grupo Novo De Cinema E Tv;RJ;-;-;M21;1;5.929;30.000,00;
